"","Journal of Archaeological Science: Reports","Sprawozdania Archeologiczne","Antiquity","Prähistorische Zeitschrift","Polish Archaeology in the Mediterranean","Archaeometry","Novensia","Przegląd Archeologiczny","Slavia Antiqua. Rocznik poświęcony starożytnościom słowiańskim","Archeologia Polski","Journal of Field Archaeology","Journal of Archaeological Science","Praehistorische Zeitschrift","Analecta Archaeologica Ressoviensia","Proceedings of the National Academy of Sciences of the United States of America","Nature","Radiocarbon","Bioarchaeology of the Near East","Acta Archaeologica Carpathica","Archaeologia Historica Polona","Journal of African Archaeology","Kwartalnik Historii Kultury Materialnej","Études et Travaux","Nature Communications","Scientific Reports","Saeculum Christianum","Archaeological and Anthropological Sciences","Arabian Archaeology and Epigraphy","Archaeological Prospection","Archaologisches Korrespondenzblatt"
"Inst. Archeologii i Etnologii PAN",16,24,14,13,7,4,2,14,15,12,1,3,9,2,2,4,3,0,0,1,2,6,1,2,2,0,3,0,2,4
"Inst. Kultur Śródziemnomorskich i Orientalnyc...",2,0,3,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,8,0,1,0,0,2,0,0
"U. Gdański",1,4,1,3,0,1,0,1,0,1,1,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"U. Jagielloński w Krakowie",9,5,6,2,7,2,1,0,0,0,2,1,0,0,1,1,0,0,12,1,0,1,0,1,0,0,0,0,0,0
"U. Kardynała Stefana Wyszyńskiego w Warszawie",0,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0
"U. Marii Curie-Skłodowskiej w Lublinie",4,11,5,8,0,0,0,0,1,1,0,0,2,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"U. Mikołaja Kopernika w Toruniu",15,5,7,5,1,6,1,1,1,0,1,2,0,3,1,0,1,0,0,2,0,0,0,1,1,0,0,0,1,1
"U. Rzeszowski",4,9,2,3,0,1,0,1,1,2,2,1,2,3,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"U. Warszawski",21,6,19,1,29,17,25,2,2,3,3,4,4,0,2,1,1,13,0,1,7,1,2,1,3,1,2,7,2,1
"U. Wrocławski",5,5,9,6,0,2,2,5,4,1,3,4,0,1,3,0,2,0,0,2,0,0,0,0,1,0,3,0,0,1
"U. w Poznaniu",13,7,8,9,0,3,1,3,4,0,5,0,0,0,4,2,3,0,0,1,0,0,0,3,0,0,1,0,3,0
"U. Łódzki",1,3,4,9,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,0,1,0,0,0,0,0
