"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",38,4,10.5,26,"archeologia",14.5,332.28,2.62
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",75,2,2.7,36,"archeologia",27.77,423.44,2.7
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",44,1,2.3,17,"archeologia",15,462.67,2.93
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",93,2,2.2,48,"archeologia",37.63,327.03,2.47
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",91,2,2.2,31,"archeologia",33.13,469.66,2.75
"Uniwersytet Warszawski","U. Warszawski",280,4,1.4,93,"archeologia",117.89,396.9,2.38
"Uniwersytet Wrocławski","U. Wrocławski",81,1,1.2,36,"archeologia",27.63,445.24,2.93
"Instytut Archeologii i Etnologii Polskiej Akademii Nauk","Inst. Archeologii i Etnologii PAN",207,0,0,54,"archeologia",79.94,413.42,2.59
"Instytut Kultur Śródziemnomorskich i Orientalnych Polskiej Akademii Nauk","Inst. Kultur Śródziemnomorskich i Orientalnyc...",63,0,0,33,"archeologia",40.36,218.73,1.56
"Uniwersytet Gdański","U. Gdański",41,0,0,28,"archeologia",14.5,346.34,2.83
"Uniwersytet Rzeszowski","U. Rzeszowski",42,0,0,21,"archeologia",14.63,428.91,2.87
"Uniwersytet Łódzki","U. Łódzki",40,0,0,19,"archeologia",15.88,403.27,2.52
