"","Sustainability","Architectus","Builder","Środowisko Mieszkaniowe","Przestrzeń i Forma","International Journal of Conservation Science","Teka Komisji Urbanistyki i Architektury","Zeszyty Naukowe Politechniki Poznańskiej. Architektura, Urbanistyka, Architektura Wnętrz","Wiadomości Konserwatorskie","Materiały Budowlane","Energies","Architecture Civil Engineering Environment","Buildings","Arts","Civil and Environmental Engineering Reports","World Transactions on Engineering and Technology Education","Muzeologia a Kulturne Dedicstvo","Budownictwo i Architektura","Archives of Civil Engineering","Urban Development Issues","Przegląd Budowlany","Czasopismo Techniczne/Technical Transactions","Medycyna Pracy","Materials","Zeszyty Naukowe Politechniki Śląskiej. Seria Organizacja i Zarządzanie","Urban Planning","Global Journal of Engineering Education","Architecturae et Artibus","Energy and Buildings","Land"
"Akademia Śląska",5,1,0,8,0,2,5,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
"Inst. Rozwoju Miast i Regionów",1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
"P. Białostocka",3,11,8,2,13,0,3,3,2,3,3,1,0,1,0,0,0,1,0,0,4,0,1,0,0,0,0,5,1,1
"P. Bydgoska",2,3,1,0,2,0,2,8,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,5,0,0,1,0,0
"P. Gdańska",12,7,0,5,0,0,2,0,7,0,0,4,5,0,0,12,0,2,0,0,0,0,5,0,1,10,9,0,4,1
"P. Krakowska",28,22,3,21,15,42,32,7,23,13,6,0,1,1,0,7,9,0,5,0,1,9,0,3,0,0,2,0,0,3
"P. Lubelska",5,5,0,5,1,3,4,8,4,4,7,0,1,1,6,0,0,14,1,0,2,0,0,0,0,0,0,0,0,0
"P. Opolska",0,1,13,4,3,3,2,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"P. Poznańska",20,7,13,9,3,10,5,54,5,5,3,1,1,1,2,0,1,1,3,0,0,0,0,1,0,1,0,0,0,0
"P. Rzeszowska",4,1,0,3,4,5,1,0,5,3,1,0,0,2,1,0,0,1,1,0,4,5,0,2,0,0,0,0,0,0
"P. Warszawska",25,8,13,20,10,1,9,7,5,14,5,1,2,5,1,1,2,0,8,0,3,0,0,1,0,0,0,1,0,3
"P. Wrocławska",13,49,8,12,2,5,3,0,15,4,7,0,18,14,3,3,1,1,1,0,0,1,8,3,0,0,1,0,3,0
"P. Łódzka",4,10,19,13,1,25,3,0,4,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0
"P. Śląska",7,6,51,9,2,2,2,1,4,7,6,31,1,0,1,1,2,0,0,0,0,1,0,1,6,0,0,0,0,0
"U. Przyrodniczy we Wrocławiu",9,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Zielonogórski w Zielonej Górze",1,1,1,0,6,0,4,0,0,1,5,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1
"Zachodniopomorski Uniwersytet Technologiczny ...",12,0,2,2,43,0,7,0,2,0,2,0,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
