"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Przyrodniczy we Wrocławiu","U. Przyrodniczy we Wrocławiu",35,10,28.6,16,"architektura i urbanistyka",11.48,333.54,3.05
"Politechnika Wrocławska","P. Wrocławska",234,56,23.9,65,"architektura i urbanistyka",81.92,287.49,2.86
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie","Zachodniopomorski Uniwersytet Technologiczny ...",87,20,23,19,"architektura i urbanistyka",29.38,234.58,2.96
"Politechnika Warszawska","P. Warszawska",199,45,22.6,56,"architektura i urbanistyka",78.43,243.9,2.54
"Akademia Śląska","Akademia Śląska",35,7,20,17,"architektura i urbanistyka",12.25,340.41,2.86
"Uniwersytet Zielonogórski w Zielonej Górze","U. Zielonogórski w Zielonej Górze",42,8,19,20,"architektura i urbanistyka",14.75,225.83,2.85
"Politechnika Poznańska","P. Poznańska",199,36,18.1,59,"architektura i urbanistyka",64.45,297.32,3.09
"Politechnika Lubelska","P. Lubelska",91,15,16.5,30,"architektura i urbanistyka",29,279.52,3.14
"Politechnika Rzeszowska im. Ignacego Łukasiewicza","P. Rzeszowska",56,9,16.1,29,"architektura i urbanistyka",19.13,295.45,2.93
"Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich","P. Bydgoska",32,5,15.6,15,"architektura i urbanistyka",12.19,211.4,2.63
"Politechnika Krakowska im. Tadeusza Kościuszki","P. Krakowska",301,44,14.6,61,"architektura i urbanistyka",98.44,304.94,3.06
"Politechnika Gdańska","P. Gdańska",145,20,13.8,61,"architektura i urbanistyka",45.93,301.65,3.16
"Akademia Techniczno-Artystyczna Nauk Stosowanych w Warszawie","Akademia Techniczno-Artystyczna Nauk Stosowan...",26,3,11.5,11,"architektura i urbanistyka",13.44,124.85,1.93
"Politechnika Śląska","P. Śląska",165,17,10.3,37,"architektura i urbanistyka",52.56,245.3,3.14
"Politechnika Białostocka","P. Białostocka",86,8,9.3,31,"architektura i urbanistyka",32.89,193.43,2.61
"Politechnika Łódzka","P. Łódzka",99,5,5.1,21,"architektura i urbanistyka",34.63,305.83,2.86
"Instytut Rozwoju Miast i Regionów","Inst. Rozwoju Miast i Regionów",41,1,2.4,16,"architektura i urbanistyka",20.88,140.57,1.96
"Politechnika Opolska","P. Opolska",42,0,0,19,"architektura i urbanistyka",17.25,197.45,2.43
