"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Politechnika Morska w Szczecinie","P. Morska w Szczecinie",54,45,83.3,14,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",19.06,377.28,2.83
"Uniwersytet Radomski im. Kazimierza Pułaskiego","U. Radomski",45,31,68.9,10,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",14.75,371.66,3.05
"Politechnika Częstochowska","P. Częstochowska",136,84,61.8,37,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",42.56,397.7,3.2
"Politechnika Rzeszowska im. Ignacego Łukasiewicza","P. Rzeszowska",174,106,60.9,39,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",59.13,406.87,2.94
"Politechnika Świętokrzyska","P. Świętokrzyska",99,59,59.6,31,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",32.33,413.45,3.06
"Politechnika Koszalińska","P. Koszalińska",74,44,59.5,33,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",22.39,418.4,3.31
"Instytut Techniki Górniczej KOMAG","Inst. Techniki Górniczej KOMAG",39,22,56.4,12,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",13.38,317.41,2.91
"Uniwersytet Morski w Gdyni","U. Morski w Gdyni",149,84,56.4,26,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",44.59,356.45,3.34
"Politechnika Lubelska","P. Lubelska",258,145,56.2,53,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",78.69,414.11,3.28
"Politechnika Poznańska","P. Poznańska",230,127,55.2,70,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",77.3,452.96,2.98
"Lubelska Akademia WSEI","Lubelska Akademia WSEI",19,10,52.6,5,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",6.38,413.79,2.98
"Politechnika Białostocka","P. Białostocka",172,90,52.3,45,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",56.75,375.82,3.03
"Politechnika Krakowska im. Tadeusza Kościuszki","P. Krakowska",145,73,50.3,41,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",46.63,374.87,3.11
"Uniwersytet Zielonogórski w Zielonej Górze","U. Zielonogórski w Zielonej Górze",72,34,47.2,26,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",25.5,406.08,2.82
"Politechnika Łódzka","P. Łódzka",327,153,46.8,84,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",103.18,370.98,3.17
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie","Zachodniopomorski Uniwersytet Technologiczny ...",152,69,45.4,51,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",48.56,342.98,3.13
"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego","WAT",279,114,40.9,87,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",89.46,372.54,3.12
"Politechnika Opolska","P. Opolska",163,62,38,58,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",53.64,360.59,3.04
"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","AGH w Krakowie",516,185,35.9,125,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",185.45,369.95,2.78
"Politechnika Śląska","P. Śląska",590,206,34.9,148,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",182.09,335.03,3.24
"Politechnika Wrocławska","P. Wrocławska",655,183,27.9,170,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",212.73,330.26,3.08
"Politechnika Warszawska","P. Warszawska",955,265,27.7,230,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",289.86,369.62,3.29
"Akademia Tarnowska","Akademia Tarnowska",24,5,20.8,14,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",12.56,126.67,1.91
"Politechnika Gdańska","P. Gdańska",375,77,20.5,118,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",122.61,451.89,3.06
"Centrum Badań Kosmicznych Polskiej Akademii Nauk","Centrum Badań Kosmicznych PAN",62,8,12.9,35,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",24.05,220.62,2.58
"Instytut Badań Systemowych Polskiej Akademii Nauk","Inst. Badań Systemowych PAN",41,3,7.3,33,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",13.38,388.79,3.06
"Narodowe Centrum Badań Jądrowych","Narodowe Centrum Badań Jądrowych",79,3,3.8,31,"automatyka, elektronika, elektrotechnika i technologie kosmiczne",41.79,228.62,1.89
