"","Energies","Sustainability","Zeszyty Naukowe Politechniki Śląskiej. Seria Organizacja i Zarządzanie","European Research Studies Journal","Economics and Environment","Optimum. Economic Studies","Zeszyty Naukowe Akademii Górnośląskiej","Zeszyty Naukowe. Organizacja i Zarządzanie/Politechnika Śląska","Comparative Economic Research-Central and Eastern Europe","International Entrepreneurship Review","Polityka Społeczna","Agriculture","International Journal of Management and Economics","Wiadomości Statystyczne","Ekonomia i Prawo-Economics and Law","Ekonomia – Wroclaw Economic Review","Annales Universitatis Mariae Curie-Skłodowska, Sec. H Oeconomia","Journal of Modern Science","PLoS ONE","Bank i Kredyt","Zeszyty Teoretyczne Rachunkowości","Entrepreneurial Business and Economics Review","Argumenta Oeconomica","Technological and Economic Development of Economy","Equilibrium-Quarterly Journal of Economics and Economic Policy","Journal of Finance and Financial Law","PRACE NAUKOWE UNIWERSYTETU EKONOMICZNEGO WE WROCŁAWIU","Horyzonty Polityki","Ruch Prawniczy, Ekonomiczny i Socjologiczny","Humanities and Social Sciences"
"AGH w Krakowie",17,12,4,5,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Akademia Bialska",10,8,0,13,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akademia Finansów i Biznesu Vistula",0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"Akademia Leona Koźmińskiego w Warszawie",1,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"Akademia Mazowiecka w Płocku",0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Akademia Nauk Stosowanych w Nowym Sączu",9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Akademia WSB",7,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Akademia z Paradyża",14,2,6,13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
"Akademia Łomżyńska",2,2,1,8,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inst. Ekonomiki Rolnictwa i Gospodarki Żywnoś...",13,16,0,19,2,0,0,0,0,0,0,15,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"Inst. Nauk Ekonomicznych PAN",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"Inst. Pracy i Spraw Socjalnych",0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
