"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Politechnika Koszalińska","P. Koszalińska",78,63,80.8,20,"ekonomia i finanse",31,351.13,2.52
"Uniwersytet Zielonogórski w Zielonej Górze","U. Zielonogórski w Zielonej Górze",57,37,64.9,16,"ekonomia i finanse",19.5,379.64,2.92
"Instytut Ekonomiki Rolnictwa i Gospodarki Żywnościowej - Państwowy Instytut Badawczy","Inst. Ekonomiki Rolnictwa i Gospodarki Żywnoś...",88,47,53.4,23,"ekonomia i finanse",35.15,331.01,2.5
"Akademia Nauk Stosowanych w Nowym Sączu","Akademia Nauk Stosowanych w Nowym Sączu",20,10,50,12,"ekonomia i finanse",12,254.5,1.67
"Instytut Rozwoju Wsi i Rolnictwa Polskiej Akademii Nauk","Inst. Rozwoju Wsi i Rolnictwa PAN",78,38,48.7,39,"ekonomia i finanse",30.93,345.17,2.52
"Lubelska Akademia WSEI","Lubelska Akademia WSEI",39,19,48.7,7,"ekonomia i finanse",13,420,3
"Akademia Bialska im. Jana Pawła II","Akademia Bialska",40,19,47.5,12,"ekonomia i finanse",14.09,327.68,2.84
"Uniwersytet Przyrodniczy w Poznaniu","U. Przyrodniczy w Poznaniu",161,72,44.7,39,"ekonomia i finanse",59.88,334.1,2.69
"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie","U. Rolniczy w Krakowie",70,31,44.3,27,"ekonomia i finanse",28.22,347.13,2.48
"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie","SGGW w Warszawie",283,121,42.8,77,"ekonomia i finanse",113.09,315.09,2.5
"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","AGH w Krakowie",73,30,41.1,29,"ekonomia i finanse",29.48,349.93,2.48
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie","Zachodniopomorski Uniwersytet Technologiczny ...",114,46,40.4,32,"ekonomia i finanse",37.19,344.21,3.07
"Akademia WSB","Akademia WSB",23,9,39.1,12,"ekonomia i finanse",7.75,297.81,2.97
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",146,45,30.8,68,"ekonomia i finanse",63.5,300.54,2.3
"Uniwersytet Rzeszowski","U. Rzeszowski",95,29,30.5,39,"ekonomia i finanse",33.49,329.14,2.84
"Uniwersytet Szczeciński","U. Szczeciński",226,69,30.5,69,"ekonomia i finanse",107.96,342.65,2.09
"Politechnika Opolska","P. Opolska",63,19,30.2,20,"ekonomia i finanse",22.06,351.81,2.86
"Politechnika Rzeszowska im. Ignacego Łukasiewicza","P. Rzeszowska",95,28,29.5,26,"ekonomia i finanse",34.01,361.95,2.79
"Katolicki Uniwersytet Lubelski Jana Pawła II","Katolicki Uniwersytet Lubelski Jana Pawła II",81,22,27.2,28,"ekonomia i finanse",26.63,318.06,3.04
"Akademia im. Jakuba z Paradyża","Akademia z Paradyża",59,16,27.1,18,"ekonomia i finanse",23.75,291.24,2.48
"Politechnika Wrocławska","P. Wrocławska",9,2,22.2,7,"ekonomia i finanse",3.25,484.92,2.77
"Uniwersytet Jana Kochanowskiego w Kielcach","U. Jana Kochanowskiego w Kielcach",89,16,18,41,"ekonomia i finanse",33.69,233.48,2.64
"Akademia Łomżyńska","Akademia Łomżyńska",25,4,16,10,"ekonomia i finanse",11.81,277.48,2.12
