"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Papieski Jana Pawła II w Krakowie","U. Papieski Jana Pawła II w Krakowie",58,5,8.6,24,"filozofia",25.5,316.67,2.27
"Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej","Akademia Pedagogiki Specjalnej",32,2,6.2,19,"filozofia",13.31,221.11,2.4
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",83,3,3.6,49,"filozofia",34.25,320.32,2.42
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",57,2,3.5,35,"filozofia",24.94,263.79,2.29
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",170,5,2.9,93,"filozofia",69.79,387.49,2.44
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",120,2,1.7,69,"filozofia",52.21,285.81,2.3
"Uniwersytet Warszawski","U. Warszawski",187,3,1.6,95,"filozofia",89.26,361.07,2.1
"Uniwersytet Łódzki","U. Łódzki",64,1,1.6,32,"filozofia",36.03,287.48,1.78
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",67,1,1.5,33,"filozofia",27.38,258,2.45
"Uniwersytet Wrocławski","U. Wrocławski",78,1,1.3,42,"filozofia",38.66,260.11,2.02
"Katolicki Uniwersytet Lubelski Jana Pawła II","Katolicki Uniwersytet Lubelski Jana Pawła II",163,1,0.6,41,"filozofia",64.53,345.58,2.53
"Instytut Filozofii i Socjologii Polskiej Akademii Nauk","Inst. Filozofii i Socjologii PAN",80,0,0,49,"filozofia",40.71,307.05,1.97
"Politechnika Warszawska","P. Warszawska",38,0,0,28,"filozofia",14.53,381.28,2.62
"Uniwersytet Gdański","U. Gdański",52,0,0,30,"filozofia",19.88,294.42,2.62
"Uniwersytet Ignatianum w Krakowie","U. Ignatianum w Krakowie",42,0,0,19,"filozofia",19.19,338.72,2.19
"Uniwersytet Jana Długosza w Częstochowie","U. Jana Długosza w Częstochowie",28,0,0,17,"filozofia",12,262.92,2.33
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy","U. Kazimierza Wielkiego w Bydgoszczy",34,0,0,17,"filozofia",14.38,279.21,2.36
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",75,0,0,40,"filozofia",28,332.68,2.68
"Uniwersytet Rzeszowski","U. Rzeszowski",32,0,0,21,"filozofia",13.06,298.7,2.45
"Uniwersytet Szczeciński","U. Szczeciński",42,0,0,20,"filozofia",15.75,310.48,2.67
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",39,0,0,26,"filozofia",14.5,214.21,2.69
"Uniwersytet Zielonogórski w Zielonej Górze","U. Zielonogórski w Zielonej Górze",36,0,0,25,"filozofia",14.19,241.86,2.54
"Uniwersytet w Białymstoku","U. w Białymstoku",43,0,0,25,"filozofia",18.5,305.3,2.32
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",94,0,0,42,"filozofia",36,276.81,2.61
