"","Sustainability","European Research Studies Journal","Regional Development and Regional Policy","Prace i Studia Geograficzne","Bulletin of Geography","Czasopismo Geograficzne","Quaestiones Geographicae","Energies","Cities","Miscellanea Geographica","Geographia Polonica","Geographical Studies","International Journal of Environmental Research and Public Health","Prace Komisji Geografii Przemysłu Polskiego Towarzystwa Geograficznego-Studies of the Industrial Geography Commission of the Polish Geographical Society","Przegląd Geograficzny","Land Use Policy","Transport Geography Papers of Polish Geographical Society","Acta Scientiarum Polonorum, Administratio Locorum","Urban Development Issues","Konwersatorium Wiedzy o Mieście","European Spatial Research and Policy","Scientific Reports","Economics and Environment","European Planning Studies","Prace Geograficzne","Journal of Geography, Politics and Society","Landscape and Urban Planning","Annales Universitatis Paedagogicae Cracoviensis Studia Geographica","Anthropocene Review","Journal of Water and Land Development"
"Inst. Geografii i Przestrzennego Zagospodarow...",3,0,0,0,0,0,3,0,1,1,7,0,0,0,2,4,0,0,0,0,1,2,0,2,0,0,0,0,2,0
"Inst. Rozwoju Miast i Regionów",1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0
"U. Ekonomiczny w Katowicach",2,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"U. Ekonomiczny w Krakowie",4,0,1,0,0,0,0,4,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3
"U. Gdański",5,1,5,3,1,3,0,2,1,3,2,2,1,0,4,1,10,4,0,1,0,0,0,1,0,7,1,0,0,1
"U. Jagielloński w Krakowie",5,0,0,2,2,0,0,0,1,0,1,10,0,0,2,2,4,0,0,0,0,2,0,1,0,0,0,0,0,0
"U. Jana Kochanowskiego w Kielcach",2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"U. Komisji Edukacji Narodowej w Krakowie",4,0,0,2,1,0,1,1,0,2,0,1,1,19,1,0,0,0,0,2,0,1,0,0,6,0,0,11,0,0
"U. Marii Curie-Skłodowskiej w Lublinie",13,0,1,2,6,1,3,2,1,4,2,4,2,0,2,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0
"U. Mikołaja Kopernika w Toruniu",1,0,3,0,6,5,1,3,2,1,2,0,0,0,1,1,1,4,0,0,0,1,0,1,0,0,0,0,3,1
"U. Pomorski w Słupsku",0,0,10,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"U. Przyrodniczy we Wrocławiu",10,0,0,0,0,0,0,1,2,0,2,0,4,0,0,0,0,1,0,0,0,0,3,0,0,0,5,0,1,3
"U. Szczeciński",4,67,0,0,1,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"U. Warmińsko-Mazurski w Olsztynie",22,0,0,0,5,0,2,5,3,0,0,2,13,0,0,7,0,6,0,0,0,2,3,0,0,0,0,0,1,1
"U. Warszawski",4,0,0,28,1,4,1,0,4,16,1,1,0,0,5,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1
"U. Wrocławski",7,0,2,2,3,4,5,0,6,0,0,0,0,2,1,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0
"U. w Poznaniu",8,0,33,3,4,8,16,0,5,0,8,0,0,0,2,0,1,1,0,0,0,1,1,1,0,0,2,0,0,0
"U. Łódzki",14,0,5,3,13,14,7,3,5,2,5,2,3,3,3,4,3,2,0,7,11,0,1,1,0,1,2,0,0,0
"U. Śląski w Katowicach",5,0,0,0,0,0,0,0,1,1,0,1,2,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,1,0
