"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",110,47,42.7,37,"geografia społeczno-ekonomiczna i gospodarka przestrzenna",35.36,360.94,3.11
"Uniwersytet Przyrodniczy we Wrocławiu","U. Przyrodniczy we Wrocławiu",56,16,28.6,26,"geografia społeczno-ekonomiczna i gospodarka przestrzenna",20.16,423.46,2.78
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",46,11,23.9,34,"geografia społeczno-ekonomiczna i gospodarka przestrzenna",17.25,356,2.67
"Uniwersytet Szczeciński","U. Szczeciński",109,25,22.9,18,"geografia społeczno-ekonomiczna i gospodarka przestrzenna",49.11,314.84,2.22
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",91,20,22,53,"geografia społeczno-ekonomiczna i gospodarka przestrzenna",32.25,312.65,2.82
"Uniwersytet Ekonomiczny w Krakowie","U. Ekonomiczny w Krakowie",47,10,21.3,29,"geografia społeczno-ekonomiczna i gospodarka przestrzenna",21.97,311.38,2.14
"Uniwersytet Jana Kochanowskiego w Kielcach","U. Jana Kochanowskiego w Kielcach",26,4,15.4,19,"geografia społeczno-ekonomiczna i gospodarka przestrzenna",10.19,269.28,2.55
"Uniwersytet Wrocławski","U. Wrocławski",73,10,13.7,43,"geografia społeczno-ekonomiczna i gospodarka przestrzenna",24,281.88,3.04
"Uniwersytet Gdański","U. Gdański",98,11,11.2,51,"geografia społeczno-ekonomiczna i gospodarka przestrzenna",36.06,290.13,2.72
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",85,9,10.6,53,"geografia społeczno-ekonomiczna i gospodarka przestrzenna",31.25,335.94,2.72
"Uniwersytet Łódzki","U. Łódzki",211,22,10.4,94,"geografia społeczno-ekonomiczna i gospodarka przestrzenna",75.7,294.86,2.79
"Uniwersytet Ekonomiczny w Katowicach","U. Ekonomiczny w Katowicach",29,3,10.3,20,"geografia społeczno-ekonomiczna i gospodarka przestrzenna",12.5,306.96,2.32
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",61,6,9.8,37,"geografia społeczno-ekonomiczna i gospodarka przestrzenna",19.56,357,3.12
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",155,15,9.7,65,"geografia społeczno-ekonomiczna i gospodarka przestrzenna",56.78,297.64,2.73
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",106,10,9.4,49,"geografia społeczno-ekonomiczna i gospodarka przestrzenna",38.26,253.69,2.77
"Uniwersytet Warszawski","U. Warszawski",136,10,7.4,68,"geografia społeczno-ekonomiczna i gospodarka przestrzenna",49.65,314.04,2.74
"Instytut Geografii i Przestrzennego Zagospodarowania im. Stanisława Leszczyckiego Polskiej Akademii Nauk","Inst. Geografii i Przestrzennego Zagospodarow...",59,3,5.1,40,"geografia społeczno-ekonomiczna i gospodarka przestrzenna",23.53,365.41,2.51
"Instytut Rozwoju Miast i Regionów","Inst. Rozwoju Miast i Regionów",46,2,4.3,28,"geografia społeczno-ekonomiczna i gospodarka przestrzenna",25.83,164.92,1.78
"Uniwersytet Pomorski w Słupsku","U. Pomorski w Słupsku",24,0,0,11,"geografia społeczno-ekonomiczna i gospodarka przestrzenna",11.25,152.98,2.13
