"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Opolski","U. Opolski",36,1,2.8,23,"historia",16,302.63,2.25
"Uniwersytet Papieski Jana Pawła II w Krakowie","U. Papieski Jana Pawła II w Krakowie",52,1,1.9,21,"historia",21.5,332.56,2.42
"Uniwersytet Gdański","U. Gdański",87,1,1.1,43,"historia",40.44,306.23,2.15
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",264,3,1.1,98,"historia",118.64,282.68,2.23
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",88,1,1.1,52,"historia",42.88,292.75,2.05
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",120,1,0.8,28,"historia",49.32,364.29,2.43
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",119,1,0.8,60,"historia",66.31,291.1,1.79
"Uniwersytet Wrocławski","U. Wrocławski",153,1,0.7,81,"historia",80.57,289.59,1.9
"Instytut Historii im. Tadeusza Manteuffla Polskiej Akademii Nauk","Inst. Historii",225,1,0.4,85,"historia",106.5,303.51,2.11
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",235,1,0.4,81,"historia",108.98,307.07,2.16
"Akademia Sztuki Wojennej","Akademia Sztuki Wojennej",20,0,0,13,"historia",12.54,212.92,1.59
"Instytut Archeologii i Etnologii Polskiej Akademii Nauk","Inst. Archeologii i Etnologii PAN",32,0,0,17,"historia",13.45,317.1,2.38
"Instytut Historii Nauki imienia Ludwika i Aleksandra Birkenmajerów Polskiej Akademii Nauk","Inst. Historii Nauki imienia Ludwika i Aleksa...",106,0,0,33,"historia",43.74,287.2,2.42
"Instytut Studiów Politycznych Polskiej Akademii Nauk","Inst. Studiów Politycznych PAN",71,0,0,40,"historia",33.5,323.55,2.12
"Katolicki Uniwersytet Lubelski Jana Pawła II","Katolicki Uniwersytet Lubelski Jana Pawła II",126,0,0,61,"historia",52.46,315.82,2.4
"Uniwersytet Jana Długosza w Częstochowie","U. Jana Długosza w Częstochowie",48,0,0,34,"historia",18.13,295.7,2.65
"Uniwersytet Jana Kochanowskiego w Kielcach","U. Jana Kochanowskiego w Kielcach",63,0,0,31,"historia",26.98,304.6,2.34
"Uniwersytet Kaliski im. Prezydenta Stanisława Wojciechowskiego","U. Kaliski",24,0,0,16,"historia",10.81,285.38,2.22
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",63,0,0,26,"historia",26.94,332.78,2.34
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy","U. Kazimierza Wielkiego w Bydgoszczy",76,0,0,41,"historia",31,275.77,2.45
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",102,0,0,54,"historia",48.19,317.02,2.12
"Uniwersytet Pomorski w Słupsku","U. Pomorski w Słupsku",32,0,0,21,"historia",13.06,329.25,2.45
"Uniwersytet Rzeszowski","U. Rzeszowski",84,0,0,40,"historia",32.46,290.82,2.59
"Uniwersytet Szczeciński","U. Szczeciński",74,0,0,45,"historia",34.25,312.2,2.16
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",71,0,0,37,"historia",28.5,246.91,2.49
"Uniwersytet Warszawski","U. Warszawski",281,0,0,136,"historia",134.61,310.73,2.09
"Uniwersytet Zielonogórski w Zielonej Górze","U. Zielonogórski w Zielonej Górze",50,0,0,33,"historia",22.19,233.8,2.25
"Uniwersytet w Białymstoku","U. w Białymstoku",63,0,0,38,"historia",27.06,364.19,2.33
"Uniwersytet w Siedlcach","U. w Siedlcach",34,0,0,17,"historia",14.06,334.99,2.42
"Uniwersytet Łódzki","U. Łódzki",131,0,0,65,"historia",58.2,258.09,2.25
