"","International Conference on Computational Science","IEEE Symposium on Logic in Computer Science","International Conference on Information Systems Development","National Conference of the American Association for Artificial Intelligence","ACM/SIAM Symposium on Discrete Algorithms","International Colloquium on Automata Languages and Programming","International Joint Conference on Artificial Intelligence","European Symposium on Algorithms","Advances in Neural Information Processing Systems","International Conference on Machine Learning","International Joint Conference on Autonomous Agents and Multiagent Systems","International Symposium on Mathematical Foundations of Computer Science","World Conference on Educational Multimedia, Hypermedia and Telecommunications","International Symposium on Theoretical Aspects of Computer Science","International Conference on Knowledge-Based and Intelligent Information and Engineering Systems","International Conference on the Principles of Knowledge Representation and Reasoning","ACM Symposium on Theory of Computing","IEEE Symposium on Foundations of Computer Science","European Conference on Artificial Intelligence","ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems","Association of Computational Linguistics","International Symposium on Algorithms and Computation","International Conference on Learning Representations","International Conference on Modelling and Simulation","International Conference on Concurrency Theory","Empirical Methods in Natural Language Processing","Americas Conference on Information Systems","International Business Information Management","IEEE International Conference on Fuzzy Systems","IEEE International Working Conference on Mining Software Repositories"
"AGH w Krakowie",14,0,0,5,0,0,7,0,1,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"U. Ekonomiczny w Krakowie",0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
"U. Jagielloński w Krakowie",0,6,0,3,6,4,0,2,5,5,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"U. Opolski",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,5,0,1,0,0,1,0
"U. Warszawski",3,27,0,12,13,11,9,11,7,8,7,9,0,8,0,2,10,7,4,2,2,4,4,0,4,0,0,0,0,4
"U. Wrocławski",0,1,0,5,4,6,2,5,2,0,1,3,0,4,0,6,0,3,3,7,0,2,0,0,2,0,0,0,0,1
"U. w Białymstoku",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. w Poznaniu",0,0,4,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,3,0,4,4,0
"U. w Siedlcach",2,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"U. Łódzki",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"U. Śląski w Katowicach",13,0,12,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
