"podmiot","jednostka","materialy","astar_n","udzial_astar","l_konferencji","dyscyplina","N","ocena_I","mat_na_N"
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",41,33,80.5,13,"informatyka",18.94,503.38,2.16
"Uniwersytet Warszawski","U. Warszawski",203,138,68,48,"informatyka",99.11,515.95,2.05
"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","AGH w Krakowie",43,25,58.1,13,"informatyka",20.2,520.64,2.13
"Uniwersytet Wrocławski","U. Wrocławski",90,45,50,41,"informatyka",35.44,462.16,2.54
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",45,14,31.1,22,"informatyka",27.46,385.18,1.64
"Uniwersytet Opolski","U. Opolski",22,6,27.3,13,"informatyka",11.84,342.65,1.86
"Uniwersytet Łódzki","U. Łódzki",13,2,15.4,11,"informatyka",21.19,331.81,0.61
"Uniwersytet w Białymstoku","U. w Białymstoku",24,3,12.5,7,"informatyka",20.25,403.85,1.19
"Uniwersytet w Siedlcach","U. w Siedlcach",20,2,10,7,"informatyka",16.44,194.1,1.22
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",37,1,2.7,5,"informatyka",18.31,396.34,2.02
"Uniwersytet Ekonomiczny w Krakowie","U. Ekonomiczny w Krakowie",19,0,0,5,"informatyka",8.48,416.16,2.24
