"","Studia Informatica. Systems and Information Technology","SIAM Journal on Computing","Artificial Intelligence","Formalized Mathematics","Sensors","Information Sciences","Applied Soft Computing Journal","SoftwareX","Applied Sciences","Scientific Reports","Scientific data","International Journal of Molecular Sciences","JOURNAL OF THE ACM","Nucleic Acids Research","Theoretical Computer Science","Expert Systems with Applications","Combinatorica","Annals of Pure and Applied Logic","Discrete and Continuous Dynamical Systems - Series B","APPLIED SOFT COMPUTING","Analytical Chemistry","International Journal of Approximate Reasoning","Journal of Artificial Intelligence and Soft Computing Research","Electronics","Control and Cybernetics","CEUR Workshop Proceedings","Computer Methods in Applied Mechanics and Engineering","Computers and Mathematics with Applications","Energies","Bioinformatics"
"AGH w Krakowie",0,0,1,0,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0
"U. Ekonomiczny w Krakowie",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"U. Jagielloński w Krakowie",0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Opolski",0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
"U. Warszawski",0,11,7,0,0,5,1,1,0,1,0,2,5,5,0,0,1,0,0,3,4,3,0,0,0,0,0,0,0,2
"U. Wrocławski",0,2,1,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. w Białymstoku",0,0,0,10,0,1,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,1
"U. w Poznaniu",0,0,0,0,2,0,0,1,1,0,1,0,0,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0
"U. w Siedlcach",19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
"U. Łódzki",0,0,0,0,0,0,0,1,1,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,1,0,0
"U. Śląski w Katowicach",0,0,0,0,3,1,3,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,2,2,0,0,0,0,0,0
