"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Ekonomiczny w Krakowie","U. Ekonomiczny w Krakowie",8,3,37.5,8,"informatyka",8.48,416.16,0.94
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",31,9,29,21,"informatyka",18.31,396.34,1.69
"Uniwersytet Opolski","U. Opolski",14,3,21.4,9,"informatyka",11.84,342.65,1.18
"Uniwersytet Łódzki","U. Łódzki",54,8,14.8,40,"informatyka",21.19,331.81,2.55
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",42,6,14.3,37,"informatyka",27.46,385.18,1.53
"Uniwersytet w Siedlcach","U. w Siedlcach",29,3,10.3,7,"informatyka",16.44,194.1,1.76
"Uniwersytet w Białymstoku","U. w Białymstoku",37,2,5.4,24,"informatyka",20.25,403.85,1.83
"Uniwersytet Warszawski","U. Warszawski",98,4,4.1,50,"informatyka",99.11,515.95,0.99
"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","AGH w Krakowie",21,0,0,17,"informatyka",20.2,520.64,1.04
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",15,0,0,12,"informatyka",18.94,503.38,0.79
"Uniwersytet Wrocławski","U. Wrocławski",22,0,0,17,"informatyka",35.44,462.16,0.62
