"","International Conference on Computational Science","International Conference on Information Systems Development","International Conference on Knowledge-Based and Intelligent Information and Engineering Systems","European Conference on Artificial Intelligence","Genetic and Evolutionary Computations","International Business Information Management","Asian Conference on Intelligent Information and Database Systems","International Conference on Modelling and Simulation","IEEE International Conference on Data Mining","IEEE International Conference on Fuzzy Systems","CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS","International Conference on Computational Collective Intelligence","Advances in Neural Information Processing Systems","International Conference on Machine Learning","IEEE International Conference on Data Science and Advanced Analytics","Association of Computational Linguistics","Empirical Methods in Natural Language Processing","IEEE International Joint Conference on Neural Networks","Hawaii International Conference on System Sciences","IEEE International Conference on Pervasive Computing and Communications","Interspeech","ACM International Conference on Mobile Computing and Networking","National Conference of the American Association for Artificial Intelligence","International Conference on Computational Linguistics","European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database","ACM Conference on Embedded Networked Sensor Systems","International Joint Conference on Artificial Intelligence","IEEE Conference on Decision and Control","International Conference in Business Process Management","International Joint Conference on Autonomous Agents and Multiagent Systems"
"AGH w Krakowie",49,4,0,6,10,0,0,0,1,1,0,0,0,0,2,1,1,3,2,5,6,0,2,3,0,0,0,0,6,1
"Akademia z Paradyża",0,3,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akademia Śląska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Inst. Badań Systemowych PAN",5,0,0,1,1,0,0,0,0,3,1,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,3,0
"Inst. Chemii Bioorganicznej PAN",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Inst. Informatyki Teoretycznej i Stosowanej PAN",5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"Inst. Podstaw Informatyki PAN",11,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,1,4,2,0,4,0,0,6
"Inst. Podstawowych Problemów Techniki PAN",0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Inst. Łączności PIB",0,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Lubelska Akademia WSEI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,0,0,0,0
"NASK PIB",6,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,2,0,0,0,1,0,1,3,1,0,0,0,0,0
"OPI PIB",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"P. Białostocka",2,10,2,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1
"P. Bydgoska",0,1,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P. Częstochowska",11,15,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"P. Gdańska",13,26,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,1
"P. Krakowska",1,0,3,1,1,0,0,32,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P. Lubelska",0,2,0,5,0,0,0,0,3,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0
"P. Morska w Szczecinie",2,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P. Opolska",0,0,0,0,2,3,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P. Poznańska",4,8,0,7,19,1,0,1,0,0,0,0,6,3,0,3,1,0,2,5,0,2,3,0,4,0,0,0,0,0
"P. Rzeszowska",5,0,2,0,0,4,0,0,0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"P. Warszawska",26,8,0,9,8,0,2,0,0,1,5,0,7,10,3,1,5,4,2,0,5,0,1,2,2,0,7,1,1,1
"P. Wrocławska",49,2,11,9,14,8,33,0,23,0,4,16,3,2,4,7,6,6,0,7,6,0,4,3,2,1,0,1,0,0
"P. Łódzka",15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"P. Śląska",26,4,0,1,8,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
"PJATK",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"SGGW w Warszawie",17,1,8,5,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Społeczna Akademia Nauk w Łodzi",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Bielsko-Bialski",2,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Ekonomiczny w Katowicach",0,2,9,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Ekonomiczny w Poznaniu",0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Jagielloński w Krakowie",15,0,0,7,0,0,0,0,0,0,0,0,4,5,2,0,1,0,0,0,0,0,5,0,2,0,2,0,0,1
"U. Kardynała Stefana Wyszyńskiego w Warszawie",6,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Kazimierza Wielkiego w Bydgoszczy",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Marii Curie-Skłodowskiej w Lublinie",5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
