"podmiot","jednostka","materialy","astar_n","udzial_astar","l_konferencji","dyscyplina","N","ocena_I","mat_na_N"
"Akademia Śląska","Akademia Śląska",1,1,100,1,"informatyka techniczna i telekomunikacja",5.13,347.95,0.19
"Lubelska Akademia WSEI","Lubelska Akademia WSEI",22,19,86.4,3,"informatyka techniczna i telekomunikacja",13.06,551.3,1.68
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",9,7,77.8,7,"informatyka techniczna i telekomunikacja",3.04,532.89,2.96
"Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich","P. Bydgoska",14,10,71.4,4,"informatyka techniczna i telekomunikacja",23.81,408.95,0.59
"Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk","Inst. Podstawowych Problemów Techniki PAN",13,8,61.5,8,"informatyka techniczna i telekomunikacja",19.53,548.69,0.67
"Polsko-Japońska Akademia Technik Komputerowych","PJATK",11,6,54.5,6,"informatyka techniczna i telekomunikacja",14.38,309.04,0.76
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",59,24,40.7,23,"informatyka techniczna i telekomunikacja",54.2,477.62,1.09
"Politechnika Poznańska","P. Poznańska",101,35,34.7,36,"informatyka techniczna i telekomunikacja",123.34,454.39,0.82
"Politechnika Łódzka","P. Łódzka",69,22,31.9,26,"informatyka techniczna i telekomunikacja",89.2,406.92,0.77
"Naukowa i Akademicka Sieć Komputerowa - Państwowy Instytut Badawczy","NASK PIB",35,11,31.4,18,"informatyka techniczna i telekomunikacja",18.04,433.65,1.94
"Instytut Podstaw Informatyki Polskiej Akademii Nauk","Inst. Podstaw Informatyki PAN",61,17,27.9,27,"informatyka techniczna i telekomunikacja",32.6,467.88,1.87
"Politechnika Warszawska","P. Warszawska",169,46,27.2,56,"informatyka techniczna i telekomunikacja",186.55,422.12,0.91
"Ośrodek Przetwarzania Informacji — Państwowy Instytut Badawczy","OPI PIB",15,4,26.7,9,"informatyka techniczna i telekomunikacja",24.38,197.66,0.62
"Politechnika Lubelska","P. Lubelska",24,6,25,7,"informatyka techniczna i telekomunikacja",52.06,413.27,0.46
"Uniwersytet Ekonomiczny w Poznaniu","U. Ekonomiczny w Poznaniu",8,2,25,5,"informatyka techniczna i telekomunikacja",9.88,287.55,0.81
"Politechnika Wrocławska","P. Wrocławska",297,66,22.2,64,"informatyka techniczna i telekomunikacja",190.39,369.62,1.56
"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","AGH w Krakowie",139,28,20.1,42,"informatyka techniczna i telekomunikacja",140.66,450.06,0.99
"Instytut Informatyki Teoretycznej i Stosowanej Polskiej Akademii Nauk","Inst. Informatyki Teoretycznej i Stosowanej PAN",15,3,20,9,"informatyka techniczna i telekomunikacja",33.86,433.9,0.44
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",16,3,18.8,10,"informatyka techniczna i telekomunikacja",12.81,465.26,1.25
"Politechnika Morska w Szczecinie","P. Morska w Szczecinie",16,2,12.5,5,"informatyka techniczna i telekomunikacja",21,391.43,0.76
"Politechnika Śląska","P. Śląska",50,5,10,10,"informatyka techniczna i telekomunikacja",122.63,394.01,0.41
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",20,2,10,9,"informatyka techniczna i telekomunikacja",24.75,276.4,0.81
"Politechnika Opolska","P. Opolska",11,1,9.1,7,"informatyka techniczna i telekomunikacja",30.17,358.8,0.36
"Politechnika Gdańska","P. Gdańska",57,5,8.8,16,"informatyka techniczna i telekomunikacja",79.02,410.31,0.72
"Wyższa Szkoła Informatyki i Zarządzania z siedzibą w Rzeszowie","Wyższa Szkoła Informatyki i Zarządzania w Rze...",27,2,7.4,13,"informatyka techniczna i telekomunikacja",17,334.18,1.59
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie","Zachodniopomorski Uniwersytet Technologiczny ...",65,3,4.6,18,"informatyka techniczna i telekomunikacja",62.6,363.19,1.04
"Instytut Badań Systemowych Polskiej Akademii Nauk","Inst. Badań Systemowych PAN",23,1,4.3,13,"informatyka techniczna i telekomunikacja",40.63,430.08,0.57
"Politechnika Rzeszowska im. Ignacego Łukasiewicza","P. Rzeszowska",23,1,4.3,12,"informatyka techniczna i telekomunikacja",46.7,361.8,0.49
"Uniwersytet Ekonomiczny w Katowicach","U. Ekonomiczny w Katowicach",24,1,4.2,6,"informatyka techniczna i telekomunikacja",13.06,314.17,1.84
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",25,1,4,16,"informatyka techniczna i telekomunikacja",15.38,267.69,1.63
"Politechnika Białostocka","P. Białostocka",38,1,2.6,19,"informatyka techniczna i telekomunikacja",46.28,346.24,0.82
"Akademia im. Jakuba z Paradyża","Akademia z Paradyża",24,0,0,3,"informatyka techniczna i telekomunikacja",12.44,291.72,1.93
"Instytut Chemii Bioorganicznej Polskiej Akademii Nauk","Inst. Chemii Bioorganicznej PAN",10,0,0,5,"informatyka techniczna i telekomunikacja",14.42,419.21,0.69
