"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Akademia Śląska","Akademia Śląska",15,13,86.7,9,"informatyka techniczna i telekomunikacja",5.13,347.95,2.92
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy","U. Kazimierza Wielkiego w Bydgoszczy",56,42,75,13,"informatyka techniczna i telekomunikacja",18.88,358,2.97
"Uniwersytet Ekonomiczny w Katowicach","U. Ekonomiczny w Katowicach",22,16,72.7,11,"informatyka techniczna i telekomunikacja",13.06,314.17,1.68
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",46,29,63,18,"informatyka techniczna i telekomunikacja",13.75,307.13,3.35
"Lubelska Akademia WSEI","Lubelska Akademia WSEI",17,10,58.8,5,"informatyka techniczna i telekomunikacja",13.06,551.3,1.3
"Uniwersytet Bielsko-Bialski","U. Bielsko-Bialski",40,23,57.5,18,"informatyka techniczna i telekomunikacja",15.25,290.89,2.62
"Politechnika Morska w Szczecinie","P. Morska w Szczecinie",47,27,57.4,21,"informatyka techniczna i telekomunikacja",21,391.43,2.24
"Akademia im. Jakuba z Paradyża","Akademia z Paradyża",14,8,57.1,11,"informatyka techniczna i telekomunikacja",12.44,291.72,1.13
"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego","WAT",103,52,50.5,38,"informatyka techniczna i telekomunikacja",48.21,318.09,2.14
"Politechnika Łódzka","P. Łódzka",201,99,49.3,65,"informatyka techniczna i telekomunikacja",89.2,406.92,2.25
"Uniwersytet Zielonogórski w Zielonej Górze","U. Zielonogórski w Zielonej Górze",38,17,44.7,18,"informatyka techniczna i telekomunikacja",17.5,385.71,2.17
"Politechnika Śląska","P. Śląska",332,146,44,107,"informatyka techniczna i telekomunikacja",122.63,394.01,2.71
"Uniwersytet Rzeszowski","U. Rzeszowski",40,16,40,18,"informatyka techniczna i telekomunikacja",20.06,378.27,1.99
"Politechnika Opolska","P. Opolska",81,32,39.5,37,"informatyka techniczna i telekomunikacja",30.17,358.8,2.68
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie","Zachodniopomorski Uniwersytet Technologiczny ...",130,48,36.9,60,"informatyka techniczna i telekomunikacja",62.6,363.19,2.08
"Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich","P. Bydgoska",66,23,34.8,29,"informatyka techniczna i telekomunikacja",23.81,408.95,2.77
"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie","SGGW w Warszawie",116,40,34.5,52,"informatyka techniczna i telekomunikacja",47.69,333.34,2.43
"Politechnika Lubelska","P. Lubelska",132,45,34.1,42,"informatyka techniczna i telekomunikacja",52.06,413.27,2.54
"Politechnika Rzeszowska im. Ignacego Łukasiewicza","P. Rzeszowska",133,44,33.1,41,"informatyka techniczna i telekomunikacja",46.7,361.8,2.85
"Wojskowy Instytut Łączności im. prof. dr. hab. Janusza Groszkowskiego Państwowy Instytut Badawczy","Wojskowy Instytut Łączności",34,11,32.4,13,"informatyka techniczna i telekomunikacja",28.1,229.15,1.21
"Naukowa i Akademicka Sieć Komputerowa - Państwowy Instytut Badawczy","Naukowa i Akademicka Sieć Komputerowa PIB",19,6,31.6,15,"informatyka techniczna i telekomunikacja",18.04,433.65,1.05
"Politechnika Białostocka","P. Białostocka",105,33,31.4,51,"informatyka techniczna i telekomunikacja",46.28,346.24,2.27
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",23,7,30.4,16,"informatyka techniczna i telekomunikacja",15.38,267.69,1.5
"Uniwersytet Morski w Gdyni","U. Morski w Gdyni",39,11,28.2,13,"informatyka techniczna i telekomunikacja",21.33,272.11,1.83
"Politechnika Warszawska","P. Warszawska",441,124,28.1,165,"informatyka techniczna i telekomunikacja",186.55,422.12,2.36
