"","Scientific Reports","International Journal of Molecular Sciences","Journal of Clinical Medicine","Materials","Sensors","Applied Sciences","Cancers","Biocybernetics and Biomedical Engineering","Molecules","Biomedical Optics Express","Acta of Bioengineering and Biomechanics","PLoS ONE","ACS Applied Materials & Interfaces","Biomedical Signal Processing and Control","Measurement: Journal of the International Measurement Confederation","Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy","Continuum Mechanics and Thermodynamics","Polymers","Chemical Engineering Journal","Electronics","International Journal of Biological Macromolecules","Computer Methods and Programs in Biomedicine","Ultrasonics","Frontiers in Physiology","Membranes","PLoS Computational Biology","Polish Journal of Medical Physics and Engineering","Nanotechnology, Science and Applications","Cells","Archives of Civil and Mechanical Engineering"
"AGH w Krakowie",12,9,9,7,4,1,2,4,4,0,0,0,5,3,4,4,0,0,2,2,0,0,1,0,0,0,0,0,0,0
"Inst. Biocybernetyki i Inżynierii Biomedycznej",20,11,4,1,0,1,4,14,3,8,0,4,0,2,0,0,0,2,0,1,2,0,0,5,7,3,1,0,0,0
"Inst. Podstawowych Problemów Techniki PAN",3,2,1,3,0,0,4,0,5,0,0,2,6,1,0,0,0,1,3,0,2,0,6,0,0,3,0,3,0,1
"P. Białostocka",5,5,8,16,1,0,0,0,2,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"P. Gdańska",5,5,2,2,1,2,2,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"P. Warszawska",13,3,7,0,14,7,0,3,0,4,1,3,1,3,3,2,11,2,1,3,1,1,0,1,0,0,5,4,1,0
"P. Wrocławska",10,10,7,1,0,0,2,1,0,8,1,0,1,2,1,3,0,0,0,0,2,0,0,1,0,1,0,0,2,1
"P. Śląska",19,18,11,13,19,16,5,0,4,1,12,3,1,1,3,1,0,4,0,1,1,6,0,0,0,0,0,0,2,4
"U. Wrocławski",4,11,0,0,0,0,1,0,3,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"U. Śląski w Katowicach",2,1,7,9,3,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
