"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",53,38,71.7,23,"inżynieria biomedyczna",18,465,2.94
"Politechnika Białostocka","P. Białostocka",57,34,59.6,24,"inżynieria biomedyczna",19.24,421.1,2.96
"Politechnika Śląska","P. Śląska",265,111,41.9,116,"inżynieria biomedyczna",82.67,418.91,3.21
"Uniwersytet Wrocławski","U. Wrocławski",60,20,33.3,38,"inżynieria biomedyczna",18.97,452.4,3.16
"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","AGH w Krakowie",133,39,29.3,63,"inżynieria biomedyczna",47.84,512.44,2.78
"Politechnika Gdańska","P. Gdańska",69,18,26.1,49,"inżynieria biomedyczna",23.48,519.25,2.94
"Instytut Biocybernetyki i Inżynierii Biomedycznej im. Macieja Nałęcza Polskiej Akademii Nauk","Inst. Biocybernetyki i Inżynierii Biomedycznej",151,39,25.8,67,"inżynieria biomedyczna",48.57,391.81,3.11
"Politechnika Wrocławska","P. Wrocławska",98,25,25.5,55,"inżynieria biomedyczna",31.81,438.1,3.08
"Politechnika Warszawska","P. Warszawska",160,40,25,78,"inżynieria biomedyczna",52.01,393.5,3.08
"Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk","Inst. Podstawowych Problemów Techniki PAN",111,19,17.1,67,"inżynieria biomedyczna",35.58,455.48,3.12
