"","Materials","Molecules","Energies","International Journal of Molecular Sciences","Scientific Reports","Chemical Engineering Journal","Chemical and Process Engineering - Inżynieria Chemiczna i Procesowa","Polymers","Catalysts","Chemical Engineering and Processing - Process Intensification","ACS Applied Materials & Interfaces","Chemical Engineering Research and Design","Journal of Thermal Analysis and Calorimetry","Energy","International Journal of Hydrogen Energy","Applied Surface Science","Przemysł Chemiczny","Applied Sciences","Journal of Environmental Management","Industrial & Engineering Chemistry Research","Ceramics International","Fuel","Journal of Cleaner Production","ACS Sustainable Chemistry & Engineering","Journal of Chromatography A","Desalination and Water Treatment","Science of the Total Environment","Sustainable Materials and Technologies","Journal of the European Ceramic Society","Journal of Environmental Chemical Engineering"
"AGH w Krakowie",53,15,34,5,8,6,2,1,2,2,3,2,10,9,1,4,2,5,3,2,11,8,3,0,0,2,2,6,8,0
"Inst. Inżynierii Chemicznej PAN",1,3,8,1,2,3,7,3,2,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0
"P. Bydgoska",8,16,1,9,0,0,1,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,1,1,0,0,0,1,0,0
"P. Gdańska",7,7,1,1,3,6,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,2,0,0,1,2,0,0
"P. Krakowska",50,49,13,21,6,7,1,0,1,2,5,4,1,8,3,0,0,2,2,3,0,0,7,1,0,0,2,2,0,1
"P. Rzeszowska",31,25,1,12,8,0,3,14,1,0,1,2,3,0,0,1,0,1,0,2,0,0,0,3,13,1,0,1,0,0
"P. Warszawska",32,15,19,13,9,7,18,11,11,6,2,6,4,1,9,2,3,4,1,1,3,3,0,2,0,3,0,0,3,3
"P. Wrocławska",15,15,3,10,9,8,1,2,2,4,1,2,4,1,3,3,0,1,10,2,0,2,1,1,0,0,2,0,0,6
"P. Łódzka",17,31,30,8,8,3,8,1,4,5,1,3,0,2,2,0,0,3,2,1,0,0,0,0,0,2,4,0,0,0
"P. Śląska",24,12,7,8,7,3,0,0,0,3,10,0,0,1,1,4,0,0,0,2,0,0,0,3,0,0,1,0,0,0
"Wojskowy Instytut Chemii i Radiometrii",2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0
"Zachodniopomorski Uniwersytet Technologiczny ...",29,33,5,10,5,7,8,1,4,4,0,3,0,1,1,2,0,3,0,4,0,1,0,0,0,2,0,0,0,1
