"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich","P. Bydgoska",56,35,62.5,21,"inżynieria chemiczna",18.18,512.38,3.08
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie","Zachodniopomorski Uniwersytet Technologiczny ...",171,89,52,54,"inżynieria chemiczna",45.63,494.94,3.75
"Politechnika Krakowska im. Tadeusza Kościuszki","P. Krakowska",287,145,50.5,85,"inżynieria chemiczna",90.22,519.11,3.18
"Politechnika Łódzka","P. Łódzka",224,113,50.4,82,"inżynieria chemiczna",65.92,482.19,3.4
"Wojskowy Instytut Chemii i Radiometrii","Wojskowy Instytut Chemii i Radiometrii",28,13,46.4,17,"inżynieria chemiczna",14.03,225.87,2
"Politechnika Rzeszowska im. Ignacego Łukasiewicza","P. Rzeszowska",219,98,44.7,88,"inżynieria chemiczna",66.86,427.82,3.28
"Politechnika Śląska","P. Śląska",121,52,43,40,"inżynieria chemiczna",36.22,553.34,3.34
"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","AGH w Krakowie",294,120,40.8,88,"inżynieria chemiczna",87.35,465.35,3.37
"Politechnika Warszawska","P. Warszawska",330,126,38.2,122,"inżynieria chemiczna",94.3,431.63,3.5
"Instytut Inżynierii Chemicznej Polskiej Akademii Nauk","Inst. Inżynierii Chemicznej PAN",60,22,36.7,27,"inżynieria chemiczna",18.65,336.03,3.22
"Politechnika Gdańska","P. Gdańska",69,16,23.2,35,"inżynieria chemiczna",22.89,570.12,3.01
"Politechnika Wrocławska","P. Wrocławska",278,64,23,131,"inżynieria chemiczna",88.22,480.88,3.15
