"","Materials","Materiały Budowlane","Energies","Applied Sciences","Archives of Civil Engineering","Sustainability","Scientific Reports","Construction and Building Materials","Sensors","Transport Problems","Measurement: Journal of the International Measurement Confederation","Remote Sensing","Inżynieria i Budownictwo","Roads and Bridges - Drogi i Mosty","Journal of Building Engineering","Advances in Science and Technology-Research Journal","Archives of Transport","Przegląd Budowlany","TransNav-International Journal on Marine Navigation and Safety of Sea Transportation","Scientific Journal of Silesian University of Technology-Series Transport","Engineering Structures","Archives of Civil and Mechanical Engineering","Water","Studia Geotechnica et Mechanica","Eksploatacja i Niezawodnosc","Bulletin of the Polish Academy of Sciences: Technical Sciences","Engineering Failure Analysis","Materiały Budowlane - Science","Inżynieria Bezpieczeństwa Obiektów Antropogenicznych","European Research Studies Journal"
"AGH w Krakowie",17,20,15,22,8,14,5,2,6,1,7,19,0,0,3,0,0,2,0,1,2,1,1,1,1,0,1,0,1,0
"Inst. Badawczy Dróg i Mostów",5,13,1,4,1,0,1,0,0,0,0,1,2,30,0,0,0,2,0,1,0,0,0,0,0,0,0,15,0,0
"Inst. Budownictwa Wodnego PAN",0,0,1,4,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0
"Inst. Kolejnictwa",0,0,12,3,2,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,1,0,4
"Inst. Techniki Budowlanej",33,18,6,4,7,2,6,0,0,0,4,0,0,0,7,0,0,0,0,0,0,3,0,0,0,3,0,17,0,0
"Inst. Transportu Samochodowego",2,0,12,10,0,0,1,0,0,11,0,0,0,0,0,0,2,0,0,1,0,1,0,0,5,0,0,0,0,4
"P. Białostocka",43,34,14,7,4,6,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,8,0,1,0
"P. Bydgoska",9,18,3,3,2,4,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"P. Częstochowska",25,33,4,6,5,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0
"P. Gdańska",21,14,8,5,15,6,27,11,1,0,15,8,2,1,7,3,2,0,0,1,10,0,2,0,1,7,3,0,2,0
"P. Koszalińska",11,10,16,5,5,1,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
"P. Krakowska",94,35,26,13,19,8,8,3,0,0,5,0,3,1,1,0,2,0,0,1,8,8,0,0,1,2,0,0,3,0
"P. Lubelska",52,20,13,4,12,1,2,13,0,1,2,1,0,1,7,14,0,0,0,0,1,4,0,0,0,1,1,0,1,0
"P. Morska w Szczecinie",1,0,30,26,0,7,1,0,6,0,1,6,0,1,0,3,2,0,10,0,0,0,0,0,0,0,0,0,0,5
"P. Opolska",8,2,8,3,5,1,3,3,0,0,5,0,6,0,1,0,0,2,0,0,1,1,0,0,2,0,0,0,0,1
"P. Poznańska",97,22,79,23,15,18,7,4,5,5,12,0,2,3,2,15,12,0,0,4,2,3,0,0,9,4,1,0,1,1
"P. Rzeszowska",30,19,9,7,12,7,1,0,3,5,3,0,19,2,4,3,1,1,0,1,2,2,1,0,0,0,0,0,2,0
"P. Warszawska",67,77,92,46,89,49,9,11,18,18,4,9,7,11,3,5,18,16,0,9,4,1,8,0,15,1,6,0,1,1
"P. Wrocławska",33,77,3,16,24,9,5,12,6,2,8,2,8,7,6,0,0,12,0,0,5,15,1,31,0,11,1,0,0,0
"P. Łódzka",31,17,5,3,8,4,1,5,0,0,0,0,3,1,6,0,0,1,0,0,1,2,1,3,0,2,0,0,0,0
"P. Śląska",59,72,56,10,19,9,16,8,15,35,3,3,19,0,8,3,9,0,0,27,7,0,1,0,6,4,6,0,0,3
"P. Świętokrzyska",80,1,5,16,14,1,0,6,0,0,0,0,3,4,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"SGGW w Warszawie",27,8,18,18,7,35,6,0,4,0,0,0,2,3,3,0,0,4,0,0,0,1,6,6,0,0,0,0,16,3
"U. Bielsko-Bialski",2,13,0,3,1,2,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"U. Morski w Gdyni",1,0,11,5,0,12,3,0,8,2,4,4,1,0,0,0,1,0,48,0,0,0,8,0,0,0,0,0,0,0
"U. Przyrodniczy we Wrocławiu",6,1,0,1,2,0,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"U. Radomski",0,0,14,3,0,0,0,0,2,3,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,1,6
"U. Rolniczy w Krakowie",3,0,6,6,6,9,3,0,4,0,0,4,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"U. Warmińsko-Mazurski w Olsztynie",7,10,10,9,2,9,6,2,9,0,5,21,0,0,2,0,3,8,0,0,1,0,2,1,0,1,7,3,0,0
"U. Zielonogórski w Zielonej Górze",6,10,6,3,4,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,3,0,0,0
"WAT",20,6,12,13,5,5,1,0,1,2,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,2
"Zachodniopomorski Uniwersytet Technologiczny ...",12,14,7,4,10,11,0,9,0,0,2,0,5,6,3,1,0,7,0,2,2,1,0,0,0,0,0,0,0,2
