"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Politechnika Świętokrzyska","P. Świętokrzyska",153,105,68.6,22,"inżynieria lądowa, geodezja i transport",48.38,419.82,3.16
"Politechnika Morska w Szczecinie","P. Morska w Szczecinie",149,80,53.7,37,"inżynieria lądowa, geodezja i transport",52.25,322.93,2.85
"Politechnika Koszalińska","P. Koszalińska",74,39,52.7,24,"inżynieria lądowa, geodezja i transport",24.22,396.08,3.06
"Akademia WSB","Akademia WSB",20,10,50,12,"inżynieria lądowa, geodezja i transport",8.19,307.45,2.44
"Politechnika Poznańska","P. Poznańska",464,231,49.8,98,"inżynieria lądowa, geodezja i transport",148.02,434.77,3.13
"Politechnika Białostocka","P. Białostocka",143,70,49,21,"inżynieria lądowa, geodezja i transport",46.5,371.7,3.08
"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego","WAT",121,59,48.8,44,"inżynieria lądowa, geodezja i transport",35.75,384.17,3.38
"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie","SGGW w Warszawie",273,129,47.3,80,"inżynieria lądowa, geodezja i transport",72.5,341.53,3.77
"Politechnika Krakowska im. Tadeusza Kościuszki","P. Krakowska",305,144,47.2,66,"inżynieria lądowa, geodezja i transport",98.38,407.29,3.1
"Uniwersytet Radomski im. Kazimierza Pułaskiego","U. Radomski",49,20,40.8,18,"inżynieria lądowa, geodezja i transport",16.31,349.42,3
"Politechnika Lubelska","P. Lubelska",184,71,38.6,44,"inżynieria lądowa, geodezja i transport",60.68,460.96,3.03
"Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich","P. Bydgoska",60,23,38.3,25,"inżynieria lądowa, geodezja i transport",21.06,339.55,2.85
"Politechnika Warszawska","P. Warszawska",900,311,34.6,199,"inżynieria lądowa, geodezja i transport",296.6,332.31,3.03
"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","AGH w Krakowie",309,106,34.3,107,"inżynieria lądowa, geodezja i transport",96.58,342.05,3.2
"Politechnika Rzeszowska im. Ignacego Łukasiewicza","P. Rzeszowska",170,58,34.1,53,"inżynieria lądowa, geodezja i transport",54.75,393.61,3.11
"Instytut Techniki Budowlanej","Inst. Techniki Budowlanej",133,45,33.8,25,"inżynieria lądowa, geodezja i transport",39.75,415.65,3.35
"Uniwersytet Morski w Gdyni","U. Morski w Gdyni",153,51,33.3,38,"inżynieria lądowa, geodezja i transport",48.13,301.45,3.18
"Politechnika Śląska","P. Śląska",475,156,32.8,77,"inżynieria lądowa, geodezja i transport",149.38,373.76,3.18
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",241,77,32,97,"inżynieria lądowa, geodezja i transport",73.9,325.66,3.26
"Uniwersytet Zielonogórski w Zielonej Górze","U. Zielonogórski w Zielonej Górze",60,19,31.7,24,"inżynieria lądowa, geodezja i transport",18.5,366.38,3.24
"Politechnika Częstochowska","P. Częstochowska",117,37,31.6,27,"inżynieria lądowa, geodezja i transport",40.26,392.03,2.91
"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie","U. Rolniczy w Krakowie",120,35,29.2,53,"inżynieria lądowa, geodezja i transport",39.13,367.65,3.07
"Politechnika Łódzka","P. Łódzka",163,47,28.8,58,"inżynieria lądowa, geodezja i transport",54.29,377.73,3
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie","Zachodniopomorski Uniwersytet Technologiczny ...",145,39,26.9,47,"inżynieria lądowa, geodezja i transport",44.56,349.39,3.25
"Instytut Transportu Samochodowego","Inst. Transportu Samochodowego",95,25,26.3,29,"inżynieria lądowa, geodezja i transport",34.33,242.44,2.77
"Politechnika Opolska","P. Opolska",93,23,24.7,52,"inżynieria lądowa, geodezja i transport",37.59,299.02,2.47
"Akademia Śląska","Akademia Śląska",29,7,24.1,18,"inżynieria lądowa, geodezja i transport",9.5,312.63,3.05
"Politechnika Wrocławska","P. Wrocławska",404,78,19.3,91,"inżynieria lądowa, geodezja i transport",131.22,348.23,3.08
"Uniwersytet Bielsko-Bialski","U. Bielsko-Bialski",48,9,18.8,29,"inżynieria lądowa, geodezja i transport",15.19,310.4,3.16
"Instytut Budownictwa Wodnego Polskiej Akademii Nauk","Inst. Budownictwa Wodnego PAN",77,13,16.9,42,"inżynieria lądowa, geodezja i transport",26.25,356,2.93
"Politechnika Gdańska","P. Gdańska",344,55,16,116,"inżynieria lądowa, geodezja i transport",113.59,419.88,3.03
"Instytut Kolejnictwa","Inst. Kolejnictwa",115,18,15.7,37,"inżynieria lądowa, geodezja i transport",55.96,140.37,2.06
"Instytut Badawczy Dróg i Mostów","Inst. Badawczy Dróg i Mostów",113,13,11.5,39,"inżynieria lądowa, geodezja i transport",37.98,249.24,2.98
"Uniwersytet Przyrodniczy we Wrocławiu","U. Przyrodniczy we Wrocławiu",88,9,10.2,33,"inżynieria lądowa, geodezja i transport",27.42,443.14,3.21
