"","Materials","Archives of Civil and Mechanical Engineering","Scientific Reports","International Journal of Molecular Sciences","Molecules","Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science","Applied Surface Science","ACS Applied Materials & Interfaces","Energies","Journal of Alloys and Compounds","Chemical Engineering Journal","International Journal of Hydrogen Energy","Materials Science & Engineering A: Structural Materials: Properties, Microstructure and Processing","Autex Research Journal","Measurement: Journal of the International Measurement Confederation","Materials and Design","Sustainable Materials and Technologies","Acta Materialia","Journal of Physical Chemistry C","Applied Sciences","Journal of the European Ceramic Society","Journal of Thermal Analysis and Calorimetry","Coatings","Journal of Achievements in Materials and Manufacturing Engineering","Polymers","Chemistry of Materials","Journal of Materials Chemistry C","Physical Review B","Advances in Science and Technology-Research Journal","Industrial Crops and Products"
"AGH w Krakowie",286,51,22,32,27,37,23,22,20,19,16,11,6,0,4,14,12,8,3,12,13,9,6,1,3,9,2,0,3,1
"Inst. Chemii Organicznej PAN",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inst. Metalurgii i Inżynierii Materiałowej",28,25,1,1,5,14,4,5,0,6,1,0,3,0,0,3,1,5,2,1,1,0,0,1,0,0,0,0,0,0
"Inst. Podstawowych Problemów Techniki PAN",14,6,2,2,5,11,3,6,2,3,3,1,1,0,2,0,0,0,0,1,0,0,2,0,5,0,0,2,0,0
"Inst. Technologii Bezpieczeństwa MORATEX",11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Inst. Wysokich Ciśnień PAN",27,2,4,5,0,0,0,2,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0
"Narodowe Centrum Badań Jądrowych",14,4,5,0,1,3,9,1,0,3,1,1,3,0,0,3,0,4,0,0,0,0,3,0,0,0,0,2,0,0
"P. Częstochowska",115,4,8,1,2,2,0,1,5,0,1,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,1,3,2,0
"P. Gdańska",6,0,6,2,0,2,4,7,0,1,7,7,0,0,2,0,6,1,3,0,6,0,0,0,0,4,2,6,0,2
"P. Krakowska",72,0,5,6,6,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2
"P. Poznańska",31,0,6,7,12,0,8,0,0,0,1,0,0,0,3,0,2,3,7,0,2,0,0,0,0,1,1,3,0,5
"P. Rzeszowska",46,7,1,2,1,4,0,0,2,0,0,0,1,0,2,1,1,0,0,2,0,1,0,0,0,0,0,0,6,0
"P. Warszawska",66,16,6,5,2,20,7,5,0,5,1,2,10,0,2,1,2,5,0,0,2,0,0,1,0,0,0,2,0,0
"P. Wrocławska",3,0,0,0,0,2,0,5,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,2,8,1,0,0
"P. Łódzka",110,0,2,9,6,0,5,1,4,0,2,0,0,33,5,2,0,0,0,1,0,0,1,4,1,0,0,0,0,1
"P. Śląska",168,23,34,4,5,8,7,1,19,11,4,4,11,0,5,4,2,1,1,3,1,14,9,15,5,1,3,0,10,2
"U. Kazimierza Wielkiego w Bydgoszczy",15,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,10,0,1,0,0,3
"U. Komisji Edukacji Narodowej w Krakowie",22,1,2,0,1,0,0,1,4,3,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"U. Rzeszowski",9,0,8,6,6,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"U. w Poznaniu",8,0,7,6,5,0,4,10,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
"U. Śląski w Katowicach",91,3,2,9,8,2,0,3,0,0,0,2,0,0,1,1,0,0,1,2,1,0,2,0,0,0,0,0,0,0
"WAT",45,4,8,1,3,1,3,0,1,2,1,4,0,0,1,1,0,1,0,1,0,0,0,0,0,2,3,2,0,0
"Zachodniopomorski Uniwersytet Technologiczny ...",28,0,5,8,12,0,4,2,0,1,7,3,0,1,0,2,3,0,1,0,1,0,0,0,0,1,0,0,0,5
