"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Politechnika Krakowska im. Tadeusza Kościuszki","P. Krakowska",118,88,74.6,25,"inżynieria materiałowa",32.63,446.03,3.62
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",155,113,72.9,35,"inżynieria materiałowa",49.44,509.12,3.14
"Politechnika Częstochowska","P. Częstochowska",173,124,71.7,34,"inżynieria materiałowa",56.5,463.03,3.06
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",47,29,61.7,19,"inżynieria materiałowa",15.63,447.66,3.01
"Politechnika Łódzka","P. Łódzka",233,137,58.8,47,"inżynieria materiałowa",74.3,463.01,3.14
"Instytut Technologii Bezpieczeństwa MORATEX","Inst. Technologii Bezpieczeństwa MORATEX",24,13,54.2,10,"inżynieria materiałowa",19.16,166.13,1.25
"Politechnika Rzeszowska im. Ignacego Łukasiewicza","P. Rzeszowska",100,53,53,32,"inżynieria materiałowa",31.71,502.02,3.15
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy","U. Kazimierza Wielkiego w Bydgoszczy",60,29,48.3,30,"inżynieria materiałowa",16.5,408.18,3.64
"Uniwersytet Rzeszowski","U. Rzeszowski",46,22,47.8,18,"inżynieria materiałowa",14.13,496.74,3.26
"Instytut Wysokich Ciśnień Polskiej Akademii Nauk","Inst. Wysokich Ciśnień PAN",70,32,45.7,28,"inżynieria materiałowa",22.61,509.33,3.1
"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","AGH w Krakowie",920,399,43.4,165,"inżynieria materiałowa",298.88,462.49,3.08
"Politechnika Śląska","P. Śląska",519,222,42.8,114,"inżynieria materiałowa",160.05,457.14,3.24
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie","Zachodniopomorski Uniwersytet Technologiczny ...",114,48,42.1,41,"inżynieria materiałowa",31.46,547.11,3.62
"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego","WAT",179,59,33,68,"inżynieria materiałowa",58.69,436.97,3.05
"Politechnika Poznańska","P. Poznańska",156,50,32.1,59,"inżynieria materiałowa",50.88,547.11,3.07
"Politechnika Warszawska","P. Warszawska",246,73,29.7,72,"inżynieria materiałowa",67.59,512.06,3.64
"Instytut Metalurgii i Inżynierii Materiałowej im. Aleksandra Krupkowskiego Polskiej Akademii Nauk","Inst. Metalurgii i Inżynierii Materiałowej",160,35,21.9,55,"inżynieria materiałowa",49.2,460.18,3.25
"Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk","Inst. Podstawowych Problemów Techniki PAN",160,35,21.9,82,"inżynieria materiałowa",49.01,466.68,3.26
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",98,20,20.4,50,"inżynieria materiałowa",31.19,522.6,3.14
"Narodowe Centrum Badań Jądrowych","Narodowe Centrum Badań Jądrowych",123,18,14.6,56,"inżynieria materiałowa",40.89,393.18,3.01
"Politechnika Gdańska","P. Gdańska",118,8,6.8,48,"inżynieria materiałowa",37.52,545.47,3.14
"Politechnika Wrocławska","P. Wrocławska",77,4,5.2,42,"inżynieria materiałowa",25.6,524.06,3.01
"Instytut Chemii Organicznej Polskiej Akademii Nauk","Inst. Chemii Organicznej PAN",10,0,0,8,"inżynieria materiałowa",3.24,586.42,3.09
