"","Materials","Energies","Applied Sciences","Advances in Science and Technology-Research Journal","Scientific Reports","Sensors","Measurement: Journal of the International Measurement Confederation","Sustainability","Acta Mechanica et Automatica","Archives of Civil and Mechanical Engineering","Energy","Mechanical Systems and Signal Processing","Przemysł Chemiczny","Eksploatacja i Niezawodnosc","Polymers","Composite Structures","Tribology International","Combustion Engines","Bulletin of the Polish Academy of Sciences: Technical Sciences","Polish Maritime Research","Coatings","Vibrations in Physical Systems","International Journal of Advanced Manufacturing Technology","Journal of Sound and Vibration","TRIBOLOGIA","Electronics","Molecules","Wear","Zeszyty Naukowe Politechniki Śląskiej. Seria Organizacja i Zarządzanie","Acta of Bioengineering and Biomechanics"
"AGH w Krakowie",78,97,26,22,6,24,12,11,8,4,8,13,21,7,2,0,1,0,2,0,2,38,3,12,13,3,4,1,1,1
"Akademia z Paradyża",11,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Inst. Maszyn Przepływowych",41,4,0,2,7,0,1,0,1,0,22,18,0,0,0,4,4,0,1,2,0,0,1,3,0,0,0,3,0,0
"Inst. Podstawowych Problemów Techniki PAN",15,1,1,0,0,4,5,0,0,8,0,6,0,0,0,0,3,0,4,0,0,0,1,3,0,0,0,1,0,0
"Inst. Techniczny Wojsk Lotniczych",10,18,2,0,2,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0
"Inst. Techniki Górniczej KOMAG",4,16,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"P. Białostocka",57,0,6,4,11,8,3,7,25,1,3,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,6,0,0
"P. Bydgoska",37,16,15,12,1,3,0,4,1,1,0,0,0,0,9,0,0,0,2,1,1,0,2,0,0,2,0,0,0,1
"P. Częstochowska",61,21,8,3,1,1,0,1,3,2,8,0,0,0,2,0,0,0,9,0,0,1,0,1,0,0,0,0,0,0
"P. Gdańska",34,17,13,8,17,3,11,1,5,3,11,4,2,1,1,0,7,9,2,45,5,0,7,0,4,1,0,6,0,1
"P. Koszalińska",48,22,0,0,1,0,1,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"P. Krakowska",62,30,22,16,2,0,8,6,1,1,2,2,0,2,1,0,2,0,0,0,0,0,1,2,0,0,0,0,0,4
"P. Lubelska",166,18,11,41,9,6,15,0,4,11,5,6,0,12,3,21,0,2,1,0,1,0,3,10,0,0,0,3,0,0
"P. Morska w Szczecinie",4,48,12,5,1,0,5,3,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,5,0
"P. Opolska",14,2,1,6,5,1,15,0,0,3,2,3,0,3,0,2,9,1,0,0,0,0,0,0,0,0,0,1,2,0
"P. Poznańska",134,12,18,9,23,1,17,8,0,3,6,0,0,6,0,1,11,0,5,0,1,0,2,0,0,1,3,5,0,1
"P. Rzeszowska",119,43,39,54,8,15,8,6,11,6,1,1,0,4,2,0,5,9,2,1,1,2,4,0,2,11,1,4,3,0
"P. Warszawska",61,43,33,31,19,23,4,6,6,7,7,3,45,7,12,2,2,8,11,2,6,2,1,2,3,6,1,1,1,2
"P. Wrocławska",88,58,57,18,21,22,12,18,3,28,2,0,1,8,18,10,3,19,3,0,10,0,11,1,13,1,1,6,0,16
"P. Łódzka",39,25,12,5,11,4,3,0,1,2,2,15,0,2,3,11,3,1,3,0,2,2,2,9,2,3,0,1,0,4
"P. Śląska",38,34,24,6,5,27,2,11,3,1,0,0,0,3,1,4,0,1,3,0,1,2,0,0,1,3,0,1,24,1
"P. Świętokrzyska",69,59,14,11,0,7,1,2,6,0,0,0,0,2,1,0,0,0,1,0,7,0,3,0,0,2,0,0,0,0
"SGGW w Warszawie",16,16,21,13,5,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"U. Bielsko-Bialski",16,3,5,2,0,2,2,1,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0
"U. Kaliski",12,3,2,0,4,0,2,1,0,1,0,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
"U. Kazimierza Wielkiego w Bydgoszczy",21,6,3,2,2,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1
"U. Morski w Gdyni",27,4,3,6,6,5,0,0,1,1,0,0,0,0,3,0,1,1,0,1,1,1,0,0,4,0,0,0,0,0
"U. Przyrodniczy w Lublinie",38,13,8,2,19,1,0,5,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"U. Przyrodniczy w Poznaniu",18,24,0,0,4,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Radomski",14,12,7,4,2,6,0,0,1,0,0,0,0,2,4,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"U. Rolniczy w Krakowie",21,31,4,0,13,2,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0
"U. Warmińsko-Mazurski w Olsztynie",20,13,15,2,8,3,3,6,0,0,1,0,2,4,0,0,0,2,1,0,0,0,0,0,2,1,2,0,0,0
"U. Zielonogórski w Zielonej Górze",15,0,2,6,1,0,1,0,0,0,0,0,0,1,0,0,5,0,1,0,1,0,0,0,0,0,0,1,0,1
"WAT",100,45,16,8,6,13,1,0,4,4,2,1,0,1,2,2,0,0,2,0,0,0,0,0,0,3,0,0,0,4
"Wojskowy Instytut Techniczny Uzbrojenia",3,0,2,1,1,1,0,1,1,1,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Wojskowy Instytut Techniki Inżynieryjnej",5,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Wojskowy Instytut Techniki Pancernej i Samoch...",2,0,5,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Zachodniopomorski Uniwersytet Technologiczny ...",19,18,7,7,1,2,4,1,2,1,0,0,1,1,3,1,1,5,0,3,6,0,4,1,0,0,2,0,0,0
