"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Politechnika Świętokrzyska","P. Świętokrzyska",219,161,73.5,42,"inżynieria mechaniczna",67.53,454.33,3.24
"Uniwersytet Przyrodniczy w Poznaniu","U. Przyrodniczy w Poznaniu",72,51,70.8,19,"inżynieria mechaniczna",21.63,487.93,3.33
"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie","U. Rolniczy w Krakowie",109,75,68.8,21,"inżynieria mechaniczna",34.84,456.11,3.13
"Politechnika Koszalińska","P. Koszalińska",105,71,67.6,25,"inżynieria mechaniczna",32,532.53,3.28
"Uniwersytet Radomski im. Kazimierza Pułaskiego","U. Radomski",68,45,66.2,23,"inżynieria mechaniczna",20.88,410.63,3.26
"Uniwersytet Przyrodniczy w Lublinie","U. Przyrodniczy w Lublinie",144,93,64.6,28,"inżynieria mechaniczna",43.53,489.32,3.31
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy","U. Kazimierza Wielkiego w Bydgoszczy",55,35,63.6,22,"inżynieria mechaniczna",16.88,438.92,3.26
"Instytut Techniczny Wojsk Lotniczych","Inst. Techniczny Wojsk Lotniczych",63,39,61.9,26,"inżynieria mechaniczna",37.88,457.13,1.66
"Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich","P. Bydgoska",151,91,60.3,44,"inżynieria mechaniczna",49.19,404.23,3.07
"Uniwersytet Kaliski im. Prezydenta Stanisława Wojciechowskiego","U. Kaliski",40,24,60,21,"inżynieria mechaniczna",13.54,451.18,2.95
"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie","SGGW w Warszawie",129,77,59.7,40,"inżynieria mechaniczna",39.63,421.45,3.26
"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego","WAT",308,182,59.1,83,"inżynieria mechaniczna",96.63,426.19,3.19
"Politechnika Morska w Szczecinie","P. Morska w Szczecinie",120,67,55.8,34,"inżynieria mechaniczna",40.25,414.36,2.98
"Politechnika Krakowska im. Tadeusza Kościuszki","P. Krakowska",224,122,54.5,59,"inżynieria mechaniczna",72.19,433.27,3.1
"Instytut Techniki Górniczej KOMAG","Inst. Techniki Górniczej KOMAG",46,25,54.3,21,"inżynieria mechaniczna",14.22,413.92,3.23
"Politechnika Lubelska","P. Lubelska",424,211,49.8,66,"inżynieria mechaniczna",130.06,504.84,3.26
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",142,67,47.2,58,"inżynieria mechaniczna",43.25,414.15,3.28
"Politechnika Poznańska","P. Poznańska",391,182,46.5,97,"inżynieria mechaniczna",120.83,516.56,3.24
"Politechnika Rzeszowska im. Ignacego Łukasiewicza","P. Rzeszowska",573,259,45.2,135,"inżynieria mechaniczna",188.52,378.86,3.04
"Akademia im. Jakuba z Paradyża","Akademia z Paradyża",36,16,44.4,17,"inżynieria mechaniczna",19.06,313.85,1.89
"Uniwersytet Morski w Gdyni","U. Morski w Gdyni",99,44,44.4,26,"inżynieria mechaniczna",33.44,307.86,2.96
