"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Jana Długosza w Częstochowie","U. Jana Długosza w Częstochowie",39,24,61.5,14,"inżynieria środowiska, górnictwo i energetyka",11.02,440.38,3.54
"Politechnika Białostocka","P. Białostocka",164,100,61,35,"inżynieria środowiska, górnictwo i energetyka",53.75,447.46,3.05
"Uniwersytet Przyrodniczy w Lublinie","U. Przyrodniczy w Lublinie",127,77,60.6,33,"inżynieria środowiska, górnictwo i energetyka",41.25,441.12,3.08
"Instytut Technologiczno-Przyrodniczy - Państwowy Instytut Badawczy","Inst. Technologiczno-Przyrodniczy PIB",62,37,59.7,21,"inżynieria środowiska, górnictwo i energetyka",18.89,412.28,3.28
"Politechnika Rzeszowska im. Ignacego Łukasiewicza","P. Rzeszowska",124,74,59.7,30,"inżynieria środowiska, górnictwo i energetyka",36.58,483.24,3.39
"Politechnika Świętokrzyska","P. Świętokrzyska",83,49,59,32,"inżynieria środowiska, górnictwo i energetyka",27.56,433.53,3.01
"Instytut Techniki Górniczej KOMAG","Inst. Techniki Górniczej KOMAG",47,26,55.3,18,"inżynieria środowiska, górnictwo i energetyka",14.38,412.24,3.27
"Centrum Naukowo-Badawcze Ochrony Przeciwpożarowej im. Józefa Tuliszkowskiego - Państwowy Instytut Badawczy","Centrum Naukowo-Badawcze Ochrony Przeciwpożar...",45,24,53.3,17,"inżynieria środowiska, górnictwo i energetyka",13.88,339.27,3.24
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",145,77,53.1,34,"inżynieria środowiska, górnictwo i energetyka",36.67,491.36,3.95
"Politechnika Poznańska","P. Poznańska",250,132,52.8,63,"inżynieria środowiska, górnictwo i energetyka",81.14,497.78,3.08
"Uniwersytet Opolski","U. Opolski",53,28,52.8,20,"inżynieria środowiska, górnictwo i energetyka",15.56,395.05,3.41
"Politechnika Lubelska","P. Lubelska",133,65,48.9,44,"inżynieria środowiska, górnictwo i energetyka",43.38,483.56,3.07
"Uniwersytet Przyrodniczy w Poznaniu","U. Przyrodniczy w Poznaniu",200,95,47.5,69,"inżynieria środowiska, górnictwo i energetyka",65.22,455.96,3.07
"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","AGH w Krakowie",844,396,46.9,176,"inżynieria środowiska, górnictwo i energetyka",279.73,411.84,3.02
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie","Zachodniopomorski Uniwersytet Technologiczny ...",104,48,46.2,41,"inżynieria środowiska, górnictwo i energetyka",34.52,341.22,3.01
"Politechnika Częstochowska","P. Częstochowska",188,86,45.7,42,"inżynieria środowiska, górnictwo i energetyka",57.35,402.77,3.28
"Centrum Badań i Innowacji Pro-Akademia","Centrum Badań i Innowacji Pro-Akademia",18,8,44.4,16,"inżynieria środowiska, górnictwo i energetyka",5.02,413.75,3.59
"Instytut Ekologii Terenów Uprzemysłowionych","Inst. Ekologii Terenów Uprzemysłowionych",35,15,42.9,21,"inżynieria środowiska, górnictwo i energetyka",14.38,208.34,2.43
"Uniwersytet Przyrodniczy we Wrocławiu","U. Przyrodniczy we Wrocławiu",177,75,42.4,55,"inżynieria środowiska, górnictwo i energetyka",51,443.37,3.47
"Instytut Gospodarki Surowcami Mineralnymi i Energią Polskiej Akademii Nauk","Inst. Gospodarki Surowcami Mineralnymi i Ener...",187,78,41.7,58,"inżynieria środowiska, górnictwo i energetyka",62.49,373.82,2.99
"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie","U. Rolniczy w Krakowie",228,94,41.2,76,"inżynieria środowiska, górnictwo i energetyka",74.38,416.67,3.07
"Politechnika Krakowska im. Tadeusza Kościuszki","P. Krakowska",234,94,40.2,64,"inżynieria środowiska, górnictwo i energetyka",74.9,416.44,3.12
"Instytut Technologii Paliw i Energii","Inst. Technologii Paliw i Energii",96,37,38.5,44,"inżynieria środowiska, górnictwo i energetyka",31.55,353.22,3.04
"Politechnika Opolska","P. Opolska",94,36,38.3,40,"inżynieria środowiska, górnictwo i energetyka",30.63,449.4,3.07
"Akademia Pożarnicza","Akademia Pożarnicza",74,27,36.5,37,"inżynieria środowiska, górnictwo i energetyka",25.19,393.61,2.94
"Instytut Mechaniki Górotworu Polskiej Akademii Nauk","Inst. Mechaniki Górotworu PAN",83,29,34.9,31,"inżynieria środowiska, górnictwo i energetyka",26.45,400.23,3.14
