"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Instytut Podstaw Informatyki Polskiej Akademii Nauk","Inst. Podstaw Informatyki PAN",19,1,5.3,12,"językoznawstwo",11.19,358.98,1.7
"Akademia Ateneum w Gdańsku","Akademia Ateneum w Gdańsku",29,1,3.4,7,"językoznawstwo",13.25,124.91,2.19
"Uniwersytet Jana Kochanowskiego w Kielcach","U. Jana Kochanowskiego w Kielcach",96,2,2.1,55,"językoznawstwo",45.88,229.45,2.09
"Uniwersytet Gdański","U. Gdański",131,1,0.8,69,"językoznawstwo",78.38,256.65,1.67
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",340,2,0.6,135,"językoznawstwo",136.94,266.28,2.48
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",196,1,0.5,79,"językoznawstwo",86.19,236.36,2.27
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",558,3,0.5,244,"językoznawstwo",262.53,263.78,2.13
"Uniwersytet Warszawski","U. Warszawski",509,2,0.4,224,"językoznawstwo",238.24,219.58,2.14
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",372,1,0.3,123,"językoznawstwo",157.66,275.23,2.36
"Akademia Humanistyczno-Ekonomiczna w Łodzi","Akademia Humanistyczno-Ekonomiczna w Łodzi",24,0,0,7,"językoznawstwo",10.13,244.32,2.37
"Akademia im. Jakuba z Paradyża","Akademia z Paradyża",44,0,0,15,"językoznawstwo",18.63,249.92,2.36
"Instytut Języka Polskiego Polskiej Akademii Nauk","Inst. Języka Polskiego PAN",151,0,0,62,"językoznawstwo",67.25,232.45,2.25
"Instytut Slawistyki Polskiej Akademii Nauk","Inst. Slawistyki PAN",57,0,0,30,"językoznawstwo",22.75,291.38,2.51
"Katolicki Uniwersytet Lubelski Jana Pawła II","Katolicki Uniwersytet Lubelski Jana Pawła II",153,0,0,61,"językoznawstwo",61.28,269.96,2.5
"Uniwersytet Bielsko-Bialski","U. Bielsko-Bialski",31,0,0,12,"językoznawstwo",13.81,306.66,2.24
"Uniwersytet Jana Długosza w Częstochowie","U. Jana Długosza w Częstochowie",35,0,0,22,"językoznawstwo",16.38,182.3,2.14
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",40,0,0,23,"językoznawstwo",16.88,201.42,2.37
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy","U. Kazimierza Wielkiego w Bydgoszczy",105,0,0,42,"językoznawstwo",46.06,265.09,2.28
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",229,0,0,86,"językoznawstwo",96.44,264.1,2.37
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",107,0,0,68,"językoznawstwo",45.88,279.8,2.33
"Uniwersytet Opolski","U. Opolski",93,0,0,47,"językoznawstwo",36.25,309.43,2.57
"Uniwersytet Pomorski w Słupsku","U. Pomorski w Słupsku",24,0,0,18,"językoznawstwo",11.25,216.89,2.13
"Uniwersytet Rzeszowski","U. Rzeszowski",128,0,0,63,"językoznawstwo",54.45,309.9,2.35
"Uniwersytet Szczeciński","U. Szczeciński",76,0,0,43,"językoznawstwo",50.31,324.03,1.51
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",82,0,0,27,"językoznawstwo",32.25,312.68,2.54
"Uniwersytet Wrocławski","U. Wrocławski",241,0,0,87,"językoznawstwo",109.94,247.68,2.19
"Uniwersytet Zielonogórski w Zielonej Górze","U. Zielonogórski w Zielonej Górze",53,0,0,31,"językoznawstwo",26.25,338.9,2.02
"Uniwersytet w Białymstoku","U. w Białymstoku",78,0,0,32,"językoznawstwo",35.44,252.03,2.2
"Uniwersytet w Siedlcach","U. w Siedlcach",40,0,0,26,"językoznawstwo",17.59,228.43,2.27
"Uniwersytet Łódzki","U. Łódzki",295,0,0,111,"językoznawstwo",126.77,267.7,2.33
