"","Teksty Drugie","Roczniki Humanistyczne","Pamiętnik Literacki","Przestrzenie Teorii","Przegląd Rusycystyczny","Porownania","Bibliotekarz Podlaski. Ogólnopolskie Naukowe Pismo Bibliotekoznawcze i Bibliologiczne","Academic Journal of Modern Philology","Perspektywy Kultury","Forum Poetyki / Forum of Poetics","Romanica Cracoviensia","Świat i Słowo","Czas Kultury","Annales Universitatis Paedagogicae Cracoviensis. Studia Historicolitteraria","Poznań Polish Studies. Literary Series","Annales UMCS Sectio FF Philologiae","Białostockie Studia Literaturoznawcze","VOX PATRUM","Polylogue - The Magazine of the Faculty of Polish","Studia Romanica Posnaniensia","Slavia Orientalis","Studia Norwidiana","Konteksty: Polska Sztuka Ludowa","Res Rhetorica","Tematy i Konteksty","Philological Studies. Literary Research","POZNAŃSKIE STUDIA SLAWISTYCZNE","Ruch Literacki","Acta Universitatis Lodziensis. Folia Litteraria Polonica","PRACE FILOLOGICZNE. LITERATUROZNAWSTWO."
"Inst. Badań Literackich PAN",48,4,18,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,7,4,2,0,0,0,1,3
"Katolicki Uniwersytet Lubelski Jana Pawła II",4,44,4,0,1,0,3,2,2,2,0,1,0,2,0,7,0,9,0,0,3,11,2,5,1,1,0,0,2,3
"U. Bielsko-Bialski",0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Gdański",1,7,0,2,3,2,0,0,2,0,0,0,3,0,0,2,0,1,0,0,0,0,2,0,0,0,1,2,0,0
"U. Jagielloński w Krakowie",30,5,13,13,21,5,2,1,15,11,24,4,3,7,3,2,4,3,21,1,8,2,0,0,4,5,10,21,2,0
"U. Jana Długosza w Częstochowie",1,5,2,0,0,0,0,0,2,0,0,5,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"U. Jana Kochanowskiego w Kielcach",0,2,1,0,0,0,2,0,0,0,0,2,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Kardynała Stefana Wyszyńskiego w Warszawie",0,3,2,0,0,0,4,0,3,0,0,0,0,1,1,1,0,5,0,0,0,4,2,1,0,1,0,0,0,0
"U. Kazimierza Wielkiego w Bydgoszczy",1,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"U. Komisji Edukacji Narodowej w Krakowie",1,1,0,5,2,0,1,2,4,0,8,1,1,13,0,2,2,0,0,0,0,0,6,1,1,0,0,1,2,1
"U. Marii Curie-Skłodowskiej w Lublinie",1,9,8,0,4,3,1,2,2,3,5,1,0,2,0,7,0,0,2,3,11,4,1,11,1,2,1,0,1,0
"U. Mikołaja Kopernika w Toruniu",8,9,3,0,5,0,3,0,4,2,2,1,1,0,0,1,1,0,0,2,2,5,0,0,1,2,0,0,3,0
"U. Opolski",1,0,6,0,0,1,1,4,8,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"U. Pomorski w Słupsku",1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0
"U. Rzeszowski",0,3,1,3,0,1,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0
"U. SWPS",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"U. Szczeciński",6,5,3,0,2,1,0,1,1,0,1,0,10,0,0,1,0,2,3,1,0,0,0,2,0,1,0,0,0,0
"U. Warmińsko-Mazurski w Olsztynie",0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"U. Warszawski",16,14,25,5,1,3,9,2,4,9,8,0,3,7,0,3,5,0,0,8,0,1,3,2,4,2,2,3,2,19
"U. Wrocławski",8,13,8,3,5,2,0,33,1,3,1,1,2,1,1,1,2,3,4,2,5,0,1,1,1,3,0,1,1,0
"U. Zielonogórski w Zielonej Górze",0,6,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
"U. w Białymstoku",3,2,7,0,2,0,24,0,0,0,0,0,1,1,1,1,10,0,1,0,1,2,0,0,0,3,0,0,2,3
"U. w Poznaniu",14,8,15,27,13,36,7,5,2,18,0,1,11,0,33,2,4,2,3,16,0,4,3,1,1,5,16,3,1,0
"U. w Siedlcach",0,3,0,0,0,1,1,0,2,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0
"U. Łódzki",9,6,9,2,1,2,2,7,0,2,3,2,5,5,0,1,4,6,0,0,1,0,0,3,2,6,0,0,11,0
"U. Śląski w Katowicach",16,6,7,6,7,3,0,5,3,5,1,10,10,0,0,2,0,5,0,2,1,0,0,1,0,0,2,0,0,2
