"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Katolicki Uniwersytet Lubelski Jana Pawła II","Katolicki Uniwersytet Lubelski Jana Pawła II",201,3,1.5,75,"literaturoznawstwo",88.41,316.79,2.27
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",460,3,0.7,138,"literaturoznawstwo",219.05,273.94,2.1
"Uniwersytet Warszawski","U. Warszawski",540,1,0.2,229,"literaturoznawstwo",261.9,252.75,2.06
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",578,1,0.2,205,"literaturoznawstwo",258.31,245.94,2.24
"Instytut Badań Literackich Polskiej Akademii Nauk","Inst. Badań Literackich PAN",199,0,0,71,"literaturoznawstwo",108.41,239.84,1.84
"Uniwersytet Bielsko-Bialski","U. Bielsko-Bialski",38,0,0,8,"literaturoznawstwo",16.38,241.7,2.32
"Uniwersytet Gdański","U. Gdański",119,0,0,60,"literaturoznawstwo",61.75,249.62,1.93
"Uniwersytet Jana Długosza w Częstochowie","U. Jana Długosza w Częstochowie",46,0,0,23,"literaturoznawstwo",22.88,290.34,2.01
"Uniwersytet Jana Kochanowskiego w Kielcach","U. Jana Kochanowskiego w Kielcach",62,0,0,36,"literaturoznawstwo",26,213.42,2.38
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",53,0,0,31,"literaturoznawstwo",27.09,255.41,1.96
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy","U. Kazimierza Wielkiego w Bydgoszczy",46,0,0,32,"literaturoznawstwo",24.13,297.02,1.91
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",139,0,0,70,"literaturoznawstwo",65.41,245.16,2.13
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",164,0,0,79,"literaturoznawstwo",71.81,278.61,2.28
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",152,0,0,88,"literaturoznawstwo",67.75,277.77,2.24
"Uniwersytet Opolski","U. Opolski",54,0,0,27,"literaturoznawstwo",30.08,299.87,1.8
"Uniwersytet Pomorski w Słupsku","U. Pomorski w Słupsku",32,0,0,15,"literaturoznawstwo",13.63,278.72,2.35
"Uniwersytet Rzeszowski","U. Rzeszowski",83,0,0,43,"literaturoznawstwo",35.67,237.26,2.33
"Uniwersytet SWPS","U. SWPS",23,0,0,19,"literaturoznawstwo",13.2,265.76,1.74
"Uniwersytet Szczeciński","U. Szczeciński",84,0,0,46,"literaturoznawstwo",49.22,278.08,1.71
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",65,0,0,40,"literaturoznawstwo",28.75,252.94,2.26
"Uniwersytet Wrocławski","U. Wrocławski",334,0,0,138,"literaturoznawstwo",180.04,269.34,1.86
"Uniwersytet Zielonogórski w Zielonej Górze","U. Zielonogórski w Zielonej Górze",31,0,0,22,"literaturoznawstwo",21.13,312.21,1.47
"Uniwersytet w Białymstoku","U. w Białymstoku",116,0,0,53,"literaturoznawstwo",53.25,250.25,2.18
"Uniwersytet w Siedlcach","U. w Siedlcach",52,0,0,35,"literaturoznawstwo",21.75,236.74,2.39
"Uniwersytet Łódzki","U. Łódzki",252,0,0,114,"literaturoznawstwo",123.5,277.26,2.04
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",249,0,0,95,"literaturoznawstwo",132.81,305.95,1.87
