"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Politechnika Rzeszowska im. Ignacego Łukasiewicza","P. Rzeszowska",81,20,24.7,44,"matematyka",31.13,193.58,2.6
"Uniwersytet Pomorski w Słupsku","U. Pomorski w Słupsku",30,7,23.3,16,"matematyka",11.31,203.01,2.65
"Politechnika Poznańska","P. Poznańska",46,10,21.7,31,"matematyka",14.66,317.8,3.14
"Uniwersytet w Siedlcach","U. w Siedlcach",36,7,19.4,22,"matematyka",13,205.77,2.77
"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie","U. Rolniczy w Krakowie",47,8,17,27,"matematyka",15.06,333.47,3.12
"Uniwersytet Zielonogórski w Zielonej Górze","U. Zielonogórski w Zielonej Górze",81,9,11.1,56,"matematyka",25.63,305.5,3.16
"Uniwersytet Jana Kochanowskiego w Kielcach","U. Jana Kochanowskiego w Kielcach",39,3,7.7,25,"matematyka",14.75,167.93,2.64
"Uniwersytet Rzeszowski","U. Rzeszowski",44,3,6.8,23,"matematyka",13.91,289.79,3.16
"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","AGH w Krakowie",166,9,5.4,94,"matematyka",51.73,312.89,3.21
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",106,5,4.7,65,"matematyka",33.88,255.37,3.13
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",127,6,4.7,82,"matematyka",44.5,330.27,2.85
"Uniwersytet Łódzki","U. Łódzki",122,5,4.1,79,"matematyka",48.96,231.58,2.49
"Politechnika Gdańska","P. Gdańska",56,2,3.6,40,"matematyka",18.41,344.32,3.04
"Politechnika Wrocławska","P. Wrocławska",198,7,3.5,111,"matematyka",66.77,393.02,2.97
"Politechnika Łódzka","P. Łódzka",94,3,3.2,48,"matematyka",29.65,326.88,3.17
"Uniwersytet Gdański","U. Gdański",110,3,2.7,70,"matematyka",33.63,294.8,3.27
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",149,4,2.7,96,"matematyka",49.71,311.1,3
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy","U. Kazimierza Wielkiego w Bydgoszczy",39,1,2.6,25,"matematyka",12.75,195.53,3.06
"Uniwersytet Szczeciński","U. Szczeciński",44,1,2.3,36,"matematyka",15.88,235.58,2.77
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",58,1,1.7,48,"matematyka",17.19,276.91,3.37
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",61,1,1.6,42,"matematyka",20.25,267.11,3.01
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",95,1,1.1,49,"matematyka",31.5,278.92,3.02
"Politechnika Warszawska","P. Warszawska",103,1,1,74,"matematyka",40.38,382.57,2.55
"Uniwersytet Warszawski","U. Warszawski",339,2,0.6,176,"matematyka",116.19,363.32,2.92
"Uniwersytet Wrocławski","U. Wrocławski",189,1,0.5,99,"matematyka",67.91,349.23,2.78
"Instytut Matematyczny Polskiej Akademii Nauk","Inst. Matematyczny PAN",231,0,0,122,"matematyka",79.95,404.98,2.89
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",295,0,0,131,"matematyka",99.5,360.66,2.96
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",28,0,0,21,"matematyka",15.94,181.37,1.76
"Uniwersytet w Białymstoku","U. w Białymstoku",60,0,0,47,"matematyka",23.63,209.01,2.54
