"","International Journal of Molecular Sciences","Scientific Reports","Molecules","Science of the Total Environment","European Zoological Journal","Cells","Nature Communications","BMC Plant Biology","Ecological Indicators","Frontiers in Immunology","Nucleic Acids Research","Cancers","Insects","PLoS ONE","Frontiers in Microbiology","Frontiers in Plant Science","Forest Ecology and Management","Animals","Zoological Journal of the Linnean Society","International Journal of Environmental Research and Public Health","Journal of Ornithology","NeoBiota","Nutrients","Chemosphere","Materials","Journal of Environmental Management","Scientific data","Proceedings of the National Academy of Sciences of the United States of America","Cellular and Molecular Life Sciences","Ecology and Evolution"
"Europejskie Regionalne Centrum Ekohydrologii PAN",0,3,0,7,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"Inst. Biochemii i Biofizyki PAN",35,24,3,0,0,3,13,3,0,3,11,2,0,1,5,4,0,1,0,1,0,0,1,1,0,0,2,3,1,0
"Inst. Biologii Doświadczalnej",31,31,3,0,0,13,6,0,0,4,0,6,0,2,1,0,0,1,0,1,0,0,0,0,0,0,7,1,7,0
"Inst. Biologii Ssaków PAN",0,10,0,5,0,0,2,0,0,0,0,0,0,2,0,0,3,0,1,0,3,0,0,0,0,0,1,2,0,2
"Inst. Botaniki",4,11,1,8,0,2,3,0,3,0,0,0,0,0,0,0,4,0,0,1,0,2,0,1,1,2,0,1,0,0
"Inst. Chemii Bioorganicznej PAN",24,9,6,1,0,5,6,2,1,2,14,1,0,2,0,5,0,1,0,0,0,0,1,0,0,0,0,0,3,0
"Inst. Dendrologii PAN",5,6,1,4,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,1,0,1,0,0
"Inst. Ekologii Terenów Uprzemysłowionych",0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Inst. Fizjologii i Żywienia Zwierząt",22,6,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Inst. Immunologii i Terapii Doświadczalnej",29,25,5,0,2,3,1,0,0,17,1,5,0,3,3,0,0,0,0,3,0,0,3,0,2,1,0,0,0,0
"Inst. Ochrony Przyrody PAN",2,21,0,17,8,0,4,0,6,0,0,0,0,1,1,0,1,0,0,3,2,5,0,1,0,5,2,1,0,0
"Inst. Systematyki i Ewolucji Zwierząt PAN",1,12,0,5,3,0,3,0,1,0,0,0,0,0,0,0,4,0,3,2,1,2,0,0,0,0,0,0,0,0
"Katolicki Uniwersytet Lubelski Jana Pawła II",11,14,22,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,2,0,0,0,0
"Międzynarodowy Instytut Biologii Molekularnej...",4,4,0,1,0,1,11,0,0,2,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,0
"Międzynarodowy Instytut Mechanizmów i Maszyn ...",0,2,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muzeum i Instytut Zoologii PAN",6,13,0,4,9,0,3,0,2,2,0,0,9,4,0,0,2,0,8,0,2,2,0,0,0,0,1,3,0,1
"SGGW w Warszawie",58,13,9,1,0,7,2,9,2,0,0,2,0,2,3,3,2,1,0,0,0,0,2,0,8,1,0,1,1,0
"U. Gdański",64,33,5,8,12,8,2,12,2,12,4,1,4,3,7,2,1,7,3,1,4,0,4,3,0,1,2,1,0,0
"U. Jagielloński w Krakowie",72,85,14,24,7,23,23,12,8,30,13,9,1,13,7,4,4,2,7,5,1,1,2,5,7,3,3,9,7,6
"U. Jana Kochanowskiego w Kielcach",13,13,10,3,0,1,0,1,0,0,0,3,4,1,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0
"U. Kardynała Stefana Wyszyńskiego w Warszawie",6,2,0,0,2,1,2,0,1,0,0,0,3,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0
"U. Kazimierza Wielkiego w Bydgoszczy",6,10,3,3,2,0,0,1,1,0,0,1,5,1,0,0,0,1,0,3,0,0,1,0,0,1,2,0,0,2
"U. Komisji Edukacji Narodowej w Krakowie",11,12,9,5,0,1,0,2,2,0,0,1,0,1,0,0,0,5,0,0,1,1,0,2,1,0,1,0,0,0
"U. Marii Curie-Skłodowskiej w Lublinie",38,27,46,4,2,9,0,2,0,1,0,3,6,1,2,1,0,0,0,2,4,0,3,1,2,2,1,2,1,0
"U. Mikołaja Kopernika w Toruniu",28,22,5,10,3,3,1,6,1,1,1,3,0,0,8,6,0,0,5,2,0,6,1,1,5,1,1,0,0,0
"U. Opolski",3,7,2,3,4,0,0,0,2,0,0,0,5,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"U. Pomorski w Słupsku",6,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
"U. Przyrodniczy w Lublinie",8,18,20,6,6,0,0,0,2,0,0,1,1,0,0,0,0,0,0,2,0,0,1,2,3,2,0,0,0,0
"U. Przyrodniczy w Poznaniu",8,7,3,3,2,1,0,0,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0
"U. Przyrodniczy we Wrocławiu",45,24,16,7,4,3,0,0,2,0,1,2,0,2,1,0,2,0,1,3,2,1,0,0,2,0,0,0,0,0
"U. Rolniczy w Krakowie",15,11,1,4,0,4,1,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0
"U. Rzeszowski",10,4,3,1,3,4,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0
"U. Szczeciński",29,18,3,10,11,4,0,0,5,4,0,5,0,0,1,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0
"U. Warmińsko-Mazurski w Olsztynie",33,27,4,9,1,7,0,4,1,1,0,3,0,1,0,1,0,0,0,3,0,1,1,0,1,1,1,0,0,0
"U. Warszawski",38,51,13,11,2,7,16,7,5,2,10,2,1,6,16,7,2,5,3,0,0,1,0,3,0,3,5,3,3,11
"U. Wrocławski",47,28,6,14,15,10,4,2,6,0,4,1,5,3,1,2,1,3,3,1,2,4,0,0,1,4,4,1,4,0
"U. Zielonogórski w Zielonej Górze",11,4,3,2,6,1,1,0,2,0,0,1,1,1,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0
"U. w Białymstoku",18,12,8,7,11,2,1,2,6,0,0,0,0,0,1,2,4,1,1,2,2,0,0,3,1,1,0,1,0,4
"U. w Poznaniu",40,67,8,20,14,8,14,10,15,3,8,1,3,12,4,16,8,14,10,1,8,3,1,7,0,2,3,6,2,4
"U. w Siedlcach",5,3,9,0,7,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,7,1,0,1,0,0,0,0,0,0
"U. Łódzki",166,97,55,36,21,21,3,4,11,9,0,17,0,2,0,0,1,2,7,5,3,11,20,5,5,4,1,3,1,2
"U. Śląski w Katowicach",25,25,12,12,22,4,1,17,4,0,0,0,23,1,3,9,1,0,3,0,0,3,0,7,3,1,1,0,0,4
