"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Instytut Fizjologii i Żywienia Zwierząt im. Jana Kielanowskiego Polskiej Akademii Nauk","Inst. Fizjologii i Żywienia Zwierząt",50,29,58,21,"nauki biologiczne",16.53,441.02,3.02
"Katolicki Uniwersytet Lubelski Jana Pawła II","Katolicki Uniwersytet Lubelski Jana Pawła II",83,41,49.4,28,"nauki biologiczne",26.47,464.75,3.14
"Uniwersytet Szczeciński","U. Szczeciński",119,54,45.4,28,"nauki biologiczne",38.63,457.86,3.08
"Uniwersytet Rzeszowski","U. Rzeszowski",53,24,45.3,29,"nauki biologiczne",17.5,449.43,3.03
"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie","SGGW w Warszawie",293,130,44.4,121,"nauki biologiczne",85.77,404.35,3.42
"Uniwersytet Przyrodniczy we Wrocławiu","U. Przyrodniczy we Wrocławiu",182,80,44,69,"nauki biologiczne",58.13,507.47,3.13
"Uniwersytet Zielonogórski w Zielonej Górze","U. Zielonogórski w Zielonej Górze",75,32,42.7,45,"nauki biologiczne",24.75,401.09,3.03
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",354,149,42.1,154,"nauki biologiczne",108.01,401.85,3.28
"Uniwersytet Łódzki","U. Łódzki",792,318,40.2,206,"nauki biologiczne",251.1,449.61,3.15
"Uniwersytet Przyrodniczy w Lublinie","U. Przyrodniczy w Lublinie",110,44,40,42,"nauki biologiczne",34.94,451.2,3.15
"Uniwersytet w Siedlcach","U. w Siedlcach",52,19,36.5,23,"nauki biologiczne",19.02,377.55,2.73
"Instytut Ekologii Terenów Uprzemysłowionych","Inst. Ekologii Terenów Uprzemysłowionych",39,14,35.9,28,"nauki biologiczne",12.25,326.12,3.18
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",158,54,34.2,45,"nauki biologiczne",46.75,440.98,3.38
"Uniwersytet Jana Kochanowskiego w Kielcach","U. Jana Kochanowskiego w Kielcach",146,49,33.6,81,"nauki biologiczne",42.81,347.63,3.41
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",137,41,29.9,77,"nauki biologiczne",41.19,375.92,3.33
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",92,27,29.3,55,"nauki biologiczne",28.38,364.45,3.24
"Instytut Immunologii i Terapii Doświadczalnej im. Ludwika Hirszfelda Polskiej Akademii Nauk","Inst. Immunologii i Terapii Doświadczalnej",231,67,29,111,"nauki biologiczne",71.03,436.21,3.25
"Uniwersytet Gdański","U. Gdański",412,112,27.2,181,"nauki biologiczne",134.89,422.64,3.05
"Uniwersytet Pomorski w Słupsku","U. Pomorski w Słupsku",48,13,27.1,28,"nauki biologiczne",13.81,406.52,3.48
"Uniwersytet w Białymstoku","U. w Białymstoku",155,41,26.5,67,"nauki biologiczne",51.44,419.81,3.01
"Uniwersytet Wrocławski","U. Wrocławski",420,110,26.2,190,"nauki biologiczne",142.94,394.21,2.94
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy","U. Kazimierza Wielkiego w Bydgoszczy",151,39,25.8,96,"nauki biologiczne",45.56,360.84,3.31
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",411,103,25.1,148,"nauki biologiczne",129.19,434.66,3.18
