"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Instytut Chemii i Techniki Jądrowej","Inst. Chemii i Techniki Jądrowej",135,81,60,57,"nauki chemiczne",43.65,414.36,3.09
"Uniwersytet Jana Długosza w Częstochowie","U. Jana Długosza w Częstochowie",69,41,59.4,27,"nauki chemiczne",21.2,450.24,3.25
"Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich","P. Bydgoska",84,48,57.1,25,"nauki chemiczne",26.94,494.99,3.12
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",375,204,54.4,81,"nauki chemiczne",107.5,491.87,3.49
"Centrum Materiałów Polimerowych i Węglowych Polskiej Akademii Nauk","Centrum Materiałów Polimerowych i Węglowych PAN",202,99,49,80,"nauki chemiczne",53.07,386.94,3.81
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",61,28,45.9,31,"nauki chemiczne",18.13,404.69,3.36
"Uniwersytet Opolski","U. Opolski",79,34,43,31,"nauki chemiczne",25.29,447.09,3.12
"Politechnika Łódzka","P. Łódzka",491,210,42.8,152,"nauki chemiczne",149.01,477.94,3.3
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",278,119,42.8,82,"nauki chemiczne",89.34,476.4,3.11
"Uniwersytet Jana Kochanowskiego w Kielcach","U. Jana Kochanowskiego w Kielcach",96,38,39.6,42,"nauki chemiczne",28.5,424.74,3.37
"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego","WAT",122,48,39.3,64,"nauki chemiczne",39.5,412.68,3.09
"Uniwersytet Łódzki","U. Łódzki",263,98,37.3,74,"nauki chemiczne",82.5,453.22,3.19
"Centrum Badań Molekularnych i Makromolekularnych Polskiej Akademii Nauk","Centrum Badań Molekularnych i Makromolekularn...",236,85,36,91,"nauki chemiczne",72.57,459.61,3.25
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie","Zachodniopomorski Uniwersytet Technologiczny ...",51,18,35.3,31,"nauki chemiczne",16.19,403.89,3.15
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",259,91,35.1,86,"nauki chemiczne",72.13,526.94,3.59
"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","AGH w Krakowie",205,71,34.6,61,"nauki chemiczne",64.99,486.24,3.15
"Uniwersytet w Białymstoku","U. w Białymstoku",154,53,34.4,82,"nauki chemiczne",47.63,429.92,3.23
"Politechnika Poznańska","P. Poznańska",301,103,34.2,88,"nauki chemiczne",97.75,546.72,3.08
"Uniwersytet w Siedlcach","U. w Siedlcach",48,16,33.3,33,"nauki chemiczne",14.38,344.71,3.34
"Instytut Katalizy i Fizykochemii Powierzchni im. Jerzego Habera Polskiej Akademii Nauk","Inst. Katalizy i Fizykochemii Powierzchni",318,105,33,127,"nauki chemiczne",86.83,445.88,3.66
"Politechnika Śląska","P. Śląska",219,70,32,84,"nauki chemiczne",64.13,559.39,3.41
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",603,174,28.9,128,"nauki chemiczne",188.96,490.95,3.19
"Politechnika Warszawska","P. Warszawska",291,73,25.1,107,"nauki chemiczne",89.43,493.81,3.25
"Instytut Chemii Bioorganicznej Polskiej Akademii Nauk","Inst. Chemii Bioorganicznej PAN",106,25,23.6,60,"nauki chemiczne",34.96,404.2,3.03
"Uniwersytet Gdański","U. Gdański",407,92,22.6,131,"nauki chemiczne",131.14,466.24,3.1
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",49,11,22.4,35,"nauki chemiczne",16.31,403.8,3
"Politechnika Gdańska","P. Gdańska",343,76,22.2,101,"nauki chemiczne",112.13,530.21,3.06
"Uniwersytet Wrocławski","U. Wrocławski",342,72,21.1,71,"nauki chemiczne",111.85,469.9,3.06
"Instytut Biochemii i Biofizyki Polskiej Akademii Nauk","Inst. Biochemii i Biofizyki PAN",53,11,20.8,31,"nauki chemiczne",18.69,460.94,2.84
"Politechnika Wrocławska","P. Wrocławska",376,74,19.7,150,"nauki chemiczne",120.68,482.52,3.12
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",630,116,18.4,165,"nauki chemiczne",198.81,494.43,3.17
"Uniwersytet Warszawski","U. Warszawski",781,138,17.7,220,"nauki chemiczne",237.48,461.21,3.29
"Instytut Niskich Temperatur i Badań Strukturalnych im. Włodzimierza Trzebiatowskiego Polskiej Akademii Nauk","Inst. Niskich Temperatur i Badań Strukturalnych",172,27,15.7,46,"nauki chemiczne",45.3,517.24,3.8
"Instytut Chemii Organicznej Polskiej Akademii Nauk","Inst. Chemii Organicznej PAN",275,32,11.6,87,"nauki chemiczne",90.1,420.5,3.05
"Instytut Chemii Fizycznej Polskiej Akademii Nauk","Inst. Chemii Fizycznej PAN",451,41,9.1,164,"nauki chemiczne",151.81,461.99,2.97
