"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Pomorski Uniwersytet Medyczny w Szczecinie","Pomorski Uniwersytet Medyczny w Szczecinie",107,77,72,34,"nauki farmaceutyczne",35.19,484.51,3.04
"Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu","U. Medyczny",332,234,70.5,69,"nauki farmaceutyczne",110.33,439.6,3.01
"Śląski Uniwersytet Medyczny w Katowicach","Śląski Uniwersytet Medyczny w Katowicach",247,174,70.4,59,"nauki farmaceutyczne",77.31,407.57,3.19
"Uniwersytet Medyczny w Białymstoku","U. Medyczny w Białymstoku",206,142,68.9,47,"nauki farmaceutyczne",56.03,464.16,3.68
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",269,182,67.7,61,"nauki farmaceutyczne",85.79,434.46,3.14
"Uniwersytet Medyczny w Łodzi","U. Medyczny w Łodzi",201,133,66.2,48,"nauki farmaceutyczne",65.13,445.45,3.09
"Uniwersytet Medyczny w Lublinie","U. Medyczny w Lublinie",437,288,65.9,91,"nauki farmaceutyczne",125.45,508.21,3.48
"Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu","U. Medyczny w Poznaniu",404,243,60.1,96,"nauki farmaceutyczne",124.07,423.98,3.26
"Warszawski Uniwersytet Medyczny","Warszawski Uniwersytet Medyczny",384,219,57,123,"nauki farmaceutyczne",121.46,436.72,3.16
"Narodowy Instytut Leków","Narodowy Instytut Leków",58,32,55.2,32,"nauki farmaceutyczne",18.53,422.4,3.13
"Gdański Uniwersytet Medyczny","Gdański Uniwersytet Medyczny",346,182,52.6,111,"nauki farmaceutyczne",112.7,437.73,3.07
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",548,256,46.7,159,"nauki farmaceutyczne",178.41,403.11,3.07
"Instytut Farmakologii im. Jerzego Maja Polskiej Akademii Nauk","Inst. Farmakologii",246,86,35,81,"nauki farmaceutyczne",69.5,407.22,3.54
