"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy","U. Kazimierza Wielkiego w Bydgoszczy",48,26,54.2,16,"nauki fizyczne",14.5,415.59,3.31
"Uniwersytet Jana Długosza w Częstochowie","U. Jana Długosza w Częstochowie",69,24,34.8,36,"nauki fizyczne",20,421.3,3.45
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",55,17,30.9,30,"nauki fizyczne",17.88,402.74,3.08
"Instytut Wysokich Ciśnień Polskiej Akademii Nauk","Inst. Wysokich Ciśnień PAN",231,60,26,69,"nauki fizyczne",70.61,438.61,3.27
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",112,26,23.2,36,"nauki fizyczne",35.39,469.6,3.16
"Uniwersytet Zielonogórski w Zielonej Górze","U. Zielonogórski w Zielonej Górze",57,13,22.8,29,"nauki fizyczne",18,385.28,3.17
"Uniwersytet Rzeszowski","U. Rzeszowski",62,13,21,26,"nauki fizyczne",19.21,477.46,3.23
"Politechnika Łódzka","P. Łódzka",66,12,18.2,35,"nauki fizyczne",21.75,463.68,3.03
"Politechnika Gdańska","P. Gdańska",93,15,16.1,46,"nauki fizyczne",30.15,397.31,3.08
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",51,8,15.7,33,"nauki fizyczne",17,405.88,3
"Instytut Niskich Temperatur i Badań Strukturalnych im. Włodzimierza Trzebiatowskiego Polskiej Akademii Nauk","Inst. Niskich Temperatur i Badań Strukturalnych",192,30,15.6,54,"nauki fizyczne",53.03,469.3,3.62
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",251,39,15.5,79,"nauki fizyczne",72.63,469.31,3.46
"Uniwersytet w Białymstoku","U. w Białymstoku",104,15,14.4,59,"nauki fizyczne",32.88,377.95,3.16
"Instytut Fizyki Polskiej Akademii Nauk","Inst. Fizyki PAN",529,70,13.2,144,"nauki fizyczne",163.56,440.06,3.23
"Politechnika Rzeszowska im. Ignacego Łukasiewicza","P. Rzeszowska",53,7,13.2,31,"nauki fizyczne",17.81,377.54,2.98
"Instytut Fizyki Molekularnej Polskiej Akademii Nauk","Inst. Fizyki Molekularnej PAN",234,30,12.8,96,"nauki fizyczne",72.64,377.11,3.22
"Politechnika Warszawska","P. Warszawska",388,41,10.6,107,"nauki fizyczne",101.89,437.15,3.81
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",352,37,10.5,113,"nauki fizyczne",109.89,434.38,3.2
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",283,27,9.5,96,"nauki fizyczne",92.74,426.42,3.05
"Uniwersytet Opolski","U. Opolski",41,3,7.3,19,"nauki fizyczne",12.94,404.64,3.17
"Uniwersytet Szczeciński","U. Szczeciński",41,3,7.3,21,"nauki fizyczne",14.5,412.69,2.83
"Instytut Fizyki Jądrowej im. Henryka Niewodniczańskiego Polskiej Akademii Nauk","Inst. Fizyki Jądrowej",1021,65,6.4,149,"nauki fizyczne",228.74,479.11,4.46
"Uniwersytet Gdański","U. Gdański",226,14,6.2,63,"nauki fizyczne",68.19,466.12,3.31
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",510,30,5.9,114,"nauki fizyczne",163.62,482.21,3.12
"Instytut Fizyki Plazmy i Laserowej Mikrosyntezy","Inst. Fizyki Plazmy i Laserowej Mikrosyntezy",151,8,5.3,43,"nauki fizyczne",46.28,333.12,3.26
"Politechnika Wrocławska","P. Wrocławska",305,16,5.2,83,"nauki fizyczne",97.72,474.89,3.12
"Uniwersytet Wrocławski","U. Wrocławski",208,9,4.3,59,"nauki fizyczne",73.53,402.91,2.83
"Uniwersytet Łódzki","U. Łódzki",121,5,4.1,38,"nauki fizyczne",35.69,536,3.39
"Narodowe Centrum Badań Jądrowych","Narodowe Centrum Badań Jądrowych",502,20,4,99,"nauki fizyczne",167.79,445.87,2.99
"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","AGH w Krakowie",450,15,3.3,72,"nauki fizyczne",118.7,520.95,3.79
"Uniwersytet Warszawski","U. Warszawski",760,18,2.4,128,"nauki fizyczne",231.04,484.7,3.29
"Uniwersytet Jana Kochanowskiego w Kielcach","U. Jana Kochanowskiego w Kielcach",90,2,2.2,31,"nauki fizyczne",26.48,410.01,3.4
"Centrum Fizyki Teoretycznej Polskiej Akademii Nauk","Centrum Fizyki Teoretycznej PAN",120,0,0,31,"nauki fizyczne",37.81,464.14,3.17
