"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Pomorski Uniwersytet Medyczny w Szczecinie","Pomorski Uniwersytet Medyczny w Szczecinie",903,571,63.2,200,"nauki medyczne",274.79,420.96,3.29
"Akademia Mazowiecka w Płocku","Akademia Mazowiecka w Płocku",27,17,63,13,"nauki medyczne",9,414.44,3
"Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu","U. Medyczny",1549,918,59.3,306,"nauki medyczne",508.71,432.82,3.04
"Uniwersytet Medyczny w Lublinie","U. Medyczny w Lublinie",1432,846,59.1,261,"nauki medyczne",420.82,447.73,3.4
"Instytut ""Centrum Zdrowia Matki Polki""","Inst. ""Centrum Zdrowia Matki Polki""",179,105,58.7,61,"nauki medyczne",49.98,417.81,3.58
"Wyższa Szkoła Informatyki i Zarządzania z siedzibą w Rzeszowie","Wyższa Szkoła Informatyki i Zarządzania w Rze...",82,48,58.5,33,"nauki medyczne",23.5,408.64,3.49
"Akademia Medycznych i Społecznych Nauk Stosowanych","Akademia Medycznych i Społecznych Nauk Stosow...",30,17,56.7,17,"nauki medyczne",9.38,392.32,3.2
"Uniwersytet Medyczny w Białymstoku","U. Medyczny w Białymstoku",975,544,55.8,191,"nauki medyczne",292.9,448.74,3.33
"Uniwersytet Medyczny w Łodzi","U. Medyczny w Łodzi",1573,872,55.4,322,"nauki medyczne",513.73,419.28,3.06
"Akademia WSB","Akademia WSB",29,16,55.2,16,"nauki medyczne",9.28,476.94,3.12
"Politechnika Wrocławska","P. Wrocławska",99,53,53.5,35,"nauki medyczne",32.59,442.34,3.04
"Uczelnia Medyczna im. Marii Skłodowskiej - Curie w Warszawie","Uczelnia Medyczna w Warszawie",45,24,53.3,18,"nauki medyczne",15,436,3
"Instytut Medycyny Wsi im. Witolda Chodźki","Inst. Medycyny Wsi",46,24,52.2,19,"nauki medyczne",13.75,440.58,3.35
