"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Szczeciński","U. Szczeciński",26,4,15.4,14,"nauki o bezpieczeństwie",10.88,294.94,2.39
"Akademia Wojsk Lądowych imienia generała Tadeusza Kościuszki","Akademia Wojsk Lądowych imienia generała Tade...",53,7,13.2,31,"nauki o bezpieczeństwie",20.38,317.86,2.6
"Akademia Sztuki Wojennej","Akademia Sztuki Wojennej",55,7,12.7,26,"nauki o bezpieczeństwie",27.75,319.14,1.98
"Akademia Pożarnicza","Akademia Pożarnicza",42,5,11.9,18,"nauki o bezpieczeństwie",20.44,348.48,2.05
"Akademia WSB","Akademia WSB",27,3,11.1,17,"nauki o bezpieczeństwie",11.63,367.15,2.32
"Politechnika Rzeszowska im. Ignacego Łukasiewicza","P. Rzeszowska",63,5,7.9,24,"nauki o bezpieczeństwie",23.13,323.99,2.72
"Akademia im. Jakuba z Paradyża","Akademia z Paradyża",50,3,6,25,"nauki o bezpieczeństwie",20.63,290.11,2.42
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",36,2,5.6,13,"nauki o bezpieczeństwie",17.19,323.09,2.09
"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego","WAT",111,6,5.4,33,"nauki o bezpieczeństwie",41.88,370.25,2.65
"Uniwersytet Warszawski","U. Warszawski",60,2,3.3,38,"nauki o bezpieczeństwie",30.18,330.98,1.99
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",114,3,2.6,49,"nauki o bezpieczeństwie",44.69,254.49,2.55
"Uniwersytet Kaliski im. Prezydenta Stanisława Wojciechowskiego","U. Kaliski",48,1,2.1,18,"nauki o bezpieczeństwie",20.19,279.45,2.38
"Uniwersytet w Siedlcach","U. w Siedlcach",78,1,1.3,36,"nauki o bezpieczeństwie",31.06,301.03,2.51
"Akademia Policji w Szczytnie","Akademia Policji w Szczytnie",40,0,0,12,"nauki o bezpieczeństwie",17.13,243.37,2.34
"Akademia Wymiaru Sprawiedliwości","Akademia Wymiaru Sprawiedliwości",40,0,0,9,"nauki o bezpieczeństwie",13.31,362.43,3.01
"Pomorska Szkoła Wyższa w Starogardzie Gdańskim","Pomorska Szkoła Wyższa w Starogardzie Gdańskim",18,0,0,7,"nauki o bezpieczeństwie",7.06,294.62,2.55
"Uniwersytet Jana Długosza w Częstochowie","U. Jana Długosza w Częstochowie",26,0,0,19,"nauki o bezpieczeństwie",12.22,217.92,2.13
"Uniwersytet Jana Kochanowskiego w Kielcach","U. Jana Kochanowskiego w Kielcach",49,0,0,25,"nauki o bezpieczeństwie",24.06,210.43,2.04
"Uniwersytet Pomorski w Słupsku","U. Pomorski w Słupsku",48,0,0,22,"nauki o bezpieczeństwie",19.44,347.79,2.47
"Uniwersytet Wrocławski","U. Wrocławski",42,0,0,27,"nauki o bezpieczeństwie",16.56,226.03,2.54
"Wojskowy Instytut Techniczny Uzbrojenia","Wojskowy Instytut Techniczny Uzbrojenia",21,0,0,14,"nauki o bezpieczeństwie",12.61,290.25,1.67
