"","Annales Universitatis Paedagogicae Cracoviensis | Studia ad Bibliothecarum Scientiam Pertinentia","Przegląd Biblioteczny","Culture-Media-Theology","Media - Business - Culture. Journalism and social communication","Perspektywy Kultury","Horyzonty Polityki","Media Research Issues","Res Rhetorica","Studia Medioznawcze","Yearbook of History of Polish Press","Przegląd Politologiczny","Journal of Academic Librarianship","Politeja","Rocznik Historii Prasy Polskiej","Annals of Social Sciences","Athenaeum. Polskie Studia Politologiczne","Polityka i Społeczeństwo","Zagadnienia Informacji Naukowej","Roczniki Biblioteczne. Czasopismo poświęcone kulturze książki i komunikacji piśmiennej","SPOŁECZEŃSTWO I POLITYKA. Pismo Edukacyjne","Czasopismo Naukowe Instytutu Studiów Kobiecych","Zeszyty Prasoznawcze","Przegląd Wschodnioeuropejski","Public Law Review","POLISH POLITICAL SCIENCE YEARBOOK","Media - Biznes - Kultura. Dziennikarstwo i komunikacja spoleczna","Zeszyty Naukowe Akademii Górnośląskiej","CENTRAL EUROPEAN JOURNAL OF COMMUNICATION","Images (Poland)","Academic Journal of Modern Philology"
"U. Gdański",0,1,0,11,1,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"U. Jagielloński w Krakowie",4,4,2,2,4,0,7,0,1,0,0,6,6,0,2,1,0,4,2,0,0,0,0,0,1,0,0,0,0,0
"U. Jana Kochanowskiego w Kielcach",4,1,0,0,0,0,0,0,1,6,0,0,0,8,0,0,1,0,0,0,5,4,0,0,1,3,0,1,0,0
"U. Kardynała Stefana Wyszyńskiego w Warszawie",0,0,19,2,1,1,2,0,3,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"U. Komisji Edukacji Narodowej w Krakowie",31,3,0,0,6,3,0,0,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Marii Curie-Skłodowskiej w Lublinie",2,6,5,1,2,1,1,8,0,1,2,1,3,0,2,0,2,0,0,0,4,1,0,0,0,0,0,1,5,0
"U. Mikołaja Kopernika w Toruniu",12,16,0,0,1,1,2,2,0,0,1,2,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"U. Papieski Jana Pawła II w Krakowie",1,0,10,4,5,2,2,1,1,2,1,0,3,0,1,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0
"U. Warmińsko-Mazurski w Olsztynie",0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,2,2,0,0,0,0
"U. Warszawski",7,25,0,5,1,1,1,5,9,0,0,6,0,0,2,0,1,3,0,0,0,1,0,9,0,3,7,4,0,0
"U. Wrocławski",28,3,0,0,1,1,3,1,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,7
"U. w Poznaniu",0,0,0,0,0,0,2,1,0,0,10,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"U. Śląski w Katowicach",1,0,0,0,0,6,0,2,0,0,3,0,2,1,0,7,2,0,0,0,0,3,2,0,2,0,0,0,0,0
"Wyższa Szkoła Informatyki i Zarządzania w Rze...",0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0
