"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Ekonomiczny w Katowicach","U. Ekonomiczny w Katowicach",12,2,16.7,9,"nauki o komunikacji społecznej i mediach",11.75,283.4,1.02
"Wyższa Szkoła Informatyki i Zarządzania z siedzibą w Rzeszowie","Wyższa Szkoła Informatyki i Zarządzania w Rze...",48,4,8.3,39,"nauki o komunikacji społecznej i mediach",17.69,297.68,2.71
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",56,2,3.6,37,"nauki o komunikacji społecznej i mediach",26.96,322,2.08
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",99,2,2,60,"nauki o komunikacji społecznej i mediach",46.5,280.86,2.13
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",62,1,1.6,16,"nauki o komunikacji społecznej i mediach",23.38,278.53,2.65
"Uniwersytet Warszawski","U. Warszawski",185,3,1.6,91,"nauki o komunikacji społecznej i mediach",70.04,268.96,2.64
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",110,1,0.9,66,"nauki o komunikacji społecznej i mediach",47.31,286.89,2.33
"Uniwersytet Ekonomiczny w Poznaniu","U. Ekonomiczny w Poznaniu",8,0,0,6,"nauki o komunikacji społecznej i mediach",3.38,363.91,2.37
"Uniwersytet Gdański","U. Gdański",37,0,0,22,"nauki o komunikacji społecznej i mediach",15.25,248.85,2.43
"Uniwersytet Jana Kochanowskiego w Kielcach","U. Jana Kochanowskiego w Kielcach",42,0,0,17,"nauki o komunikacji społecznej i mediach",16,262.63,2.62
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",55,0,0,23,"nauki o komunikacji społecznej i mediach",23.78,220.69,2.31
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy","U. Kazimierza Wielkiego w Bydgoszczy",28,0,0,23,"nauki o komunikacji społecznej i mediach",14.63,199.86,1.91
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",81,0,0,43,"nauki o komunikacji społecznej i mediach",31.75,265.45,2.55
"Uniwersytet Papieski Jana Pawła II w Krakowie","U. Papieski Jana Pawła II w Krakowie",73,0,0,41,"nauki o komunikacji społecznej i mediach",31.94,220.7,2.29
"Uniwersytet SWPS","U. SWPS",19,0,0,18,"nauki o komunikacji społecznej i mediach",7.75,304.52,2.45
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",61,0,0,42,"nauki o komunikacji społecznej i mediach",24,262.88,2.54
"Uniwersytet Wrocławski","U. Wrocławski",119,0,0,64,"nauki o komunikacji społecznej i mediach",61.16,261.04,1.95
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",56,0,0,35,"nauki o komunikacji społecznej i mediach",21.5,321.49,2.6
