"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Szczeciński","U. Szczeciński",84,58,69,15,"nauki o kulturze fizycznej",26.38,424.26,3.18
"Uniwersytet Jana Długosza w Częstochowie","U. Jana Długosza w Częstochowie",45,26,57.8,17,"nauki o kulturze fizycznej",14.79,378.7,3.04
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy","U. Kazimierza Wielkiego w Bydgoszczy",45,23,51.1,15,"nauki o kulturze fizycznej",16,375,2.81
"Akademia Wychowania Fizycznego im. Polskich Olimpijczyków we Wrocławiu","AWF",217,105,48.4,43,"nauki o kulturze fizycznej",68.44,404.75,3.17
"Akademia Kultury Fizycznej im. Bronisława Czecha w Krakowie","Akademia Kultury Fizycznej w Krakowie",229,109,47.6,62,"nauki o kulturze fizycznej",62.33,399.55,3.67
"Uniwersytet Rzeszowski","U. Rzeszowski",89,41,46.1,34,"nauki o kulturze fizycznej",23.75,400.29,3.75
"Akademia Wychowania Fizycznego i Sportu im. Jędrzeja Śniadeckiego w Gdańsku","AWF i Sportu w Gdańsku",211,93,44.1,53,"nauki o kulturze fizycznej",66.09,409.85,3.19
"Politechnika Opolska","P. Opolska",63,26,41.3,25,"nauki o kulturze fizycznej",19.06,374.19,3.31
"Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach","AWF w Katowicach",274,102,37.2,71,"nauki o kulturze fizycznej",74,439.61,3.7
"Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie","AWF Józefa Piłsudskiego w Warszawie",289,100,34.6,66,"nauki o kulturze fizycznej",94.44,415.8,3.06
"Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu","AWF w Poznaniu",299,103,34.4,95,"nauki o kulturze fizycznej",95.59,376.63,3.13
"Instytut Sportu - Państwowy Instytut Badawczy","Inst. Sportu PIB",51,6,11.8,24,"nauki o kulturze fizycznej",15.22,406.64,3.35
