"","Perspektywy Kultury","Teksty Drugie","Kwartalnik Filmowy","The Religious Studies Review","Kultura Współczesna. Teoria, Interpretacje, Praktyka","Konteksty: Polska Sztuka Ludowa","PRZEGLĄD KULTUROZNAWCZY","Pamiętnik Teatralny","Studia Religiologica - Zeszyty Naukowe Uniwersytetu Jagiellońskiego","Politeja","Czas Kultury","Roczniki Humanistyczne","Rocznik Naukowy Kujawsko-Pomorskiej Szkoły Wyższej w Bydgoszczy. Transdyscyplinarne Studia o Kulturze (i) Edukacji","Images (Poland)","DIDASKALIA. GAZETA TEATRALNA","Łódzkie Studia Etnograficzne","WIDOK. TEORIE I PRAKTYKI KULTURY WIZUALNEJ","Religions","Annales Universitatis Paedagogicae Cracoviensis | Studia ad Bibliothecarum Scientiam Pertinentia","Archiwa Biblioteki i Muzea Kościelne","Humaniora: An Online Journal","Cultural Studies Appendix","Edukacja Międzykulturowa","Kwartalnik Historii Żydów-Jewish History Quarterly","ER(R)GO. Theory–Literature–Culture","Lud","Acta Poloniae Historica","Etnografia. Praktyki, Teorie, Doświadczenia","Kultura i Spoleczenstwo [Culture and Society]","Transformacje"
"AGH w Krakowie",3,2,0,2,2,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
"Akademia Kujawsko-Pomorska",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inst. Kultur Śródziemnomorskich i Orientalnyc...",3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Inst. Slawistyki PAN",0,4,1,0,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"U. Ekonomiczny w Krakowie",2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"U. Gdański",1,4,1,6,0,5,0,0,4,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0
"U. Ignatianum w Krakowie",56,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"U. Jagielloński w Krakowie",18,12,0,11,1,5,4,9,14,22,2,2,0,0,3,0,2,7,0,0,0,0,1,0,1,1,1,1,2,1
"U. Kardynała Stefana Wyszyńskiego w Warszawie",4,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,4,0,4,0,0,0,0,0,0,0,0
"U. Kazimierza Wielkiego w Bydgoszczy",0,0,3,0,0,0,1,0,2,0,1,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
"U. Marii Curie-Skłodowskiej w Lublinie",3,0,2,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,2,6,0,0,0,6,0,0,0,0,1,0
"U. Mikołaja Kopernika w Toruniu",0,5,1,0,6,1,3,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"U. SWPS",0,0,1,0,3,2,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"U. Warszawski",3,18,12,2,6,6,5,3,3,3,8,5,0,0,9,1,9,2,0,0,0,0,0,6,1,4,4,0,3,0
"U. Wrocławski",0,7,5,0,4,10,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,2,0
"U. w Białymstoku",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"U. w Poznaniu",3,8,11,26,14,2,5,2,0,0,8,0,0,7,2,0,2,0,0,0,13,4,0,0,4,1,1,0,0,0
"U. Łódzki",2,5,16,0,2,0,6,5,3,2,1,4,0,3,2,0,2,0,2,2,0,1,0,0,1,0,0,0,0,0
"U. Śląski w Katowicach",6,4,13,0,2,1,5,5,1,0,3,1,0,0,0,9,0,0,10,2,0,0,9,0,0,3,0,0,0,8
