"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet SWPS","U. SWPS",30,3,10,24,"nauki o kulturze i religii",16.69,311.68,1.8
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",46,2,4.3,22,"nauki o kulturze i religii",18.84,287.63,2.44
"Instytut Kultur Śródziemnomorskich i Orientalnych Polskiej Akademii Nauk","Inst. Kultur Śródziemnomorskich i Orientalnyc...",25,1,4,18,"nauki o kulturze i religii",15.63,194.43,1.6
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",242,9,3.7,130,"nauki o kulturze i religii",116.9,284.11,2.07
"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","AGH w Krakowie",36,1,2.8,27,"nauki o kulturze i religii",15.38,327.63,2.34
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",180,5,2.8,78,"nauki o kulturze i religii",69.88,286.29,2.58
"Uniwersytet Ignatianum w Krakowie","U. Ignatianum w Krakowie",85,2,2.4,19,"nauki o kulturze i religii",35.63,336.15,2.39
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",62,1,1.6,32,"nauki o kulturze i religii",26.19,315.77,2.37
"Uniwersytet Warszawski","U. Warszawski",332,4,1.2,193,"nauki o kulturze i religii",156.19,249.08,2.13
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",195,1,0.5,80,"nauki o kulturze i religii",80.64,258.42,2.42
"Akademia Kujawsko-Pomorska","Akademia Kujawsko-Pomorska",35,0,0,9,"nauki o kulturze i religii",14.19,237.77,2.47
"Instytut Slawistyki Polskiej Akademii Nauk","Inst. Slawistyki PAN",90,0,0,60,"nauki o kulturze i religii",38.5,273.71,2.34
"Uniwersytet Ekonomiczny w Krakowie","U. Ekonomiczny w Krakowie",21,0,0,17,"nauki o kulturze i religii",8.06,336.1,2.61
"Uniwersytet Gdański","U. Gdański",91,0,0,57,"nauki o kulturze i religii",39.06,263.34,2.33
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy","U. Kazimierza Wielkiego w Bydgoszczy",35,0,0,27,"nauki o kulturze i religii",18.25,316.44,1.92
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",50,0,0,31,"nauki o kulturze i religii",26.75,256.04,1.87
"Uniwersytet Wrocławski","U. Wrocławski",79,0,0,40,"nauki o kulturze i religii",36.66,244.54,2.15
"Uniwersytet w Białymstoku","U. w Białymstoku",36,0,0,25,"nauki o kulturze i religii",19.81,207.98,1.82
"Uniwersytet Łódzki","U. Łódzki",132,0,0,68,"nauki o kulturze i religii",55.34,286.47,2.39
