"","Politeja","Przegląd Prawa Konstytucyjnego","Athenaeum. Polskie Studia Politologiczne","Studia Politologiczne","Horyzonty Polityki","POLISH POLITICAL SCIENCE YEARBOOK","Przegląd Politologiczny","Studia Polityczne","Polityka i Społeczeństwo","Przegląd Sejmowy","Yearbook of the Institute of East-Central Europe","Historia i Polityka","Journal of Modern Science","INTERNATIONAL JOURNAL OF PUBLIC ADMINISTRATION, MANAGEMENT AND ECONOMIC DEVELOPMENT","Polish Political Science Review. Polski Przegląd Politologiczny","Nowa Polityka Wschodnia","Przegląd Europejski","Stosunki Międzynarodowe - International Relations","Polityka Społeczna","Studia Iuridica","SPRAWY MIĘDZYNARODOWE","Studia Europejskie-Studies in European Affairs","Przegląd Strategiczny","Western Review","East European Politics and Societies","Myśl Ekonomiczna i Polityczna","ROCZNIK INSTYTUTU EUROPY ŚRODKOWO-WSCHODNIEJ","ŚRODKOWOEUROPEJSKIE STUDIA POLITYCZNE","Teoria Polityki","Perspektywy Kultury"
"Akademia Finansów i Biznesu Vistula",2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
"Akademia Jagiellońska w Toruniu",0,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akademia Mazowiecka w Płocku",0,1,1,3,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Inst. Studiów Politycznych PAN",1,0,2,1,0,1,0,12,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,2,2,10,0,0,0
"Katolicki Uniwersytet Lubelski Jana Pawła II",2,0,0,3,0,1,0,1,0,1,0,0,1,0,3,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0
"Lubelska Akademia WSEI",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P. Koszalińska",0,2,2,0,0,2,1,0,0,2,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"SGH w Warszawie",3,1,1,3,2,0,2,2,1,0,1,0,1,0,1,1,1,2,12,0,2,3,0,0,2,1,0,1,0,0
"U. Ekonomiczny w Krakowie",2,0,2,2,5,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,1,1,2
"U. Gdański",3,4,4,1,0,4,3,1,0,0,0,0,1,0,0,1,1,2,0,4,0,0,0,0,0,1,0,0,0,0
