"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Ekonomiczny w Krakowie","U. Ekonomiczny w Krakowie",128,9,7,71,"nauki o polityce i administracji",56.57,286.35,2.26
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",68,3,4.4,30,"nauki o polityce i administracji",34.13,270.99,1.99
"Akademia Finansów i Biznesu Vistula","Akademia Finansów i Biznesu Vistula",24,1,4.2,16,"nauki o polityce i administracji",12.38,289.98,1.94
"Uniwersytet Ignatianum w Krakowie","U. Ignatianum w Krakowie",71,3,4.2,20,"nauki o polityce i administracji",29.56,330.18,2.4
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",51,2,3.9,29,"nauki o polityce i administracji",21.94,320.83,2.32
"Uniwersytet Gdański","U. Gdański",63,2,3.2,35,"nauki o polityce i administracji",26.44,328.56,2.38
"Uniwersytet Opolski","U. Opolski",64,2,3.1,45,"nauki o polityce i administracji",32.31,351.97,1.98
"Katolicki Uniwersytet Lubelski Jana Pawła II","Katolicki Uniwersytet Lubelski Jana Pawła II",41,1,2.4,25,"nauki o polityce i administracji",17.69,360.09,2.32
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",46,1,2.2,31,"nauki o polityce i administracji",20.88,322.03,2.2
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",207,3,1.4,77,"nauki o polityce i administracji",97.28,305.35,2.13
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",71,1,1.4,35,"nauki o polityce i administracji",26.56,367.81,2.67
"Uniwersytet Szczeciński","U. Szczeciński",80,1,1.2,35,"nauki o polityce i administracji",33,348.79,2.42
"Uniwersytet Wrocławski","U. Wrocławski",168,2,1.2,89,"nauki o polityce i administracji",81.8,281.28,2.05
"Szkoła Główna Handlowa w Warszawie","SGH w Warszawie",95,1,1.1,63,"nauki o polityce i administracji",44.21,279.69,2.15
"Uniwersytet Łódzki","U. Łódzki",133,1,0.8,75,"nauki o polityce i administracji",53.63,312.23,2.48
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",157,1,0.6,59,"nauki o polityce i administracji",73.28,302.77,2.14
"Akademia Jagiellońska w Toruniu","Akademia Jagiellońska w Toruniu",28,0,0,2,"nauki o polityce i administracji",9.81,324.06,2.85
"Akademia Mazowiecka w Płocku","Akademia Mazowiecka w Płocku",34,0,0,27,"nauki o polityce i administracji",13.63,262.51,2.49
"Instytut Studiów Politycznych Polskiej Akademii Nauk","Inst. Studiów Politycznych PAN",55,0,0,29,"nauki o polityce i administracji",23.56,334.08,2.33
"Lubelska Akademia WSEI","Lubelska Akademia WSEI",24,0,0,3,"nauki o polityce i administracji",8.25,323.64,2.91
"Politechnika Koszalińska","P. Koszalińska",37,0,0,28,"nauki o polityce i administracji",14.25,315.72,2.6
"Uczelnia Łazarskiego w Warszawie","Uczelnia Łazarskiego w Warszawie",24,0,0,8,"nauki o polityce i administracji",11,395.45,2.18
"Uniwersytet Jana Kochanowskiego w Kielcach","U. Jana Kochanowskiego w Kielcach",32,0,0,21,"nauki o polityce i administracji",17.13,366.61,1.87
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy","U. Kazimierza Wielkiego w Bydgoszczy",63,0,0,30,"nauki o polityce i administracji",27.5,321.82,2.29
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",115,0,0,42,"nauki o polityce i administracji",46.67,331.11,2.46
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",60,0,0,33,"nauki o polityce i administracji",24.81,384.84,2.42
"Uniwersytet Rzeszowski","U. Rzeszowski",52,0,0,26,"nauki o polityce i administracji",20.5,336.1,2.54
"Uniwersytet SWPS","U. SWPS",28,0,0,27,"nauki o polityce i administracji",12.13,395.8,2.31
"Uniwersytet Warszawski","U. Warszawski",282,0,0,125,"nauki o polityce i administracji",125.29,324.02,2.25
"Uniwersytet Zielonogórski w Zielonej Górze","U. Zielonogórski w Zielonej Górze",16,0,0,12,"nauki o polityce i administracji",17.13,338.12,0.93
"Uniwersytet w Siedlcach","U. w Siedlcach",36,0,0,20,"nauki o polityce i administracji",15.63,284.2,2.3
