"","Biuletyn Historii Sztuki","Muzyka","Roczniki Humanistyczne","Konteksty: Polska Sztuka Ludowa","Quart. Kwartalnik Instytutu Historii Sztuki Uniwersytetu Wrocławskiego","Kwartalnik Filmowy","Pamiętnik Teatralny","Art Inquiry","Archiwa Biblioteki i Muzea Kościelne","Kultura Współczesna. Teoria, Interpretacje, Praktyka","Images (Poland)","Arts","DIDASKALIA. GAZETA TEATRALNA","Muzealnictwo","Teksty Drugie","Cultural Studies Appendix","Artium Quaestiones","Porta Aurea","Wiadomości Konserwatorskie","Kwartalnik Historii Kultury Materialnej","Sztuka i Dokumentacja-Art & Documentation","PRZEGLĄD KULTUROZNAWCZY","Saeculum Christianum","Artibus et Historiae","Artifex Novus","Musicology Today","VOX PATRUM","Muzeologia a Kulturne Dedicstvo","Architectus","Czas Kultury"
"Inst. Sztuki PAN",42,32,1,31,0,11,20,0,0,4,0,1,3,0,3,0,0,0,0,2,2,0,0,2,1,1,0,0,0,1
"Katolicki Uniwersytet Lubelski Jana Pawła II",0,0,28,0,1,0,0,1,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"U. Gdański",7,0,2,14,3,9,4,0,1,1,6,1,0,0,1,2,2,8,1,2,1,0,0,0,0,0,0,1,0,0
"U. Jagielloński w Krakowie",8,12,9,4,2,16,7,0,1,3,3,0,10,5,7,5,1,0,2,0,0,3,0,4,0,1,0,0,0,1
"U. Kardynała Stefana Wyszyńskiego w Warszawie",1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,1,1,0,7,0,6,0,2,1,0,0
"U. Komisji Edukacji Narodowej w Krakowie",3,0,0,0,1,5,0,2,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"U. Mikołaja Kopernika w Toruniu",4,1,3,0,3,0,0,0,2,0,1,3,0,2,0,1,0,1,5,1,1,1,0,0,0,0,0,1,6,0
"U. Papieski Jana Pawła II w Krakowie",2,0,4,1,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0
"U. Warszawski",7,18,6,3,7,1,0,0,0,5,0,2,0,2,0,0,1,0,0,1,1,1,0,0,0,4,0,0,0,0
"U. Wrocławski",4,6,4,2,32,0,1,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"U. w Poznaniu",14,5,2,1,2,1,1,0,0,1,4,1,1,0,0,2,6,0,0,1,1,0,0,0,0,1,0,0,0,1
"U. Łódzki",0,0,2,0,2,2,1,16,0,1,2,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,3,0,0
