"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",48,7,14.6,31,"nauki o sztuce",20.13,254.69,2.38
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",61,3,4.9,36,"nauki o sztuce",33.88,225,1.8
"Uniwersytet Warszawski","U. Warszawski",116,4,3.4,56,"nauki o sztuce",59.53,258.29,1.95
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",29,1,3.4,21,"nauki o sztuce",14.25,299.65,2.04
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",77,2,2.6,47,"nauki o sztuce",39.56,263.17,1.95
"Uniwersytet Gdański","U. Gdański",97,2,2.1,45,"nauki o sztuce",40.06,261.86,2.42
"Katolicki Uniwersytet Lubelski Jana Pawła II","Katolicki Uniwersytet Lubelski Jana Pawła II",51,1,2,18,"nauki o sztuce",21.13,326.98,2.41
"Uniwersytet Wrocławski","U. Wrocławski",71,1,1.4,20,"nauki o sztuce",33.38,234.75,2.13
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",171,1,0.6,76,"nauki o sztuce",83.24,265.68,2.05
"Instytut Sztuki Polskiej Akademii Nauk","Inst. Sztuki PAN",194,1,0.5,47,"nauki o sztuce",89.28,277.31,2.17
"Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie","Akademia Teatralna w Warszawie",23,0,0,8,"nauki o sztuce",17.25,183.71,1.33
"Uniwersytet Artystyczny im. Magdaleny Abakanowicz w Poznaniu","U. Artystyczny w Poznaniu",29,0,0,22,"nauki o sztuce",14.63,239.23,1.98
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",34,0,0,17,"nauki o sztuce",17.13,273.03,1.98
"Uniwersytet Papieski Jana Pawła II w Krakowie","U. Papieski Jana Pawła II w Krakowie",40,0,0,24,"nauki o sztuce",18.06,275.25,2.21
"Uniwersytet Łódzki","U. Łódzki",49,0,0,20,"nauki o sztuce",26.59,310.64,1.84
