"","Zeszyty Naukowe Politechniki Śląskiej. Seria Organizacja i Zarządzanie","Energies","European Research Studies Journal","Sustainability","Zeszyty Naukowe. Organizacja i Zarządzanie/Politechnika Śląska","Journal of Modern Science","Zeszyty Naukowe Akademii Górnośląskiej","Economics and Environment","PRZEGLĄD ORGANIZACJI","International Journal of Environmental Research and Public Health","Studia i Prace Kolegium Zarządzania i Finansów","Journal of Management and Business Administration Central Europe","Humanities and Social Sciences","PLoS ONE","Miesięcznik Marketing i Rynek","Cracow Review of Economics and Management","Zeszyty Teoretyczne Rachunkowości","Entrepreneurial Business and Economics Review","Organizacja i Kierowanie","Human Technology","Polish Journal of Management Studies","International Journal for Quality Research","Annales Universitatis Mariae Curie-Skłodowska, Sec. H Oeconomia","Journal of Cleaner Production","PRACE NAUKOWE UNIWERSYTETU EKONOMICZNEGO WE WROCŁAWIU","Engineering Management in Production and Services","E-Mentor","Economics and Sociology","International Journal of Management and Economics","Applied Sciences"
"AGH w Krakowie",43,47,6,16,0,0,2,0,2,1,1,1,0,1,1,2,2,1,1,0,0,1,0,2,1,0,0,0,0,2
"Akademia Finansów i Biznesu Vistula",2,6,10,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akademia Górnośląska w Katowicach",1,2,1,1,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akademia Humanitas",1,3,19,1,1,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akademia Leona Koźmińskiego w Warszawie",9,3,0,2,0,0,0,0,1,0,0,15,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,0,0,0
"Akademia Nauk Stosowanych - Wyższa Szkoła Zar...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Akademia Sztuki Wojennej",1,8,7,1,7,5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akademia WSB",3,13,2,1,0,1,1,0,1,0,0,0,1,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"Akademia Wojsk Lądowych imienia generała Tade...",12,6,17,2,0,4,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Akademia Wymiaru Sprawiedliwości",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
