"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie","U. Rolniczy w Krakowie",52,28,53.8,19,"nauki o zarządzaniu i jakości",20.88,358.57,2.49
"Lubelska Akademia WSEI","Lubelska Akademia WSEI",23,12,52.2,5,"nauki o zarządzaniu i jakości",7.75,394.19,2.97
"Politechnika Morska w Szczecinie","P. Morska w Szczecinie",102,50,49,27,"nauki o zarządzaniu i jakości",36.81,300.24,2.77
"Politechnika Poznańska","P. Poznańska",222,108,48.6,40,"nauki o zarządzaniu i jakości",87.73,392.29,2.53
"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie","SGGW w Warszawie",51,24,47.1,20,"nauki o zarządzaniu i jakości",22.88,379.85,2.23
"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","AGH w Krakowie",193,70,36.3,71,"nauki o zarządzaniu i jakości",79.19,343.97,2.44
"Politechnika Lubelska","P. Lubelska",157,56,35.7,25,"nauki o zarządzaniu i jakości",58.78,480.4,2.67
"Wyższa Szkoła Biznesu - National Louis University z siedzibą w Nowym Sączu","Wyższa Szkoła Biznesu - National Louis Univer...",37,13,35.1,4,"nauki o zarządzaniu i jakości",13,333.85,2.85
"Uniwersytet Szczeciński","U. Szczeciński",239,81,33.9,42,"nauki o zarządzaniu i jakości",128.48,386.12,1.86
"Politechnika Rzeszowska im. Ignacego Łukasiewicza","P. Rzeszowska",154,48,31.2,37,"nauki o zarządzaniu i jakości",54.64,348.22,2.82
"Uniwersytet Morski w Gdyni","U. Morski w Gdyni",93,29,31.2,26,"nauki o zarządzaniu i jakości",32.19,321.22,2.89
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",64,20,31.2,24,"nauki o zarządzaniu i jakości",26.38,306.48,2.43
"Politechnika Łódzka","P. Łódzka",77,23,29.9,39,"nauki o zarządzaniu i jakości",37.72,405.57,2.04
"Politechnika Warszawska","P. Warszawska",129,38,29.5,56,"nauki o zarządzaniu i jakości",65.06,336.78,1.98
"Uniwersytet w Siedlcach","U. w Siedlcach",42,12,28.6,20,"nauki o zarządzaniu i jakości",17.88,260.46,2.35
"Politechnika Białostocka","P. Białostocka",135,38,28.1,39,"nauki o zarządzaniu i jakości",56.63,366.78,2.38
"Politechnika Opolska","P. Opolska",100,28,28,40,"nauki o zarządzaniu i jakości",33.94,306.98,2.95
"Politechnika Śląska","P. Śląska",321,88,27.4,49,"nauki o zarządzaniu i jakości",107.69,347.97,2.98
"Akademia WSB","Akademia WSB",52,14,26.9,27,"nauki o zarządzaniu i jakości",21.63,437.45,2.4
"Akademia Finansów i Biznesu Vistula","Akademia Finansów i Biznesu Vistula",31,8,25.8,13,"nauki o zarządzaniu i jakości",12.63,342.36,2.45
"Społeczna Akademia Nauk z siedzibą w Łodzi","Społeczna Akademia Nauk w Łodzi",35,9,25.7,19,"nauki o zarządzaniu i jakości",15.25,361.64,2.3
"Uniwersytet Pomorski w Słupsku","U. Pomorski w Słupsku",39,10,25.6,13,"nauki o zarządzaniu i jakości",15.75,317.02,2.48
"Uniwersytet Radomski im. Kazimierza Pułaskiego","U. Radomski",34,8,23.5,15,"nauki o zarządzaniu i jakości",12.88,260.48,2.64
"Państwowa Akademia Nauk Stosowanych w Krośnie","Państwowa Akademia Nauk Stosowanych w Krośnie",30,7,23.3,23,"nauki o zarządzaniu i jakości",12.65,233.36,2.37
"Politechnika Świętokrzyska","P. Świętokrzyska",91,20,22,29,"nauki o zarządzaniu i jakości",31.88,316.69,2.85
"Uniwersytet Zielonogórski w Zielonej Górze","U. Zielonogórski w Zielonej Górze",46,10,21.7,20,"nauki o zarządzaniu i jakości",18.75,332,2.45
"Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich","P. Bydgoska",84,17,20.2,20,"nauki o zarządzaniu i jakości",33.88,318.42,2.48
"Wyższa Szkoła Logistyki w Poznaniu","Wyższa Szkoła Logistyki w Poznaniu",35,7,20,10,"nauki o zarządzaniu i jakości",18.75,223.52,1.87
