"","Journal of Clinical Medicine","International Journal of Environmental Research and Public Health","Nutrients","International Journal of Molecular Sciences","Scientific Reports","Cancers","Medical Science Monitor","Annals of Agricultural and Environmental Medicine","Polskie Archiwum Medycyny Wewnetrznej","Molecules","Vaccines","Frontiers in Public Health","Cells","Biomedicines","Medical Studies/Studia Medyczne","Journal of Education, Health and Sport","Medical Research Journal","Medycyna Pracy","PLoS ONE","Foods","Applied Sciences","International Journal of Occupational Medicine and Environmental Health","Antioxidants","Folia Medica Cracoviensia","Kardiologia Polska","Journal of Modern Science","Psychiatria Polska","Frontiers in Immunology","Frontiers in Psychiatry","Biuletyn Głównej Biblioteki Lekarskiej"
"Akademia Bialska",0,10,3,3,1,0,1,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"Akademia Mazowiecka w Płocku",10,0,1,2,2,2,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akademia Nauk Stosowanych Wincentego Pola w L...",7,0,0,1,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0
"Akademia Tarnowska",3,1,1,3,2,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Akademia WSB",3,0,1,5,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akademia Łomżyńska",7,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0
"Akademia Śląska",7,3,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
"Centrum Medycznego Kształcenia Podyplomowego",10,12,3,1,1,3,11,2,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gdański Uniwersytet Medyczny",48,33,42,25,16,15,1,1,15,6,7,2,6,0,0,0,0,1,0,3,0,0,1,0,0,1,0,3,1,0
"Inst. Genetyki i Biotechnologii Zwierząt PAN",2,1,3,18,5,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Inst. Medycyny Pracy",1,7,0,5,6,0,0,0,0,2,0,1,0,1,0,0,0,22,0,0,0,15,0,0,0,0,0,0,0,0
"Inst. Medycyny Wsi",2,2,1,10,1,0,0,28,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lubelska Akademia WSEI",0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
"Narodowy Instytut Zdrowia Publicznego PZH – PIB",7,5,7,3,1,8,6,5,2,3,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
"P. Opolska",6,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"Państwowa Akademia Nauk Stosowanych w Krośnie",5,2,1,2,2,0,0,1,0,3,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Państwowy Instytut Medyczny Ministerstwa Spra...",11,0,2,2,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pomorski Uniwersytet Medyczny w Szczecinie",74,38,49,55,15,26,0,4,4,7,2,5,4,7,0,0,0,0,1,3,4,0,3,0,1,0,2,0,2,0
"SGGW w Warszawie",3,1,8,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Bielsko-Bialski",8,0,0,2,1,2,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"U. Jagielloński w Krakowie",27,45,21,16,21,1,5,7,14,2,4,12,1,9,2,0,1,3,10,0,1,5,2,26,8,0,8,2,7,0
"U. Jana Długosza w Częstochowie",5,2,6,4,1,1,0,1,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
"U. Jana Kochanowskiego w Kielcach",32,17,5,6,10,3,1,12,5,4,0,1,0,3,21,0,1,0,2,1,4,0,0,0,2,0,0,1,0,0
"U. Kaliski",5,5,7,7,5,6,3,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,17
"U. Medyczny",70,28,17,13,4,14,10,5,6,2,6,1,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,2,0,0
"U. Medyczny w Białymstoku",32,21,20,17,7,11,5,0,4,1,4,0,5,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0
"U. Medyczny w Lublinie",41,42,22,37,21,21,13,10,4,18,4,0,4,0,2,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0
"U. Medyczny w Poznaniu",46,28,49,36,16,14,6,2,11,5,6,3,7,9,2,0,3,0,3,4,8,0,3,0,3,0,0,3,1,5
"U. Medyczny w Łodzi",31,33,28,31,8,11,1,3,7,6,1,0,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,4,0,0
"U. Mikołaja Kopernika w Toruniu",51,18,13,28,15,9,8,0,4,7,1,6,6,3,2,25,30,3,3,3,2,4,2,0,3,0,2,0,1,0
"U. Opolski",7,7,7,4,8,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Rzeszowski",24,32,16,11,16,1,13,1,0,2,2,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"U. Warmińsko-Mazurski w Olsztynie",8,18,3,3,8,4,2,0,0,0,1,6,2,0,0,0,0,0,1,0,2,0,1,0,0,0,0,2,1,0
"U. Zielonogórski w Zielonej Górze",14,7,3,21,3,5,1,3,0,0,3,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
