"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Akademia Mazowiecka w Płocku","Akademia Mazowiecka w Płocku",24,20,83.3,11,"nauki o zdrowiu",8,413.75,3
"Pomorski Uniwersytet Medyczny w Szczecinie","Pomorski Uniwersytet Medyczny w Szczecinie",403,293,72.7,86,"nauki o zdrowiu",126.49,410.3,3.19
"Uniwersytet Zielonogórski w Zielonej Górze","U. Zielonogórski w Zielonej Górze",88,60,68.2,31,"nauki o zdrowiu",26.56,386.52,3.31
"Uniwersytet Medyczny w Łodzi","U. Medyczny w Łodzi",222,150,67.6,59,"nauki o zdrowiu",73.19,433.68,3.03
"Uniwersytet Medyczny w Białymstoku","U. Medyczny w Białymstoku",170,114,67.1,49,"nauki o zdrowiu",52.58,447.6,3.23
"Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu","U. Medyczny",248,161,64.9,64,"nauki o zdrowiu",82.14,457.27,3.02
"Uniwersytet Rzeszowski","U. Rzeszowski",139,89,64,27,"nauki o zdrowiu",40.34,430.89,3.45
"Uniwersytet Medyczny w Lublinie","U. Medyczny w Lublinie",305,190,62.3,67,"nauki o zdrowiu",96.88,446.58,3.15
"Uniwersytet w Siedlcach","U. w Siedlcach",71,42,59.2,38,"nauki o zdrowiu",23.74,336.02,2.99
"Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu","U. Medyczny w Poznaniu",403,235,58.3,119,"nauki o zdrowiu",130.37,410.61,3.09
"Warszawski Uniwersytet Medyczny","Warszawski Uniwersytet Medyczny",360,203,56.4,104,"nauki o zdrowiu",114.17,428.4,3.15
"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie","SGGW w Warszawie",25,14,56,10,"nauki o zdrowiu",7.78,466.2,3.21
"Gdański Uniwersytet Medyczny","Gdański Uniwersytet Medyczny",347,189,54.5,113,"nauki o zdrowiu",136.22,383.12,2.55
"Śląski Uniwersytet Medyczny w Katowicach","Śląski Uniwersytet Medyczny w Katowicach",411,217,52.8,116,"nauki o zdrowiu",130.56,388.28,3.15
"Akademia Łomżyńska","Akademia Łomżyńska",44,23,52.3,20,"nauki o zdrowiu",13.88,383.36,3.17
"Akademia Nauk Stosowanych Wincentego Pola w Lublinie","Akademia Nauk Stosowanych Wincentego Pola w L...",26,13,50,13,"nauki o zdrowiu",13.25,206.64,1.96
"Centrum Medycznego Kształcenia Podyplomowego","Centrum Medycznego Kształcenia Podyplomowego",69,34,49.3,26,"nauki o zdrowiu",22,446.68,3.14
"Narodowy Instytut Zdrowia Publicznego PZH – Państwowy Instytut Badawczy","Narodowy Instytut Zdrowia Publicznego PZH – PIB",96,46,47.9,41,"nauki o zdrowiu",29.1,446.94,3.3
"Uniwersytet Opolski","U. Opolski",55,26,47.3,20,"nauki o zdrowiu",18.17,419.43,3.03
"Uniwersytet Kaliski im. Prezydenta Stanisława Wojciechowskiego","U. Kaliski",75,35,46.7,23,"nauki o zdrowiu",24.56,464.94,3.05
"Akademia WSB","Akademia WSB",22,10,45.5,14,"nauki o zdrowiu",7.5,353.2,2.93
"Akademia Bialska im. Jana Pawła II","Akademia Bialska",46,20,43.5,28,"nauki o zdrowiu",15,368.07,3.07
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",112,48,42.9,58,"nauki o zdrowiu",30.13,366.58,3.72
"Instytut Genetyki i Biotechnologii Zwierząt Polskiej Akademii Nauk","Inst. Genetyki i Biotechnologii Zwierząt PAN",73,30,41.1,43,"nauki o zdrowiu",22.47,425.95,3.25
"Państwowa Akademia Nauk Stosowanych w Krośnie","Państwowa Akademia Nauk Stosowanych w Krośnie",37,15,40.5,25,"nauki o zdrowiu",10.86,340.33,3.41
"Uniwersytet Jana Kochanowskiego w Kielcach","U. Jana Kochanowskiego w Kielcach",211,84,39.8,71,"nauki o zdrowiu",60.56,413.31,3.48
"Akademia Śląska","Akademia Śląska",34,13,38.2,23,"nauki o zdrowiu",10.88,409.28,3.12
"Państwowy Instytut Medyczny Ministerstwa Spraw Wewnętrznych i Administracji","Państwowy Instytut Medyczny Ministerstwa Spra...",45,17,37.8,22,"nauki o zdrowiu",13.25,428.75,3.4
"Uniwersytet Jana Długosza w Częstochowie","U. Jana Długosza w Częstochowie",75,26,34.7,52,"nauki o zdrowiu",22.04,304.95,3.4
"Politechnika Opolska","P. Opolska",59,19,32.2,30,"nauki o zdrowiu",16.56,248.49,3.56
"Instytut Medycyny Wsi im. Witolda Chodźki","Inst. Medycyny Wsi",66,19,28.8,26,"nauki o zdrowiu",20.25,396.79,3.26
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",606,170,28.1,221,"nauki o zdrowiu",181.34,289.09,3.34
"Akademia Tarnowska","Akademia Tarnowska",49,13,26.5,36,"nauki o zdrowiu",15.31,271.72,3.2
"Uniwersytet Bielsko-Bialski","U. Bielsko-Bialski",71,17,23.9,39,"nauki o zdrowiu",24,197.46,2.96
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",663,157,23.7,267,"nauki o zdrowiu",190.79,325.14,3.48
"Instytut Medycyny Pracy im. prof. dr. med. Jerzego Nofera","Inst. Medycyny Pracy",118,18,15.3,52,"nauki o zdrowiu",34.46,350.75,3.42
"Lubelska Akademia WSEI","Lubelska Akademia WSEI",31,3,9.7,7,"nauki o zdrowiu",9.88,310.73,3.14
