"","Scientific Reports","Science of the Total Environment","Geological Quarterly","Catena","Water","Remote Sensing","Acta Geologica Polonica","Quaestiones Geographicae","Energies","Quaternary Science Reviews","Marine and Petroleum Geology","Oceanologia","Ecological Indicators","International Journal of Coal Geology","International Journal of Climatology","Radiocarbon","Land Degradation and Development","Annales Societatis Geologorum Poloniae","Sustainability","Geographia Polonica","Geomorphology","Holocene","Earth-Science Reviews","Minerals","Marine Pollution Bulletin","Frontiers in Marine Science","Palaeogeography, Palaeoclimatology, Palaeoecology","Geology, Geophysics & Environment","Earth System Science Data","Chemosphere"
"AGH w Krakowie",29,8,8,6,2,1,2,0,21,1,13,0,2,7,1,8,0,1,3,0,0,0,3,3,0,0,0,10,0,4
"Centrum Badań Kosmicznych PAN",1,1,0,0,0,6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Inst. Geodezji i Kartografii",1,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Inst. Geofizyki PAN",4,8,0,5,5,5,0,0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,2,2,0,1,0,2,8,0
"Inst. Geografii i Przestrzennego Zagospodarow...",2,9,1,10,2,1,0,2,0,3,0,0,3,0,5,0,3,0,0,12,2,3,1,0,0,0,0,0,1,0
"Inst. Meteorologii i Gospodarki Wodnej PIB",4,4,0,0,3,0,0,0,1,0,0,1,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,1,2
"Inst. Nauk Geologicznych PAN",7,5,6,6,1,1,4,0,1,5,11,0,1,4,0,0,0,6,0,0,2,4,6,1,2,0,2,0,1,1
"Inst. Oceanologii PAN",13,18,0,0,1,3,0,0,0,1,0,26,3,0,0,0,0,1,2,0,0,2,0,0,13,27,0,0,5,5
"Inst. Paleobiologii",12,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,1,0,0,0
"P. Śląska",4,0,0,3,0,0,0,0,1,2,0,0,1,0,0,20,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"Państwowy Instytut Geologiczny PIB",2,3,74,10,1,0,9,0,5,6,5,2,0,1,0,2,1,7,1,0,2,6,3,9,0,0,8,3,0,0
"U. Gdański",11,20,0,3,12,6,0,2,0,6,1,8,2,0,0,1,1,0,2,0,1,3,2,0,14,2,0,0,4,5
"U. Jagielloński w Krakowie",9,11,6,8,7,2,2,4,2,1,9,0,2,0,8,2,6,5,2,0,2,4,0,2,0,0,5,1,1,0
"U. Jana Kochanowskiego w Kielcach",0,0,1,1,4,0,0,5,1,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0
"U. Kazimierza Wielkiego w Bydgoszczy",4,3,0,2,3,2,0,2,1,0,0,0,6,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,2,2
"U. Komisji Edukacji Narodowej w Krakowie",1,2,1,5,5,1,2,1,1,0,0,0,0,1,0,0,1,0,1,2,1,0,0,3,0,0,0,0,0,0
"U. Marii Curie-Skłodowskiej w Lublinie",2,4,2,6,5,3,3,6,1,3,1,0,2,0,5,1,6,0,5,1,2,3,1,0,0,0,0,0,0,1
"U. Mikołaja Kopernika w Toruniu",5,4,0,7,6,1,0,0,1,3,0,1,1,0,1,0,1,0,2,2,3,1,1,0,0,0,0,0,0,1
"U. Morski w Gdyni",8,1,0,0,7,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"U. Pomorski w Słupsku",0,2,0,1,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"U. Szczeciński",14,10,0,1,7,1,0,2,4,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,0,1,1
"U. Warszawski",12,4,21,4,3,19,37,3,1,2,3,0,1,0,4,0,0,2,3,3,5,2,1,4,0,0,4,3,0,3
"U. Wrocławski",4,11,10,12,7,3,2,4,1,4,0,0,2,4,0,2,3,2,2,3,9,0,0,0,1,1,1,5,1,3
"U. w Poznaniu",13,16,6,18,9,10,7,22,1,11,1,1,8,0,2,1,4,4,5,1,6,6,6,3,0,0,10,1,2,0
"U. Łódzki",1,3,3,3,2,1,0,4,0,0,1,0,1,0,7,1,0,1,2,4,1,0,1,1,0,0,0,5,1,0
"U. Śląski w Katowicach",15,17,7,5,4,5,2,6,6,1,2,0,8,23,0,0,6,4,1,3,1,1,4,7,0,0,3,2,2,2
