"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",54,17,31.5,36,"nauki o Ziemi i środowisku",17.38,321.58,3.11
"Instytut Geodezji i Kartografii","Inst. Geodezji i Kartografii",43,13,30.2,30,"nauki o Ziemi i środowisku",15.2,237.63,2.83
"Uniwersytet Szczeciński","U. Szczeciński",131,37,28.2,66,"nauki o Ziemi i środowisku",41.92,420.68,3.12
"Uniwersytet Morski w Gdyni","U. Morski w Gdyni",46,12,26.1,29,"nauki o Ziemi i środowisku",14.81,374.34,3.11
"Uniwersytet Jana Kochanowskiego w Kielcach","U. Jana Kochanowskiego w Kielcach",41,10,24.4,30,"nauki o Ziemi i środowisku",13.19,344.58,3.11
"Uniwersytet Pomorski w Słupsku","U. Pomorski w Słupsku",38,8,21.1,26,"nauki o Ziemi i środowisku",14.06,294.17,2.7
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",122,24,19.7,67,"nauki o Ziemi i środowisku",39.98,390.6,3.05
"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","AGH w Krakowie",308,48,15.6,112,"nauki o Ziemi i środowisku",98.35,444.37,3.13
"Uniwersytet Gdański","U. Gdański",240,37,15.4,111,"nauki o Ziemi i środowisku",80.13,391.29,3
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",102,15,14.7,62,"nauki o Ziemi i środowisku",33.38,406.8,3.06
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",409,57,13.9,172,"nauki o Ziemi i środowisku",131.66,384.55,3.11
"Instytut Geofizyki Polskiej Akademii Nauk","Inst. Geofizyki PAN",285,39,13.7,153,"nauki o Ziemi i środowisku",88.16,358.03,3.23
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy","U. Kazimierza Wielkiego w Bydgoszczy",47,6,12.8,25,"nauki o Ziemi i środowisku",15.75,439.81,2.98
"Centrum Badań Kosmicznych Polskiej Akademii Nauk","Centrum Badań Kosmicznych PAN",127,15,11.8,73,"nauki o Ziemi i środowisku",45.16,265.06,2.81
"Instytut Meteorologii i Gospodarki Wodnej - Państwowy Instytut Badawczy","Inst. Meteorologii i Gospodarki Wodnej PIB",69,8,11.6,44,"nauki o Ziemi i środowisku",20.69,402.13,3.33
"Uniwersytet Warszawski","U. Warszawski",379,44,11.6,155,"nauki o Ziemi i środowisku",118.85,351.47,3.19
"Politechnika Śląska","P. Śląska",63,7,11.1,29,"nauki o Ziemi i środowisku",20.38,479.05,3.09
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",315,33,10.5,134,"nauki o Ziemi i środowisku",97.19,433.65,3.24
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",183,18,9.8,79,"nauki o Ziemi i środowisku",60.45,406.39,3.03
"Uniwersytet Wrocławski","U. Wrocławski",270,25,9.3,135,"nauki o Ziemi i środowisku",83.65,357.78,3.23
"Uniwersytet Łódzki","U. Łódzki",94,8,8.5,50,"nauki o Ziemi i środowisku",30.06,348.74,3.13
"Państwowy Instytut Geologiczny - Państwowy Instytut Badawczy","Państwowy Instytut Geologiczny PIB",279,21,7.5,101,"nauki o Ziemi i środowisku",96.64,355.38,2.89
"Instytut Oceanologii Polskiej Akademii Nauk","Inst. Oceanologii PAN",336,24,7.1,127,"nauki o Ziemi i środowisku",111.06,359.34,3.03
"Instytut Nauk Geologicznych Polskiej Akademii Nauk","Inst. Nauk Geologicznych PAN",235,7,3,102,"nauki o Ziemi i środowisku",77.93,435.4,3.02
"Instytut Geografii i Przestrzennego Zagospodarowania im. Stanisława Leszczyckiego Polskiej Akademii Nauk","Inst. Geografii i Przestrzennego Zagospodarow...",123,3,2.4,65,"nauki o Ziemi i środowisku",40.79,410.49,3.02
"Instytut Paleobiologii im. Romana Kozłowskiego Polskiej Akademii Nauk","Inst. Paleobiologii",72,0,0,32,"nauki o Ziemi i środowisku",23,412.61,3.13
