"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Szczeciński","U. Szczeciński",185,6,3.2,37,"nauki prawne",77.86,361.55,2.38
"Akademia Łomżyńska","Akademia Łomżyńska",33,1,3,17,"nauki prawne",12.19,322.4,2.71
"Uniwersytet w Białymstoku","U. w Białymstoku",282,7,2.5,56,"nauki prawne",108.49,353.61,2.6
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",90,2,2.2,52,"nauki prawne",36.59,276.44,2.46
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",301,6,2,73,"nauki prawne",106.15,291.41,2.84
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",298,4,1.3,97,"nauki prawne",124.69,319.53,2.39
"Katolicki Uniwersytet Lubelski Jana Pawła II","Katolicki Uniwersytet Lubelski Jana Pawła II",291,3,1,67,"nauki prawne",103.22,327.16,2.82
"Uniwersytet Jana Długosza w Częstochowie","U. Jana Długosza w Częstochowie",98,1,1,33,"nauki prawne",36.06,287.94,2.72
"Uniwersytet Zielonogórski w Zielonej Górze","U. Zielonogórski w Zielonej Górze",105,1,1,46,"nauki prawne",40.19,273.45,2.61
"Uniwersytet Opolski","U. Opolski",123,1,0.8,55,"nauki prawne",46.88,307.4,2.62
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",261,2,0.8,97,"nauki prawne",113.69,303.19,2.3
"Uniwersytet Gdański","U. Gdański",340,2,0.6,98,"nauki prawne",135.39,272.68,2.51
"Uniwersytet Rzeszowski","U. Rzeszowski",181,1,0.6,51,"nauki prawne",66.13,314.94,2.74
"Uniwersytet Wrocławski","U. Wrocławski",453,2,0.4,91,"nauki prawne",183.87,320.29,2.46
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",344,1,0.3,84,"nauki prawne",129,301.21,2.67
"Uniwersytet Warszawski","U. Warszawski",587,1,0.2,151,"nauki prawne",240.47,310.01,2.44
"Uniwersytet Łódzki","U. Łódzki",467,1,0.2,107,"nauki prawne",178.07,292.59,2.62
"Akademia Humanitas","Akademia Humanitas",36,0,0,14,"nauki prawne",15,316.07,2.4
"Akademia Kujawsko-Pomorska","Akademia Kujawsko-Pomorska",31,0,0,17,"nauki prawne",12.5,297.44,2.48
"Akademia Leona Koźmińskiego w Warszawie","Akademia Leona Koźmińskiego w Warszawie",89,0,0,30,"nauki prawne",37.75,345.83,2.36
"Akademia Policji w Szczytnie","Akademia Policji w Szczytnie",36,0,0,13,"nauki prawne",13.63,264.05,2.64
"Akademia Sztuki Wojennej","Akademia Sztuki Wojennej",53,0,0,24,"nauki prawne",20.38,300.1,2.6
"Akademia Wymiaru Sprawiedliwości","Akademia Wymiaru Sprawiedliwości",44,0,0,11,"nauki prawne",16.94,377.51,2.6
"Akademia im. Jakuba z Paradyża","Akademia z Paradyża",37,0,0,21,"nauki prawne",17.12,206.25,2.16
"Europejska Wyższa Szkoła Prawa i Administracji w Warszawie","Europejska Wyższa Szkoła Prawa i Administracj...",6,0,0,5,"nauki prawne",12.25,64.49,0.49
"Instytut Nauk Prawnych Polskiej Akademii Nauk","Inst. Nauk Prawnych PAN",134,0,0,49,"nauki prawne",67.37,384.56,1.99
"Politechnika Warszawska","P. Warszawska",48,0,0,27,"nauki prawne",18.53,349.16,2.59
"Szkoła Główna Handlowa w Warszawie","SGH w Warszawie",38,0,0,27,"nauki prawne",22.91,273.07,1.66
"Uczelnia Łazarskiego w Warszawie","Uczelnia Łazarskiego w Warszawie",64,0,0,21,"nauki prawne",26.34,359.04,2.43
"Uniwersytet Ekonomiczny w Krakowie","U. Ekonomiczny w Krakowie",118,0,0,45,"nauki prawne",45.83,269.82,2.57
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",532,0,0,152,"nauki prawne",232.94,283.88,2.28
"Uniwersytet Jana Kochanowskiego w Kielcach","U. Jana Kochanowskiego w Kielcach",98,0,0,45,"nauki prawne",42.81,233.73,2.29
"Uniwersytet Kaliski im. Prezydenta Stanisława Wojciechowskiego","U. Kaliski",24,0,0,14,"nauki prawne",10,318.5,2.4
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",260,0,0,89,"nauki prawne",112.45,278.44,2.31
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy","U. Kazimierza Wielkiego w Bydgoszczy",118,0,0,43,"nauki prawne",46.69,264.55,2.53
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",226,0,0,83,"nauki prawne",91.38,311.34,2.47
"Uniwersytet Pomorski w Słupsku","U. Pomorski w Słupsku",75,0,0,15,"nauki prawne",27.38,326.88,2.74
"Uniwersytet Radomski im. Kazimierza Pułaskiego","U. Radomski",71,0,0,29,"nauki prawne",24.75,340.61,2.87
"Uniwersytet SWPS","U. SWPS",81,0,0,34,"nauki prawne",33.65,346.95,2.41
"Wyższa Szkoła Prawa i Administracji Rzeszowska Szkoła Wyższa z siedzibą w Rzeszowie","Wyższa Szkoła Prawa i Administracji Rzeszowsk...",50,0,0,22,"nauki prawne",20.38,302.21,2.45
