"","Studia Socjologiczne","PRZEGLĄD SOCJOLOGII JAKOŚCIOWEJ","PRZEGLĄD SOCJOLOGICZNY","Kultura i Spoleczenstwo [Culture and Society]","Transformacje","Polish Sociological Review","Polityka Społeczna","Kultura Współczesna. Teoria, Interpretacje, Praktyka","Migration Studies - Review of Polish Diaspora","Acta Universitatis Lodziensis Folia Sociologica","Zeszyty Naukowe KUL","Journal of Modern Science","Scientific Reports","Edukacja Międzykulturowa","The Religious Studies Review","Qualitative Sociology Review","East European Politics and Societies","Wychowanie w Rodzinie","Ruch Prawniczy, Ekonomiczny i Socjologiczny","Annals of Social Sciences","Teksty Drugie","PLoS ONE","Religions","Władza Sądzenia","Roczniki Nauk Społecznych","Studia Polityczne","International Journal of Environmental Research and Public Health","Energy Research and Social Science","Niepełnosprawność i Rehabilitacja","Societas Communitas"
"AGH w Krakowie",2,5,2,1,0,1,3,3,1,1,1,0,0,1,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0
"Akademia Leona Koźmińskiego w Warszawie",0,0,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"Akademia Pedagogiki Specjalnej",2,4,0,2,0,1,4,1,2,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,4,0
"Inst. Filozofii i Socjologii PAN",7,3,4,3,0,3,0,3,1,0,3,0,1,0,0,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0
"Inst. Studiów Politycznych PAN",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,5,0,0,0,0
"Katolicki Uniwersytet Lubelski Jana Pawła II",0,0,0,0,7,0,0,0,0,0,1,2,4,2,0,0,0,0,0,1,0,4,7,0,2,0,2,0,0,0
"Ośrodek Przetwarzania Informacji PIB",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"SGGW w Warszawie",1,0,0,4,17,0,0,0,0,0,0,1,1,2,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0
"U. Gdański",3,2,2,9,2,3,0,1,0,2,0,0,0,0,5,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0
"U. Jagielloński w Krakowie",5,5,3,2,0,2,0,1,7,2,0,0,3,1,0,1,1,0,0,1,0,3,0,0,0,0,1,5,0,2
"U. Kardynała Stefana Wyszyńskiego w Warszawie",0,0,0,0,0,0,8,4,0,1,3,10,0,0,2,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0
"U. Komisji Edukacji Narodowej w Krakowie",1,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0
"U. Marii Curie-Skłodowskiej w Lublinie",0,1,1,2,1,1,0,0,1,0,6,3,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"U. Mikołaja Kopernika w Toruniu",6,2,1,3,1,4,2,3,0,2,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,2,1,0,0
"U. Rzeszowski",0,1,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0
"U. SWPS",1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"U. Szczeciński",0,1,0,0,4,1,0,0,1,0,0,0,0,4,2,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0
"U. Warszawski",17,7,17,7,1,7,8,5,8,1,5,2,2,0,1,1,6,1,2,0,4,1,1,1,5,3,2,2,3,10
"U. Wrocławski",4,3,2,4,0,3,0,1,1,1,1,0,0,2,0,2,2,0,1,3,0,0,0,1,0,1,1,0,1,0
"U. Zielonogórski w Zielonej Górze",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"U. w Białymstoku",2,0,3,0,1,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,2,1,0,0,2,0,1,0,0,0
"U. w Poznaniu",8,2,4,6,1,2,0,2,2,0,0,0,2,1,6,0,0,0,7,3,5,0,1,0,0,0,0,4,0,0
"U. Łódzki",6,22,9,4,2,2,3,4,2,18,0,0,0,0,2,10,0,0,0,0,1,0,1,10,0,0,0,0,2,0
"U. Śląski w Katowicach",1,2,0,1,6,1,1,0,0,0,3,6,0,4,0,0,1,3,0,0,0,2,1,0,4,0,0,1,1,0
