"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Katolicki Uniwersytet Lubelski Jana Pawła II","Katolicki Uniwersytet Lubelski Jana Pawła II",82,11,13.4,42,"nauki socjologiczne",27.78,377.07,2.95
"Uniwersytet Rzeszowski","U. Rzeszowski",41,5,12.2,29,"nauki socjologiczne",18,278.22,2.28
"Uniwersytet Szczeciński","U. Szczeciński",46,5,10.9,35,"nauki socjologiczne",19,325,2.42
"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie","SGGW w Warszawie",64,5,7.8,37,"nauki socjologiczne",23,291.57,2.78
"Ośrodek Przetwarzania Informacji — Państwowy Instytut Badawczy","Ośrodek Przetwarzania Informacji PIB",29,2,6.9,28,"nauki socjologiczne",14.88,220.56,1.95
"Uniwersytet w Białymstoku","U. w Białymstoku",78,5,6.4,52,"nauki socjologiczne",26.06,270.3,2.99
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",78,4,5.1,45,"nauki socjologiczne",31.94,307.98,2.44
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",63,3,4.8,42,"nauki socjologiczne",24.75,290.95,2.55
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",57,2,3.5,46,"nauki socjologiczne",27.19,228.65,2.1
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",85,3,3.5,61,"nauki socjologiczne",28.75,254.96,2.96
"Uniwersytet Warszawski","U. Warszawski",354,12,3.4,212,"nauki socjologiczne",144.67,278.11,2.45
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",133,3,2.3,81,"nauki socjologiczne",46.91,315.73,2.84
"Uniwersytet Łódzki","U. Łódzki",172,4,2.3,76,"nauki socjologiczne",71.4,270.03,2.41
"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","AGH w Krakowie",71,1,1.4,52,"nauki socjologiczne",28.52,272.44,2.49
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",165,2,1.2,115,"nauki socjologiczne",63.65,288.63,2.59
"Uniwersytet Wrocławski","U. Wrocławski",114,1,0.9,88,"nauki socjologiczne",44.22,269.13,2.58
"Instytut Filozofii i Socjologii Polskiej Akademii Nauk","Inst. Filozofii i Socjologii PAN",138,1,0.7,99,"nauki socjologiczne",58.31,301.39,2.37
"Akademia Leona Koźmińskiego w Warszawie","Akademia Leona Koźmińskiego w Warszawie",34,0,0,25,"nauki socjologiczne",16.41,363.99,2.07
"Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej","Akademia Pedagogiki Specjalnej",59,0,0,35,"nauki socjologiczne",22.38,271.45,2.64
"Instytut Studiów Politycznych Polskiej Akademii Nauk","Inst. Studiów Politycznych PAN",39,0,0,30,"nauki socjologiczne",14.81,334.84,2.63
"Uniwersytet Gdański","U. Gdański",88,0,0,62,"nauki socjologiczne",30.31,302.08,2.9
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",77,0,0,35,"nauki socjologiczne",30.19,259.16,2.55
"Uniwersytet SWPS","U. SWPS",38,0,0,34,"nauki socjologiczne",13.56,364.75,2.8
"Uniwersytet Zielonogórski w Zielonej Górze","U. Zielonogórski w Zielonej Górze",16,0,0,13,"nauki socjologiczne",14.75,275.93,1.08
