"","Verbum Vitae","Collectanea Theologica","VOX PATRUM","Teologia i Człowiek","Religions","Polonia Sacra","STUDIA BOBOLANUM","Rocznik Teologiczny","Teologia i Moralność","Forum Teologiczne","Poznan Theological Studies","Biblical Annals","Wrocławski Przegląd Teologiczny","Family Forum","Studia Pelplińskie","Annals of Theology","Archiwa Biblioteki i Muzea Kościelne","Warszawskie Studia Teologiczne","Person and the Challenges-The Journal of Theology Education Canon Law and Social Studies Inspired by Pope John Paul II","Bogoslovni Vestnik","Studia Warminskie","Studia Nauk Teologicznych PAN","Studia Oecumenica","European Journal of Science and Theology","Pedagogika Katolicka","Biblica et Patristica Thoruniensia","The Koszalin-Kolobrzeg Studies","Ateneum Kapłańskie","Seminare. Poszukiwania naukowe","British Journal of Religious Education"
"Akademia Katolicka w Warszawie",12,4,0,0,1,0,20,0,0,0,0,2,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0
"Chrześcijańska Akademia Teologiczna w Warszawie",0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0
"Katolicki Uniwersytet Lubelski Jana Pawła II",46,14,16,2,18,2,0,0,1,3,1,5,0,0,0,7,3,0,3,4,2,1,2,3,1,0,0,0,0,0
"Papieski Wydział Teologiczny we Wrocławiu",5,6,0,0,0,8,2,0,0,0,0,1,13,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"U. Kardynała Stefana Wyszyńskiego w Warszawie",2,19,6,4,1,5,3,0,1,5,2,4,2,2,10,1,0,5,1,0,0,2,0,0,0,3,0,6,5,1
"U. Mikołaja Kopernika w Toruniu",3,1,5,19,6,2,0,0,0,1,2,2,0,0,5,0,0,0,0,0,1,0,0,4,1,0,0,0,0,4
"U. Opolski",2,0,0,2,3,3,1,0,1,2,0,2,0,9,0,5,2,0,1,1,0,1,5,0,0,0,0,0,0,0
"U. Papieski Jana Pawła II w Krakowie",12,5,9,8,3,13,1,0,5,0,4,0,2,1,1,1,0,0,9,2,0,0,2,2,1,0,0,0,2,0
"U. Szczeciński",4,0,0,4,2,3,0,0,1,1,1,2,2,2,0,0,5,2,0,1,1,0,0,0,0,1,8,0,1,0
"U. Warmińsko-Mazurski w Olsztynie",1,2,1,1,1,0,0,0,4,18,0,0,0,1,0,0,1,0,0,1,9,3,0,0,0,2,0,0,0,1
"U. w Poznaniu",11,2,6,2,2,2,0,0,13,1,19,2,0,0,0,1,1,1,1,2,1,0,0,0,6,1,1,0,0,0
"U. Śląski w Katowicach",4,5,4,2,4,3,8,1,4,0,0,1,1,4,1,0,3,1,0,3,0,2,0,0,1,1,0,0,0,1
