"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Katolicki Uniwersytet Lubelski Jana Pawła II","Katolicki Uniwersytet Lubelski Jana Pawła II",178,20,11.2,45,"nauki teologiczne",70.43,364.89,2.53
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",68,6,8.8,19,"nauki teologiczne",27.75,358.05,2.45
"Uniwersytet Opolski","U. Opolski",48,3,6.2,23,"nauki teologiczne",21.44,316.46,2.24
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",70,4,5.7,33,"nauki teologiczne",27.56,301.78,2.54
"Uniwersytet Szczeciński","U. Szczeciński",57,2,3.5,28,"nauki teologiczne",24,300.63,2.38
"Uniwersytet Papieski Jana Pawła II w Krakowie","U. Papieski Jana Pawła II w Krakowie",95,3,3.2,27,"nauki teologiczne",39.94,327.19,2.38
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",82,2,2.4,26,"nauki teologiczne",34,304.65,2.41
"Akademia Katolicka w Warszawie","Akademia Katolicka w Warszawie",56,1,1.8,15,"nauki teologiczne",22.66,323.7,2.47
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",63,1,1.6,25,"nauki teologiczne",21.9,292.74,2.88
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",113,1,0.9,42,"nauki teologiczne",47.78,280.77,2.37
"Chrześcijańska Akademia Teologiczna w Warszawie","Chrześcijańska Akademia Teologiczna w Warszawie",54,0,0,17,"nauki teologiczne",21.45,264.99,2.52
"Papieski Wydział Teologiczny we Wrocławiu","Papieski Wydział Teologiczny we Wrocławiu",66,0,0,32,"nauki teologiczne",32.39,268.66,2.04
