"","Studies on the Theory of Education","Biografistyka Pedagogiczna","Edukacja Międzykulturowa","Wychowanie w Rodzinie","LUBELSKI ROCZNIK PEDAGOGICZNY","Edukacja Elementarna w Teorii i Praktyce","Forum Pedagogiczne","Przegląd Badań Edukacyjnych","New Educational Review","Multidisciplinary Journal of School Education","Colloquium","Polish Journal of Social Rehabilitation","Polska Myśl Pedagogiczna","Journal of Modern Science","Roczniki Pedagogiczne","PROBLEMY OPIEKUŃCZO WYCHOWAWCZE","The Prison Systems Review","HORYZONTY WYCHOWANIA","Kultura i Edukacja","Pedagogika Katolicka","Niepełnosprawność i Rehabilitacja","Studia Pedagogiczne. Problemy społeczne, edukacyjne i artystyczne","Niepełnosprawność. Dyskursy pedagogiki specjalnej","International Journal of Environmental Research and Public Health","Szkoła Specjalna","Studia z Teorii Wychowania","Studia Paedagogica Ignatiana","Studia edukacyjne","Probacja","Edukacyjna Analiza Transakcyjna"
"Akademia Pedagogiki Specjalnej",35,4,9,4,19,8,19,4,7,10,3,2,0,9,8,31,10,4,0,2,4,4,5,1,34,0,6,1,3,4
"Akademia WSB",2,3,0,0,0,0,0,0,0,4,3,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Akademia Wymiaru Sprawiedliwości",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0
"Akademia Zamojska",0,20,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Akademia z Paradyża",1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"Chrześcijańska Akademia Teologiczna w Warszawie",13,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0,0
"Katolicki Uniwersytet Lubelski Jana Pawła II",0,7,0,0,0,2,2,1,1,2,0,0,3,3,16,0,2,1,0,3,0,0,0,0,0,2,2,0,0,0
"SGGW w Warszawie",2,1,2,0,1,0,0,1,3,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"U. Bielsko-Bialski",0,0,0,19,0,4,0,0,0,2,2,0,1,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0
"U. Gdański",15,1,6,1,4,3,1,3,0,1,22,1,1,1,0,0,1,4,0,2,2,0,13,0,2,0,1,1,4,2
"U. Ignatianum w Krakowie",0,4,4,0,0,2,2,0,1,24,4,2,3,0,0,0,2,7,0,0,0,0,0,1,0,0,1,0,0,0
"U. Jagielloński w Krakowie",2,1,4,0,2,7,1,6,2,1,2,2,14,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
"U. Jana Długosza w Częstochowie",2,4,0,1,0,5,1,1,4,2,0,0,0,1,2,0,0,0,1,2,0,0,1,0,0,3,2,0,0,18
"U. Jana Kochanowskiego w Kielcach",3,1,0,2,3,3,3,0,1,1,0,1,2,0,1,9,0,2,2,2,2,16,3,1,3,0,1,1,0,0
"U. Kardynała Stefana Wyszyńskiego w Warszawie",5,1,1,0,2,1,32,0,0,1,1,0,4,4,1,0,3,1,0,1,1,0,0,1,0,0,0,0,0,0
"U. Kazimierza Wielkiego w Bydgoszczy",2,1,3,10,2,8,1,5,0,1,4,0,2,1,2,0,0,4,0,13,10,1,1,1,0,0,3,2,2,0
"U. Komisji Edukacji Narodowej w Krakowie",1,5,4,5,9,8,4,0,1,5,0,0,3,6,2,1,1,4,0,1,6,1,6,2,1,3,2,0,1,0
"U. Marii Curie-Skłodowskiej w Lublinie",15,11,10,1,21,0,2,10,6,7,1,3,1,16,7,0,3,2,0,2,0,1,0,1,0,0,0,0,7,0
"U. Mikołaja Kopernika w Toruniu",13,3,3,0,4,1,0,16,1,3,1,2,1,4,0,0,2,0,1,0,1,0,1,0,0,0,3,1,0,0
"U. Opolski",4,1,2,0,1,1,0,2,3,0,0,0,0,0,1,1,1,1,0,3,0,0,1,0,0,0,0,0,0,1
"U. Pomorski w Słupsku",3,0,6,0,0,0,3,0,0,0,5,1,0,4,0,0,1,0,0,1,6,0,0,2,0,0,0,0,2,0
"U. Radomski",1,0,2,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"U. Rzeszowski",1,11,1,2,7,3,3,1,7,1,1,1,2,1,2,0,0,3,1,1,5,5,0,2,0,2,0,0,0,3
"U. Szczeciński",2,20,2,2,0,1,1,1,1,0,1,3,6,0,3,0,0,2,1,1,5,0,1,1,0,0,3,1,2,0
