"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Bielsko-Bialski","U. Bielsko-Bialski",48,5,10.4,18,"pedagogika",18.13,276.78,2.65
"Uniwersytet Szczeciński","U. Szczeciński",105,9,8.6,49,"pedagogika",43.75,310.08,2.4
"Uniwersytet Papieski Jana Pawła II w Krakowie","U. Papieski Jana Pawła II w Krakowie",25,2,8,19,"pedagogika",10.63,283.35,2.35
"Uniwersytet Pomorski w Słupsku","U. Pomorski w Słupsku",54,4,7.4,24,"pedagogika",21.81,308.21,2.48
"Uniwersytet Warszawski","U. Warszawski",153,11,7.2,94,"pedagogika",62.15,290.49,2.46
"Uniwersytet Zielonogórski w Zielonej Górze","U. Zielonogórski w Zielonej Górze",56,4,7.1,20,"pedagogika",26.31,341.39,2.13
"Uniwersytet Radomski im. Kazimierza Pułaskiego","U. Radomski",38,2,5.3,24,"pedagogika",13.81,267.85,2.75
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",298,15,5,81,"pedagogika",111.5,283.43,2.67
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",230,10,4.3,94,"pedagogika",90.21,239.04,2.55
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",150,5,3.3,55,"pedagogika",55.88,298.03,2.68
"Akademia WSB","Akademia WSB",33,1,3,20,"pedagogika",12.19,337.98,2.71
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",174,5,2.9,53,"pedagogika",67.44,332.15,2.58
"Uniwersytet w Białymstoku","U. w Białymstoku",216,6,2.8,72,"pedagogika",75,230.2,2.88
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",267,7,2.6,90,"pedagogika",100.19,297.3,2.66
"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie","SGGW w Warszawie",44,1,2.3,24,"pedagogika",17.81,299.66,2.47
"Uniwersytet Rzeszowski","U. Rzeszowski",102,2,2,50,"pedagogika",40.5,301.31,2.52
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy","U. Kazimierza Wielkiego w Bydgoszczy",114,2,1.8,45,"pedagogika",48.88,289.79,2.33
"Uniwersytet Jana Kochanowskiego w Kielcach","U. Jana Kochanowskiego w Kielcach",130,2,1.5,60,"pedagogika",47.75,231.62,2.72
"Uniwersytet Gdański","U. Gdański",149,2,1.3,56,"pedagogika",52.5,253.54,2.84
"Uniwersytet Ignatianum w Krakowie","U. Ignatianum w Krakowie",76,1,1.3,26,"pedagogika",29.75,318.32,2.55
"Katolicki Uniwersytet Lubelski Jana Pawła II","Katolicki Uniwersytet Lubelski Jana Pawła II",82,1,1.2,39,"pedagogika",31.25,290.46,2.62
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",80,1,1.2,30,"pedagogika",31.44,294.37,2.54
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",91,1,1.1,54,"pedagogika",35.19,307.39,2.59
"Uniwersytet Wrocławski","U. Wrocławski",113,1,0.9,49,"pedagogika",41.25,249.09,2.74
"Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej","Akademia Pedagogiki Specjalnej",424,3,0.7,111,"pedagogika",159.69,248.36,2.66
"Uniwersytet Łódzki","U. Łódzki",201,1,0.5,78,"pedagogika",74.31,258.97,2.7
"Akademia Ateneum w Gdańsku","Akademia Ateneum w Gdańsku",29,0,0,17,"pedagogika",12.25,124.24,2.37
"Akademia Humanistyczno-Ekonomiczna w Łodzi","Akademia Humanistyczno-Ekonomiczna w Łodzi",21,0,0,7,"pedagogika",8.25,292.24,2.55
