"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Szczeciński","U. Szczeciński",87,36,41.4,32,"psychologia",31.5,354.92,2.76
"Akademia Humanitas","Akademia Humanitas",29,9,31,13,"psychologia",11.75,360.34,2.47
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy","U. Kazimierza Wielkiego w Bydgoszczy",110,23,20.9,61,"psychologia",37.53,338.08,2.93
"Uniwersytet Opolski","U. Opolski",65,13,20,43,"psychologia",18.75,369.17,3.47
"Lubelska Akademia WSEI","Lubelska Akademia WSEI",37,7,18.9,19,"psychologia",13.13,374.56,2.82
"Katolicki Uniwersytet Lubelski Jana Pawła II","Katolicki Uniwersytet Lubelski Jana Pawła II",195,25,12.8,91,"psychologia",60.33,367.51,3.23
"Uniwersytet Gdański","U. Gdański",191,24,12.6,108,"psychologia",61.13,352.31,3.12
"Uniwersytet Jana Kochanowskiego w Kielcach","U. Jana Kochanowskiego w Kielcach",73,9,12.3,39,"psychologia",32,209.06,2.28
"Uniwersytet Wrocławski","U. Wrocławski",103,12,11.7,62,"psychologia",35,449.2,2.94
"Uniwersytet Łódzki","U. Łódzki",102,11,10.8,53,"psychologia",34.5,316.9,2.96
"Uniwersytet Warszawski","U. Warszawski",247,25,10.1,130,"psychologia",79.45,385.06,3.11
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",148,14,9.5,95,"psychologia",51.72,360.29,2.86
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",111,10,9,76,"psychologia",38.25,266.35,2.9
"Uniwersytet Śląski w Katowicach","U. Śląski w Katowicach",95,8,8.4,60,"psychologia",32.81,409.27,2.9
"Instytut Psychologii Polskiej Akademii Nauk","Inst. Psychologii PAN",129,8,6.2,87,"psychologia",40.64,378.2,3.17
"Uniwersytet Ignatianum w Krakowie","U. Ignatianum w Krakowie",48,3,6.2,34,"psychologia",17,338.94,2.82
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",359,22,6.1,182,"psychologia",127.99,404.33,2.8
"Uniwersytet SWPS","U. SWPS",392,22,5.6,200,"psychologia",126.9,385.16,3.09
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",58,3,5.2,46,"psychologia",20.04,331.34,2.89
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",126,6,4.8,82,"psychologia",42.88,291.49,2.94
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",69,3,4.3,45,"psychologia",29.03,330.69,2.38
"Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej","Akademia Pedagogiki Specjalnej",170,7,4.1,110,"psychologia",52.5,297.45,3.24
"Uniwersytet Jana Długosza w Częstochowie","U. Jana Długosza w Częstochowie",30,0,0,23,"psychologia",13.13,160.85,2.28
"Wyższa Szkoła Biznesu - National Louis University z siedzibą w Nowym Sączu","Wyższa Szkoła Biznesu - National Louis Univer...",20,0,0,11,"psychologia",7.63,147.05,2.62
