"","Agriculture","Agronomy","Molecules","Scientific Reports","International Journal of Molecular Sciences","Sustainability","Energies","Applied Sciences","Acta Scientiarum Polonorum, Hortorum Cultus","Materials","Science of the Total Environment","Industrial Crops and Products","Journal of Water and Land Development","Journal of Plant Protection Research","BMC Plant Biology","Food Chemistry","International Journal of Environmental Research and Public Health","Agronomy Science","Journal of Environmental Management","Foods","Journal of Elementology","Journal of Natural Fibers","Journal of Applied Genetics","Scientia Horticulturae","PLoS ONE","Forests","Geoderma","Progress in Plant Protection","Frontiers in Plant Science","Acta Universitatis Cibiniensis - Series E: Food Technology"
"Inst. Agrofizyki",1,0,8,17,7,0,2,0,0,9,5,4,0,0,4,18,1,0,9,0,0,0,0,3,1,0,6,0,0,0
"Inst. Fizjologii Roślin",5,6,2,17,18,1,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,1,1,2,1,0,0,1,0
"Inst. Genetyki Roślin PAN",3,0,4,7,6,0,0,1,0,0,0,2,0,0,7,0,0,0,1,1,0,0,6,1,3,0,0,0,10,0
"Inst. Hodowli i Aklimatyzacji Roślin PIB",17,23,6,8,40,6,0,4,1,2,0,4,0,3,5,0,0,6,0,2,2,0,8,0,1,0,0,2,2,0
"Inst. Ochrony Roślin PIB",19,11,6,9,5,4,0,7,1,2,1,0,0,22,1,4,0,2,0,2,2,1,0,1,2,1,0,14,0,0
"Inst. Ogrodnictwa PIB",27,34,16,9,19,9,0,9,23,0,1,4,5,4,0,4,0,0,0,6,2,0,0,9,4,3,0,6,3,5
"Inst. Technologiczno-Przyrodniczy PIB",4,6,0,6,4,2,9,0,0,3,1,0,14,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"Inst. Uprawy Nawożenia i Gleboznawstwa PIB",37,25,35,6,11,10,5,7,0,2,7,1,4,2,1,2,0,12,9,4,2,0,0,1,0,0,2,5,1,2
"Inst. Włókien Naturalnych i Roślin Zielarskic...",2,4,8,2,7,0,2,4,1,9,0,2,0,0,0,0,1,0,0,3,0,24,1,0,0,1,0,0,0,0
"P. Bydgoska",31,24,5,8,6,21,13,3,2,5,1,3,1,3,1,0,0,0,2,3,4,0,1,0,2,2,3,0,0,0
"SGGW w Warszawie",53,21,16,23,15,15,3,6,6,0,6,0,8,2,3,0,4,1,2,1,2,0,2,4,2,6,3,0,2,0
"U. Przyrodniczy w Lublinie",29,16,38,19,20,12,23,6,20,8,9,4,1,0,3,5,6,10,5,1,3,0,0,0,1,2,0,0,0,2
"U. Przyrodniczy w Poznaniu",51,73,25,19,23,23,12,14,5,1,4,3,1,6,3,1,3,0,0,4,4,4,4,1,4,7,1,0,1,0
"U. Przyrodniczy we Wrocławiu",46,31,25,38,4,16,2,13,1,5,4,4,1,0,1,2,6,0,3,5,1,2,2,2,1,2,7,0,2,2
"U. Rolniczy w Krakowie",26,33,25,26,29,17,15,6,11,8,8,3,4,3,11,7,7,1,2,2,2,1,3,6,1,1,3,0,3,3
"U. Rzeszowski",9,4,19,7,10,2,6,2,3,1,6,0,2,0,0,0,4,0,3,3,2,0,0,0,0,0,0,0,0,8
"U. Warmińsko-Mazurski w Olsztynie",20,6,18,11,14,4,33,5,2,13,7,22,1,1,3,0,6,0,2,0,7,1,1,0,1,2,2,0,1,0
"U. w Siedlcach",19,15,1,4,1,6,3,2,0,2,0,0,4,3,0,0,0,8,0,0,3,0,0,0,2,0,0,0,0,0
"Zachodniopomorski Uniwersytet Technologiczny ...",7,5,7,11,6,3,3,2,4,1,1,3,5,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0,3
